cycle_id,timestamp_beat,timestamp_ms,obligations_count,unique_parties,assets_traded,gross_total,net_total,netting_efficiency_pct,cumulative_gross,cumulative_net,phi_alignment
NET-000020,160,139680,64,47,7,19372.583214,17832.790615,7.9483,326229.823961,286048.58971,0.538551
NET-000021,168,146664,62,45,7,20716.201301,18057.76414,12.8326,346946.025262,304106.35385,0.489708
NET-000022,176,153648,71,49,7,20167.476834,17944.329032,11.0234,367113.502096,322050.682882,0.5078
NET-000023,184,160632,11,16,6,3409.326403,3027.544444,11.1982,370522.828499,325078.227326,0.506052
NET-000024,192,167616,42,41,7,11991.201914,11962.730492,0.2374,382514.030413,337040.957818,0.61566
NET-000025,200,174600,76,47,7,22263.116381,19533.99774,12.2585,404777.146794,356574.955558,0.495449
NET-000026,208,181584,17,23,7,4727.959968,4723.368066,0.0971,409505.106762,361298.323624,0.617063
NET-000027,216,188568,89,50,7,27366.648596,22533.746646,17.6598,436871.755358,383832.07027,0.441436
NET-000028,224,195552,53,42,7,17830.5932,16190.136831,9.2002,454702.348558,400022.207101,0.526032
NET-000029,232,202536,74,48,7,22841.035434,19748.621914,13.5388,477543.383992,419770.829015,0.482645
NET-000030,240,209520,67,48,7,19955.724991,18438.375076,7.6036,497499.108983,438209.204091,0.541998
NET-000031,248,216504,50,44,7,16034.964056,14611.661021,8.8762,513534.073039,452820.865112,0.529272
NET-000032,256,223488,23,31,7,5972.82039,5934.438319,0.6426,519506.893429,458755.303431,0.611608
NET-000033,264,230472,31,32,7,10132.763547,9549.075404,5.7604,529639.656976,468304.378835,0.56043
NET-000034,272,237456,41,41,7,12697.998777,12392.434522,2.4064,542337.655753,480696.813357,0.59397
NET-000035,280,244440,41,40,7,12223.260279,11678.439554,4.4572,554560.916032,492375.252911,0.573462
NET-000036,288,251424,44,37,7,14052.624778,13621.672315,3.0667,568613.54081,505996.925226,0.587367
NET-000037,296,258408,62,45,7,20904.759546,19670.011312,5.9065,589518.300356,525666.936538,0.558969
NET-000038,304,265392,47,43,7,12894.644459,10888.12525,15.5609,602412.944815,536555.061788,0.462425
NET-000039,312,272376,32,36,7,9755.198231,8420.663691,13.6802,612168.143046,544975.725479,0.481232
NET-000040,320,279360,65,47,7,19596.363139,18200.550893,7.1228,631764.506185,563176.276372,0.546806
NET-000041,328,286344,87,47,7,25334.666933,21494.365192,15.1583,657099.173118,584670.641564,0.466451
NET-000042,336,293328,20,29,7,6745.746841,6745.746841,0.0,663844.919959,591416.388405,0.618034
NET-000043,344,300312,81,46,7,25978.780457,24029.511362,7.5033,689823.700416,615445.899767,0.543001
NET-000044,352,307296,45,43,7,14784.785358,13184.213038,10.8258,704608.485774,628630.112805,0.509776
NET-000045,360,314280,26,33,7,8097.498887,7737.219195,4.4493,712705.984661,636367.332,0.573541
NET-000046,368,321264,68,50,7,24711.788307,20538.315373,16.8886,737417.772968,656905.647373,0.449148
NET-000047,376,328248,73,48,7,23462.959227,20520.168313,12.5423,760880.732195,677425.815686,0.492611
NET-000048,384,335232,20,28,7,6786.71867,6288.949755,7.3345,767667.450865,683714.765441,0.544689
NET-000049,392,342216,76,50,7,22015.438051,20165.634037,8.4023,789682.888916,703880.399478,0.534011
NET-000050,400,349200,82,45,7,22953.458556,18183.738061,20.78,812636.347472,722064.137539,0.410234
NET-000051,408,356184,70,47,7,21380.958403,19553.920559,8.5452,834017.305875,741618.058098,0.532582
NET-000052,416,363168,75,46,7,20642.99616,17676.478882,14.3706,854660.302035,759294.53698,0.474328
NET-000053,424,370152,69,47,7,24805.52341,22823.215111,7.9914,879465.825445,782117.752091,0.53812
NET-000054,432,377136,20,26,7,6137.168975,6137.168975,0.0,885602.99442,788254.921066,0.618034
NET-000055,440,384120,78,47,7,24723.507067,20573.592627,16.7853,910326.501487,808828.513693,0.450181
NET-000056,448,391104,6,12,3,1568.666556,1568.666556,0.0,911895.168043,810397.180249,0.618034
NET-000057,456,398088,41,42,7,13168.492374,12761.78084,3.0885,925063.660417,823158.961089,0.587149
NET-000058,464,405072,21,31,7,6871.904596,6871.904596,-0.0,931935.565013,830030.865685,0.618034
NET-000059,472,412056,19,27,7,5643.566627,5513.710085,2.301,937579.13164,835544.57577,0.595024
NET-000060,480,419040,76,49,7,24113.891097,21593.493778,10.4521,961693.022737,857138.069548,0.513513
NET-000061,488,426024,15,22,7,4015.900633,4015.900633,0.0,965708.92337,861153.970181,0.618034
NET-000062,496,433008,22,30,7,6380.758365,6033.870334,5.4365,972089.681735,867187.840515,0.563669
NET-000063,504,439992,66,49,7,22985.365363,20766.488511,9.6534,995075.047098,887954.329026,0.5215
NET-000064,512,446976,17,21,7,7088.706913,7088.706913,0.0,1002163.754011,895043.035939,0.618034
NET-000065,520,453960,84,50,7,24157.116439,21007.23206,13.0392,1026320.87045,916050.267999,0.487642
NET-000066,528,460944,43,43,7,9938.532327,9515.264383,4.2589,1036259.402777,925565.532382,0.575445
NET-000067,536,467928,73,47,7,24585.485224,20890.113321,15.0307,1060844.888001,946455.645703,0.467727
NET-000068,544,474912,70,46,7,22520.986245,20538.693753,8.802,1083365.874246,966994.339456,0.530014
NET-000069,552,481896,12,21,6,4939.697913,4939.697913,0.0,1088305.572159,971934.037369,0.618034
NET-000070,560,488880,75,47,7,23935.345639,20868.832653,12.8117,1112240.917798,992802.870022,0.489917
NET-000071,568,495864,88,50,7,27962.962348,25244.810615,9.7205,1140203.880146,1018047.680637,0.520829
NET-000072,576,502848,61,44,7,16692.065842,15055.341562,9.8054,1156895.945988,1033103.022199,0.51998
NET-000073,584,509832,22,25,7,5122.439465,5081.114422,0.8067,1162018.385453,1038184.136621,0.609967
NET-000074,592,516816,69,46,7,23111.269036,20105.048749,13.0076,1185129.654489,1058289.18537,0.487958
NET-000075,600,523800,36,37,7,10160.690948,8891.419286,12.492,1195290.345437,1067180.604656,0.493114
NET-000076,608,530784,54,41,7,15485.702134,13707.558558,11.4825,1210776.047571,1080888.163214,0.503209
NET-000077,616,537768,24,29,7,8373.78077,8029.854841,4.1072,1219149.828341,1088918.018055,0.576962
NET-000078,624,544752,88,47,7,27798.699314,25134.915906,9.5824,1246948.527655,1114052.933961,0.52221
NET-000079,632,551736,50,41,7,17840.254989,16444.932246,7.8212,1264788.782644,1130497.866207,0.539822
NET-000080,640,558720,23,29,7,7031.051824,6630.241082,5.7006,1271819.834468,1137128.107289,0.561028
NET-000081,648,565704,10,17,6,2130.233138,2130.233138,-0.0,1273950.067606,1139258.340427,0.618034
NET-000082,656,572688,8,16,5,2937.276314,2937.276314,-0.0,1276887.34392,1142195.616741,0.618034
NET-000083,664,579672,37,42,7,10507.021286,9528.894776,9.3093,1287394.365206,1151724.511517,0.524941
NET-000084,672,586656,84,49,7,25143.530519,21979.790214,12.5827,1312537.895725,1173704.301731,0.492207
NET-000085,680,593640,36,38,7,12429.220983,11362.491317,8.5824,1324967.116708,1185066.793048,0.53221
NET-000086,688,600624,44,40,7,13402.084358,12601.378977,5.9745,1338369.201066,1197668.172025,0.558289
NET-000087,696,607608,81,47,7,26022.384081,23755.842555,8.71,1364391.585147,1221424.01458,0.530934
NET-000088,704,614592,73,47,7,26054.831067,22200.302968,14.7939,1390446.416214,1243624.317548,0.470095
NET-000089,712,621576,56,45,7,17800.126417,16093.387889,9.5884,1408246.542631,1259717.705437,0.52215
NET-000090,720,628560,25,31,7,5416.565832,5411.961967,0.085,1413663.108463,1265129.667404,0.617184
NET-000091,728,635544,56,46,7,17099.011565,15904.710113,6.9846,1430762.120028,1281034.377517,0.548188
NET-000092,736,642528,19,25,7,5772.135368,5480.199182,5.0577,1436534.255396,1286514.576699,0.567457
NET-000093,744,649512,54,46,7,14960.012828,13154.434435,12.0694,1451494.268224,1299669.011134,0.49734
NET-000094,752,656496,33,37,7,9834.936386,9189.898154,6.5586,1461329.20461,1308858.909288,0.552448
NET-000095,760,663480,55,42,7,17010.556187,15376.336823,9.6071,1478339.760797,1324235.246111,0.521963
NET-000096,768,670464,59,43,7,17327.204593,15433.804834,10.9273,1495666.96539,1339669.050945,0.508761
NET-000097,776,677448,63,46,7,21579.046035,18885.781988,12.4809,1517246.011425,1358554.832933,0.493225
NET-000098,784,684432,40,41,7,11389.668205,11298.266502,0.8025,1528635.67963,1369853.099435,0.610009
NET-000099,792,691416,66,46,7,21626.850345,18744.068315,13.3296,1550262.529975,1388597.16775,0.484738
NET-000100,800,698400,31,36,7,10437.18415,9740.691979,6.6732,1560699.714125,1398337.859729,0.551302
NET-000101,808,705384,5,10,4,1106.186027,1106.186027,0.0,1561805.900152,1399444.045756,0.618034
NET-000102,816,712368,65,43,7,20822.864609,17834.540609,14.3512,1582628.764761,1417278.586365,0.474522
NET-000103,824,719352,79,47,7,25081.787557,20800.254927,17.0703,1607710.552318,1438078.841292,0.447331
NET-000104,832,726336,81,50,7,30005.500116,27175.394867,9.432,1637716.052434,1465254.236159,0.523714
NET-000105,840,733320,70,43,7,22082.204471,17806.878598,19.361,1659798.256905,1483061.114757,0.424424
NET-000106,848,740304,22,31,7,7787.531604,7787.531604,0.0,1667585.788509,1490848.646361,0.618034
NET-000107,856,747288,78,49,7,27194.678233,23682.396298,12.9153,1694780.466742,1514531.042659,0.488881
NET-000108,864,754272,86,49,7,29886.172363,26992.937834,9.6808,1724666.639105,1541523.980493,0.521226
NET-000109,872,761256,6,11,3,1304.579,1304.579,0.0,1725971.218105,1542828.559493,0.618034
NET-000110,880,768240,46,40,7,12636.149618,11269.133026,10.8183,1738607.367723,1554097.692519,0.509851
NET-000111,888,775224,8,14,5,2004.23405,1912.147811,4.5946,1740611.601773,1556009.84033,0.572088
NET-000112,896,782208,50,42,7,17913.969363,15465.508104,13.6679,1758525.571136,1571475.348434,0.481355
NET-000113,904,789192,28,37,7,7848.641557,7848.641557,0.0,1766374.212693,1579323.989991,0.618034
NET-000114,912,796176,73,48,7,22340.264356,20003.455045,10.4601,1788714.477049,1599327.445036,0.513433
NET-000115,920,803160,54,46,7,20036.810862,18558.19239,7.3795,1808751.287911,1617885.637426,0.544239
NET-000116,928,810144,79,49,7,22825.15442,19958.752744,12.5581,1831576.442331,1637844.39017,0.492453
NET-000117,936,817128,78,49,7,25687.171024,22378.118291,12.8821,1857263.613355,1660222.508461,0.489213
NET-000118,944,824112,41,41,7,13487.802736,12774.603107,5.2877,1870751.416091,1672997.111568,0.565157
NET-000119,952,831096,28,31,7,7579.498592,7551.963557,0.3633,1878330.914683,1680549.075125,0.614401
NET-000120,960,838080,70,48,7,22651.475635,20415.274648,9.8722,1900982.390318,1700964.349773,0.519312
NET-000121,968,845064,35,40,7,12379.830992,10536.470888,14.89,1913362.22131,1711500.820661,0.469134
NET-000122,976,852048,61,44,7,20156.354674,18401.184102,8.7078,1933518.575984,1729902.004763,0.530956
NET-000123,984,859032,27,34,7,7126.422393,6574.390081,7.7463,1940644.998377,1736476.394844,0.540571
NET-000124,992,866016,73,49,7,20544.234506,18440.754973,10.2388,1961189.232883,1754917.149817,0.515646
NET-000125,1000,873000,57,45,7,15789.201332,14021.784688,11.1938,1976978.434215,1768938.934505,0.506096
NET-000126,1008,879984,83,48,7,26899.704658,22585.089127,16.0396,2003878.138873,1791524.023632,0.457638
NET-000127,1016,886968,50,43,7,16698.852917,15749.662904,5.6842,2020576.99179,1807273.686536,0.561192
NET-000128,1024,893952,69,47,7,21915.12807,19541.554082,10.8308,2042492.11986,1826815.240618,0.509726
NET-000129,1032,900936,50,44,7,16081.705412,15087.420059,6.1827,2058573.825272,1841902.660677,0.556207
NET-000130,1040,907920,38,36,7,11931.16224,10712.19238,10.2167,2070504.987512,1852614.853057,0.515867
NET-000131,1048,914904,88,49,7,25200.252053,20132.529719,20.1098,2095705.239565,1872747.382776,0.416936
NET-000132,1056,921888,75,48,7,20808.750167,18081.893336,13.1044,2116513.989732,1890829.276112,0.48699
NET-000133,1064,928872,87,49,7,28227.170523,24090.353946,14.6554,2144741.160255,1914919.630058,0.47148
NET-000134,1072,935856,50,47,7,14874.577579,13312.910885,10.4989,2159615.737834,1928232.540943,0.513045
NET-000135,1080,942840,20,28,6,6369.498257,6369.498257,0.0,2165985.236091,1934602.0392,0.618034
NET-000136,1088,949824,12,22,5,2830.505062,2830.505062,0.0,2168815.741153,1937432.544262,0.618034
NET-000137,1096,956808,31,36,7,8538.634238,8538.634238,-0.0,2177354.375391,1945971.1785,0.618034
NET-000138,1104,963792,59,43,7,21472.632976,19501.200874,9.1811,2198827.008367,1965472.379374,0.526223
NET-000139,1112,970776,81,48,7,25018.983147,20303.094927,18.8492,2223845.991514,1985775.474301,0.429542
NET-000140,1120,977760,59,45,7,19470.142722,17432.281599,10.4666,2243316.134236,2003207.7559,0.513368
NET-000141,1128,984744,20,25,7,5803.647029,5132.381552,11.5663,2249119.781265,2008340.137452,0.502371
NET-000142,1136,991728,6,12,3,2512.022785,2512.022785,0.0,2251631.80405,2010852.160237,0.618034
NET-000143,1144,998712,64,48,7,21019.624329,18592.554584,11.5467,2272651.428379,2029444.714821,0.502567
NET-000144,1152,1005696,73,48,7,21161.750121,17876.63461,15.5238,2293813.1785,2047321.349431,0.462796
NET-000145,1160,1012680,73,48,7,23397.639953,19499.487792,16.6605,2317210.818453,2066820.837223,0.451429
NET-000146,1168,1019664,12,21,5,3783.874067,3783.874067,0.0,2320994.69252,2070604.71129,0.618034
NET-000147,1176,1026648,82,50,7,23000.89292,20030.036522,12.9163,2343995.58544,2090634.747812,0.488871
NET-000148,1184,1033632,5,10,3,1646.690086,1646.690086,0.0,2345642.275526,2092281.437898,0.618034
NET-000149,1192,1040616,81,45,7,25881.26783,22479.41788,13.1441,2371523.543356,2114760.855778,0.486593
NET-000150,1200,1047600,10,18,6,2817.921837,2817.921837,0.0,2374341.465193,2117578.777615,0.618034
NET-000151,1208,1054584,5,10,2,1737.642175,1737.642175,0.0,2376079.107368,2119316.41979,0.618034
NET-000152,1216,1061568,59,48,7,18584.669453,15764.53648,15.1745,2394663.776821,2135080.95627,0.466289
NET-000153,1224,1068552,9,16,5,2270.095108,2270.095108,0.0,2396933.871929,2137351.051378,0.618034
NET-000154,1232,1075536,56,42,7,19389.365148,16287.809352,15.9962,2416323.237077,2153638.86073,0.458072
NET-000155,1240,1082520,59,47,7,15931.238487,14556.567415,8.6288,2432254.475564,2168195.428145,0.531746
NET-000156,1248,1089504,56,47,7,16087.443515,14402.340868,10.4746,2448341.919079,2182597.769013,0.513288
NET-000157,1256,1096488,5,9,4,1287.800642,1287.800642,0.0,2449629.719721,2183885.569655,0.618034
NET-000158,1264,1103472,43,40,7,15743.052587,14528.398395,7.7155,2465372.772308,2198413.96805,0.540879
NET-000159,1272,1110456,66,48,7,18273.920428,17314.290618,5.2514,2483646.692736,2215728.258668,0.56552
NET-000160,1280,1117440,74,49,7,22756.518096,19937.774553,12.3865,2506403.210832,2235666.033221,0.494169
NET-000161,1288,1124424,48,43,7,14355.463747,12941.61244,9.8489,2520758.674579,2248607.645661,0.519545
NET-000162,1296,1131408,67,47,7,21587.711413,19757.748466,8.4769,2542346.385992,2268365.394127,0.533265
NET-000163,1304,1138392,71,47,7,23548.4546,21053.664674,10.5943,2565894.840592,2289419.058801,0.512091
NET-000164,1312,1145376,9,14,5,2280.784557,2280.784557,0.0,2568175.625149,2291699.843358,0.618034
NET-000165,1320,1152360,54,43,7,17000.374572,15924.240034,6.3301,2585175.999721,2307624.083392,0.554733
NET-000166,1328,1159344,59,49,7,18435.520177,16440.538832,10.8214,2603611.519898,2324064.622224,0.50982
NET-000167,1336,1166328,8,16,6,3249.797411,3249.797411,0.0,2606861.317309,2327314.419635,0.618034
NET-000168,1344,1173312,44,44,7,15243.233962,13408.471802,12.0366,2622104.551271,2340722.891437,0.497668
NET-000169,1352,1180296,6,12,5,2906.915918,2906.915918,0.0,2625011.467189,2343629.807355,0.618034
NET-000170,1360,1187280,83,48,7,25106.873166,22434.95947,10.6422,2650118.340355,2366064.766825,0.511612
NET-000171,1368,1194264,23,27,7,5742.967305,5191.833596,9.5967,2655861.30766,2371256.600421,0.522067
NET-000172,1376,1201248,87,47,7,26421.095244,20774.962823,21.3698,2682282.402904,2392031.563244,0.404336
NET-000173,1384,1208232,40,39,7,12989.242726,11726.821382,9.719,2695271.64563,2403758.384626,0.520844
NET-000174,1392,1215216,66,47,7,19994.699232,17936.783886,10.2923,2715266.344862,2421695.168512,0.515111
NET-000175,1400,1222200,75,48,7,24670.102753,21334.233414,13.5219,2739936.447615,2443029.401926,0.482815
NET-000176,1408,1229184,84,50,7,25942.455459,23805.666303,8.2366,2765878.903074,2466835.068229,0.535667
NET-000177,1416,1236168,16,24,6,5348.364818,4897.978742,8.421,2771227.267892,2471733.046971,0.533824
NET-000178,1424,1243152,40,40,7,14132.787599,12885.904572,8.8226,2785360.055491,2484618.951543,0.529808
NET-000179,1432,1250136,22,26,7,7000.406967,6822.016088,2.5483,2792360.462458,2491440.967631,0.592551
NET-000180,1440,1257120,31,40,7,11187.004519,11187.004519,0.0,2803547.466977,2502627.97215,0.618034
NET-000181,1448,1264104,49,45,7,14120.643282,12722.668295,9.9002,2817668.110259,2515350.640445,0.519032
NET-000182,1456,1271088,13,18,6,4364.085922,4364.085922,0.0,2822032.196181,2519714.726367,0.618034
NET-000183,1464,1278072,73,46,7,21013.385593,19260.99301,8.3394,2843045.581774,2538975.719377,0.53464
NET-000184,1472,1285056,6,11,4,2199.702165,2199.702165,-0.0,2845245.283939,2541175.421542,0.618034
NET-000185,1480,1292040,62,45,7,20629.196594,17736.079136,14.0244,2865874.480533,2558911.500678,0.47779
NET-000186,1488,1299024,16,22,7,5307.024247,4883.7907,7.975,2871181.50478,2563795.291378,0.538284
NET-000187,1496,1306008,15,22,7,3583.94413,3583.94413,0.0,2874765.44891,2567379.235508,0.618034
NET-000188,1504,1312992,11,19,7,2864.750978,2864.750978,-0.0,2877630.199888,2570243.986486,0.618034
NET-000189,1512,1319976,35,37,7,10963.061839,10465.839923,4.5354,2888593.261727,2580709.826409,0.57268
NET-000190,1520,1326960,81,47,7,24698.514706,22144.729992,10.3398,2913291.776433,2602854.556401,0.514636
NET-000191,1528,1333944,17,29,6,4872.418508,4872.418508,0.0,2918164.194941,2607726.974909,0.618034
NET-000192,1536,1340928,7,13,3,2118.16768,1844.069447,12.9403,2920282.362621,2609571.044356,0.488631
NET-000193,1544,1347912,66,45,7,19666.799475,16842.154791,14.3625,2939949.162096,2626413.199147,0.474409
NET-000194,1552,1354896,63,43,7,16405.52745,13419.889566,18.199,2956354.689546,2639833.088713,0.436044
NET-000195,1560,1361880,54,43,7,18041.959444,15829.878334,12.2608,2974396.64899,2655662.967047,0.495426
NET-000196,1568,1368864,33,33,7,10434.03796,10051.101347,3.6701,2984830.68695,2665714.068394,0.581333
NET-000197,1576,1375848,5,10,3,2067.846569,2067.846569,0.0,2986898.533519,2667781.914963,0.618034
NET-000198,1584,1382832,13,23,7,5207.781631,5207.781631,0.0,2992106.31515,2672989.696594,0.618034
NET-000199,1592,1389816,70,46,7,20722.669661,19205.334034,7.3221,3012828.984811,2692195.030628,0.544813
NET-000200,1600,1396800,62,43,7,20016.360227,16560.37304,17.2658,3032845.345038,2708755.403668,0.445376
NET-000201,1608,1403784,55,48,7,16032.464729,15067.483566,6.0189,3048877.809767,2723822.887234,0.557845
NET-000202,1616,1410768,11,17,5,4111.460075,3769.408581,8.3195,3052989.269842,2727592.295815,0.534839
NET-000203,1624,1417752,7,13,5,2420.827086,2420.827086,0.0,3055410.096928,2730013.122901,0.618034
NET-000204,1632,1424736,45,43,7,13870.172978,13177.754822,4.9921,3069280.269906,2743190.877723,0.568113
NET-000205,1640,1431720,62,45,7,19666.570173,16698.393768,15.0925,3088946.840079,2759889.271491,0.467109
NET-000206,1648,1438704,37,37,7,10707.014333,10166.578263,5.0475,3099653.854412,2770055.849754,0.567559
NET-000207,1656,1445688,63,46,7,20502.406155,18133.078008,11.5563,3120156.260567,2788188.927762,0.502471
NET-000208,1664,1452672,77,45,7,25617.234332,22079.192136,13.8112,3145773.494899,2810268.119898,0.479922
NET-000209,1672,1459656,12,18,6,2938.13058,2652.777838,9.7121,3148711.625479,2812920.897736,0.520913
NET-000210,1680,1466640,67,48,7,21338.083022,20107.898696,5.7652,3170049.708501,2833028.796432,0.560382
NET-000211,1688,1473624,50,46,7,16410.032756,14404.604125,12.2207,3186459.741257,2847433.400557,0.495827
NET-000212,1696,1480608,56,43,7,16964.791147,15897.135664,6.2934,3203424.532404,2863330.536221,0.5551
NET-000213,1704,1487592,30,31,7,9271.923313,8938.540065,3.5956,3212696.455717,2872269.076286,0.582078
NET-000214,1712,1494576,56,44,7,18673.797877,17462.227344,6.4881,3231370.253594,2889731.30363,0.553153
NET-000215,1720,1501560,78,48,7,27101.502845,23190.60764,14.4305,3258471.756439,2912921.91127,0.473729
NET-000216,1728,1508544,40,40,7,11861.052185,10665.176082,10.0824,3270332.808624,2923587.087352,0.51721
NET-000217,1736,1515528,71,46,7,22276.64258,20055.247204,9.9719,3292609.451204,2943642.334556,0.518315
NET-000218,1744,1522512,32,34,6,10827.680749,10226.005367,5.5568,3303437.131953,2953868.339923,0.562466
NET-000219,1752,1529496,35,36,7,10353.693106,9824.697187,5.1092,3313790.825059,2963693.03711,0.566942
NET-000220,1760,1536480,78,48,7,23453.822653,19962.91484,14.8842,3337244.647712,2983655.95195,0.469192
NET-000221,1768,1543464,65,45,7,21998.996421,16993.442405,22.7536,3359243.644133,3000649.394355,0.390498
NET-000222,1776,1550448,15,20,6,5612.830648,5612.830648,0.0,3364856.474781,3006262.225003,0.618034
NET-000223,1784,1557432,69,47,7,22024.891824,19990.068067,9.2387,3386881.366605,3026252.29307,0.525647
NET-000224,1792,1564416,46,42,7,15378.287201,14362.683676,6.6041,3402259.653806,3040614.976746,0.551993
NET-000225,1800,1571400,28,34,7,7764.803099,7727.90839,0.4752,3410024.456905,3048342.885136,0.613282
NET-000226,1808,1578384,56,44,7,17167.380327,16830.006363,1.9652,3427191.837232,3065172.891499,0.598382
NET-000227,1816,1585368,50,43,7,15436.891598,13925.715657,9.7894,3442628.72883,3079098.607156,0.52014
NET-000228,1824,1592352,14,22,6,4706.598829,4706.598829,0.0,3447335.327659,3083805.205985,0.618034
NET-000229,1832,1599336,77,47,7,24803.003779,21866.367771,11.8398,3472138.331438,3105671.573756,0.499636
NET-000230,1840,1606320,8,15,5,3265.49158,3265.49158,0.0,3475403.823018,3108937.065336,0.618034
NET-000231,1848,1613304,46,46,7,14386.605015,14110.092115,1.922,3489790.428033,3123047.157451,0.598814
NET-000232,1856,1620288,29,41,7,7638.15047,7638.15047,0.0,3497428.578503,3130685.307921,0.618034
NET-000233,1864,1627272,61,47,7,18760.143935,17412.586642,7.1831,3516188.722438,3148097.894563,0.546203
NET-000234,1872,1634256,77,48,7,26727.329884,24040.720624,10.0519,3542916.052322,3172138.615187,0.517515
NET-000235,1880,1641240,22,27,7,6919.857808,6808.045555,1.6158,3549835.91013,3178946.660742,0.601876
NET-000236,1888,1648224,37,41,7,12371.233806,11947.441414,3.4256,3562207.143936,3190894.102156,0.583778
NET-000237,1896,1655208,86,49,7,26052.922609,22717.266628,12.8034,3588260.066545,3213611.368784,0.49
NET-000238,1904,1662192,54,45,7,17192.365488,15660.024567,8.9129,3605452.432033,3229271.393351,0.528905
NET-000239,1912,1669176,66,43,7,21661.385693,18123.958085,16.3306,3627113.817726,3247395.351436,0.454728
NET-000240,1920,1676160,13,20,7,3110.362471,3110.362471,0.0,3630224.180197,3250505.713907,0.618034
NET-000241,1928,1683144,50,44,7,15955.784137,14027.032673,12.0881,3646179.964334,3264532.74658,0.497153
NET-000242,1936,1690128,47,45,7,15753.815125,14236.080643,9.6341,3661933.779459,3278768.827223,0.521693
NET-000243,1944,1697112,43,37,7,13037.18469,10631.327356,18.4538,3674970.964149,3289400.154579,0.433496
NET-000244,1952,1704096,32,41,7,7853.347157,7569.216912,3.618,3682824.311306,3296969.371491,0.581854
NET-000245,1960,1711080,48,39,7,14863.118364,13857.083965,6.7687,3697687.42967,3310826.455456,0.550347
NET-000246,1968,1718064,24,37,7,6999.051544,6999.051544,0.0,3704686.481214,3317825.507,0.618034
NET-000247,1976,1725048,27,33,7,8614.005445,8119.993958,5.735,3713300.486659,3325945.500958,0.560684
NET-000248,1984,1732032,76,50,7,21983.883353,20492.771274,6.7828,3735284.370012,3346438.272232,0.550206
NET-000249,1992,1739016,59,45,7,16341.822525,15269.181644,6.5638,3751626.192537,3361707.453876,0.552396
NET-000250,2000,1746000,26,34,7,8361.037289,8081.343886,3.3452,3759987.229826,3369788.797762,0.584582
NET-000251,2008,1752984,66,46,7,20643.178465,18431.039323,10.7161,3780630.408291,3388219.837085,0.510873
NET-000252,2016,1759968,25,33,7,6642.891116,6307.021254,5.0561,3787273.299407,3394526.858339,0.567473
NET-000253,2024,1766952,64,45,7,19442.545788,17202.784419,11.5199,3806715.845195,3411729.642758,0.502835
NET-000254,2032,1773936,13,23,6,3746.097615,3746.097615,-0.0,3810461.94281,3415475.740373,0.618034
NET-000255,2040,1780920,54,46,7,16337.697327,15030.695228,7.9999,3826799.640137,3430506.435601,0.538035
NET-000256,2048,1787904,46,45,7,15399.647431,13487.749739,12.4152,3842199.287568,3443994.18534,0.493882
NET-000257,2056,1794888,65,46,7,20110.528672,17878.825244,11.0972,3862309.81624,3461873.010584,0.507062
NET-000258,2064,1801872,7,14,4,1688.547427,1688.547427,-0.0,3863998.363667,3463561.558011,0.618034
NET-000259,2072,1808856,8,13,3,2293.848538,1862.214263,18.817,3866292.212205,3465423.772274,0.429864
