operation_id,source_chain,target_chain,amount,bridge_latency_ms,bridge_latency_beats,sync_interval_beats,coherence_at_execution,coherence_gate_passed,status,fee_phi_scaled
BRG-000031,ckETH,ckBTC,22.90584701,2583.31,2.9591,3,0.728903,True,completed,5.40733698
BRG-000032,ICP,ckETH,25.44901025,2542.26,2.9121,3,0.662549,True,completed,6.00769638
BRG-000033,ckETH,ckBTC,68.12133294,2661.87,3.0491,3,0.571598,False,rejected,16.08126529
BRG-000034,ICP,ckBTC,76.27961565,2617.13,2.9979,3,0.834263,True,completed,18.00717459
BRG-000035,ICP,ckBTC,72.6582158,2530.98,2.8992,3,0.59314,False,rejected,17.15227805
BRG-000036,ckETH,ckBTC,25.55554156,2616.52,2.9972,3,0.699092,True,completed,6.03284501
BRG-000037,ckETH,ICP,84.14062357,2568.78,2.9425,3,0.507105,False,rejected,19.86290683
BRG-000038,ICP,ckBTC,76.4228996,2705.83,3.0995,3,0.660477,True,completed,18.04099934
BRG-000039,ICP,ckBTC,49.67026635,2639.22,3.0232,3,0.980151,True,completed,11.72555932
BRG-000040,ICP,ckETH,37.99999977,2624.7,3.0065,3,0.93546,True,completed,8.97058309
BRG-000041,ICP,ckETH,31.53022012,2545.35,2.9156,3,0.555376,False,rejected,7.44327529
BRG-000042,ICP,ckBTC,44.41913063,2562.98,2.9358,3,0.520719,False,rejected,10.48593433
BRG-000043,ckBTC,ICP,71.32975091,2645.43,3.0303,3,0.675628,True,completed,16.83867003
BRG-000044,ICP,ckETH,9.85656237,2676.0,3.0653,3,0.809372,True,completed,2.32681874
BRG-000045,ckBTC,ICP,88.28995365,2571.72,2.9458,3,0.509608,False,rejected,20.84243079
BRG-000046,ckBTC,ICP,91.02536041,2701.23,3.0942,3,0.94426,True,completed,21.48817273
BRG-000047,ckETH,ckBTC,64.25870938,2702.19,3.0953,3,0.548612,False,rejected,15.16942356
BRG-000048,ckETH,ckBTC,94.27862581,2572.38,2.9466,3,0.523835,False,rejected,22.25616452
BRG-000049,ICP,ckBTC,19.3992503,2625.32,3.0072,3,0.991807,True,completed,4.57954178
BRG-000050,ckBTC,ckETH,39.15251617,2563.15,2.936,3,0.58462,False,rejected,9.24265531
BRG-000051,ICP,ckBTC,31.7910184,2521.58,2.8884,3,0.943362,True,completed,7.50484142
BRG-000052,ckBTC,ICP,63.47378763,2618.64,2.9996,3,0.601454,False,rejected,14.98412867
BRG-000053,ckBTC,ckETH,37.00743633,2580.93,2.9564,3,0.588041,False,rejected,8.73627065
BRG-000054,ckETH,ICP,79.85821413,2590.09,2.9669,3,0.593924,False,rejected,18.8519671
BRG-000055,ckETH,ICP,61.67754583,2658.79,3.0456,3,0.616778,False,rejected,14.5600935
BRG-000056,ckBTC,ICP,84.21577601,2630.07,3.0127,3,0.619316,True,completed,19.88064792
BRG-000057,ckETH,ICP,42.55476475,2597.49,2.9754,3,0.589785,False,rejected,10.04581725
BRG-000058,ckBTC,ckETH,59.37760053,2616.14,2.9967,3,0.647868,True,completed,14.01715007
BRG-000059,ckBTC,ICP,89.4791429,2621.35,3.0027,3,0.850635,True,completed,21.12316029
BRG-000060,ICP,ckETH,61.82466327,2616.91,2.9976,3,0.829279,True,completed,14.59482322
BRG-000061,ckETH,ckBTC,52.74266266,2594.54,2.972,3,0.608698,False,rejected,12.4508537
BRG-000062,ICP,ckBTC,0.65779575,2652.11,3.0379,3,0.999246,True,completed,0.15528451
BRG-000063,ckETH,ICP,69.19884261,2581.22,2.9567,3,0.578977,False,rejected,16.33563082
BRG-000064,ICP,ckBTC,35.27927242,2552.45,2.9238,3,0.648884,True,completed,8.32830649
BRG-000065,ICP,ckBTC,50.78196786,2716.22,3.1114,3,0.933422,True,completed,11.98799645
BRG-000066,ckBTC,ckETH,37.37049796,2505.82,2.8704,3,0.695521,True,completed,8.82197787
BRG-000067,ckETH,ckBTC,83.54379674,2671.73,3.0604,3,0.628045,True,completed,19.72201513
BRG-000068,ckETH,ckBTC,12.87923803,2602.5,2.9811,3,0.796897,True,completed,3.04037567
BRG-000069,ckETH,ckBTC,43.05990894,2624.28,3.006,3,0.516461,False,rejected,10.16506561
BRG-000070,ckETH,ckBTC,25.57834613,2702.31,3.0954,3,0.650527,True,completed,6.03822844
BRG-000071,ckETH,ICP,68.35989516,2610.22,2.9899,3,0.763427,True,completed,16.13758219
BRG-000072,ckBTC,ckETH,46.35648028,2608.17,2.9876,3,0.75016,True,completed,10.94328054
BRG-000073,ckBTC,ckETH,49.13988916,2585.01,2.9611,3,0.675506,True,completed,11.60035425
BRG-000074,ckETH,ckBTC,85.19601758,2617.19,2.9979,3,0.767269,True,completed,20.11205156
BRG-000075,ckBTC,ckETH,4.27020282,2620.92,3.0022,3,0.960612,True,completed,1.00805814
BRG-000076,ICP,ckBTC,4.64887304,2605.69,2.9848,3,0.821661,True,completed,1.09745006
BRG-000077,ckETH,ckBTC,57.56342864,2698.96,3.0916,3,0.886624,True,completed,13.58888218
BRG-000078,ckBTC,ckETH,77.74702171,2658.85,3.0456,3,0.990712,True,completed,18.35358217
BRG-000079,ckETH,ckBTC,38.30294103,2597.32,2.9752,3,0.931963,True,completed,9.04209782
BRG-000080,ICP,ckBTC,77.17868402,2656.25,3.0427,3,0.551906,False,rejected,18.21941584
BRG-000081,ICP,ckBTC,25.20494072,2637.65,3.0214,3,0.928474,True,completed,5.95007938
BRG-000082,ckETH,ckBTC,6.67624111,2641.88,3.0262,3,0.981891,True,completed,1.57604674
BRG-000083,ICP,ckETH,77.04107944,2659.46,3.0464,3,0.952103,True,completed,18.18693181
BRG-000084,ICP,ckBTC,52.79242925,2636.25,3.0198,3,0.838,True,completed,12.462602
BRG-000085,ckETH,ckBTC,42.04050909,2648.94,3.0343,3,0.633545,True,completed,9.92441795
BRG-000086,ckBTC,ICP,70.44041625,2558.37,2.9305,3,0.509593,False,rejected,16.6287266
BRG-000087,ICP,ckETH,84.7336126,2649.82,3.0353,3,0.509148,False,rejected,20.00289255
BRG-000088,ckETH,ICP,67.50783958,2587.91,2.9644,3,0.617253,False,rejected,15.93643916
BRG-000089,ckBTC,ICP,26.87302978,2588.99,2.9656,3,0.750467,True,completed,6.34386179
BRG-000090,ICP,ckBTC,47.940896,2651.83,3.0376,3,0.814995,True,completed,11.31731036
BRG-000091,ckETH,ckBTC,81.61795199,2566.8,2.9402,3,0.647777,True,completed,19.26738485
BRG-000092,ICP,ckETH,38.47516024,2691.24,3.0827,3,0.92889,True,completed,9.08275326
BRG-000093,ckBTC,ICP,96.22143593,2584.14,2.9601,3,0.9688,True,completed,22.71479977
BRG-000094,ckBTC,ckETH,6.54016935,2640.14,3.0242,3,0.515082,False,rejected,1.54392455
BRG-000095,ckETH,ICP,5.2974711,2608.63,2.9881,3,0.656052,True,completed,1.25056329
BRG-000096,ICP,ckBTC,15.41483269,2607.65,2.987,3,0.724352,True,completed,3.63894838
BRG-000097,ckBTC,ckETH,9.60125087,2614.64,2.995,3,0.645452,True,completed,2.26654787
BRG-000098,ICP,ckBTC,28.99529192,2614.88,2.9953,3,0.7383,True,completed,6.84485992
BRG-000099,ICP,ckBTC,32.53486276,2655.6,3.0419,3,0.601739,False,rejected,7.68043925
BRG-000100,ICP,ckBTC,2.69820825,2635.94,3.0194,3,0.684875,True,completed,0.63696056
BRG-000101,ICP,ckETH,85.67125071,2647.33,3.0325,3,0.944056,True,completed,20.22423888
BRG-000102,ckETH,ICP,76.39024798,2651.86,3.0376,3,0.701943,True,completed,18.03329134
BRG-000103,ICP,ckBTC,54.96784816,2549.96,2.9209,3,0.613214,False,rejected,12.97614874
BRG-000104,ckETH,ckBTC,28.12734837,2671.93,3.0606,3,0.880586,True,completed,6.63996624
BRG-000105,ckBTC,ckETH,11.08929655,2612.96,2.9931,3,0.888119,True,completed,2.61782781
BRG-000106,ckETH,ICP,43.73761462,2588.39,2.9649,3,0.851736,True,completed,10.32505022
BRG-000107,ckETH,ICP,5.44250713,2665.71,3.0535,3,0.724651,True,completed,1.28480165
BRG-000108,ckBTC,ckETH,46.94567795,2587.51,2.9639,3,0.900451,True,completed,11.08237125
BRG-000109,ckETH,ckBTC,44.38428894,2639.36,3.0233,3,0.711998,True,completed,10.47770932
BRG-000110,ICP,ckETH,61.54170072,2669.68,3.0581,3,0.571608,False,rejected,14.52802482
BRG-000111,ICP,ckBTC,53.20838744,2659.82,3.0468,3,0.864277,True,completed,12.56079641
BRG-000112,ckETH,ckBTC,95.61886973,2623.93,3.0056,3,0.804215,True,completed,22.57255319
BRG-000113,ICP,ckETH,80.66368137,2634.78,3.0181,3,0.634915,True,completed,19.04211212
BRG-000114,ckETH,ckBTC,0.70505387,2606.63,2.9858,3,0.738491,True,completed,0.16644064
BRG-000115,ckBTC,ICP,6.73607783,2635.66,3.0191,3,0.555034,False,rejected,1.59017227
BRG-000116,ICP,ckBTC,77.29072974,2611.06,2.9909,3,0.861962,True,completed,18.24586625
BRG-000117,ICP,ckBTC,61.57566163,2769.94,3.1729,3,0.931145,True,completed,14.5360419
BRG-000118,ckETH,ckBTC,94.66124328,2663.62,3.0511,3,0.941035,True,completed,22.34648825
BRG-000119,ICP,ckBTC,32.41520652,2636.07,3.0195,3,0.736347,True,completed,7.65219224
BRG-000120,ICP,ckBTC,0.22721099,2599.85,2.9781,3,0.985402,True,completed,0.05363724
BRG-000121,ckETH,ckBTC,45.81055017,2600.02,2.9783,3,0.808955,True,completed,10.81440393
BRG-000122,ICP,ckETH,32.77873925,2587.87,2.9643,3,0.719659,True,completed,7.73801068
BRG-000123,ckETH,ckBTC,90.88374504,2669.59,3.058,3,0.517447,False,rejected,21.45474188
BRG-000124,ckBTC,ICP,47.44129903,2626.68,3.0088,3,0.742435,True,completed,11.19937151
BRG-000125,ICP,ckBTC,11.61318859,2601.31,2.9797,3,0.970486,True,completed,2.74150194
BRG-000126,ckETH,ckBTC,52.64775694,2588.07,2.9646,3,0.513028,False,rejected,12.4284495
BRG-000127,ckBTC,ICP,52.82399212,2580.61,2.956,3,0.966753,True,completed,12.47005298
BRG-000128,ckETH,ICP,79.98544302,2588.5,2.9651,3,0.600985,False,rejected,18.88200176
BRG-000129,ICP,ckETH,96.64616158,2552.37,2.9237,3,0.523754,False,rejected,22.8150639
BRG-000130,ICP,ckETH,46.0674713,2640.27,3.0244,3,0.768024,True,completed,10.87505478
BRG-000131,ckETH,ckBTC,89.98166535,2681.34,3.0714,3,0.53563,False,rejected,21.24178975
BRG-000132,ckBTC,ckETH,79.4995781,2529.4,2.8974,3,0.829029,True,completed,18.76730461
BRG-000133,ICP,ckETH,2.63492152,2602.01,2.9805,3,0.762922,True,completed,0.62202059
BRG-000134,ckETH,ckBTC,29.87287571,2638.7,3.0226,3,0.839383,True,completed,7.05202935
BRG-000135,ckETH,ckBTC,91.07371944,2610.69,2.9905,3,0.732028,True,completed,21.49958875
BRG-000136,ICP,ckETH,81.91094713,2639.92,3.024,3,0.670503,True,completed,19.33655162
BRG-000137,ckETH,ckBTC,67.45224783,2658.65,3.0454,3,0.71,True,completed,15.92331572
BRG-000138,ckETH,ICP,51.01952335,2677.18,3.0666,3,0.576324,False,rejected,12.04407569
BRG-000139,ICP,ckETH,0.8180664,2637.62,3.0213,3,0.613477,False,rejected,0.19311928
BRG-000140,ckETH,ICP,97.20019813,2628.66,3.0111,3,0.714181,True,completed,22.94585419
BRG-000141,ICP,ckBTC,61.17787666,2629.9,3.0125,3,0.54383,False,rejected,14.44213761
BRG-000142,ckETH,ICP,52.55733364,2516.21,2.8823,3,0.580569,False,rejected,12.40710346
BRG-000143,ckETH,ICP,76.98315648,2595.92,2.9736,3,0.839228,True,completed,18.17325805
BRG-000144,ckBTC,ckETH,69.25510248,2631.38,3.0142,3,0.509511,False,rejected,16.34891197
BRG-000145,ckBTC,ICP,62.5031199,2583.51,2.9594,3,0.583672,False,rejected,14.7549851
BRG-000146,ckBTC,ckETH,66.73395092,2583.68,2.9595,3,0.664128,True,completed,15.75374882
BRG-000147,ICP,ckBTC,33.60950445,2627.54,3.0098,3,0.952013,True,completed,7.93412774
BRG-000148,ckETH,ckBTC,91.93963594,2561.61,2.9343,3,0.714605,True,completed,21.70400391
BRG-000149,ICP,ckBTC,84.355603,2510.88,2.8762,3,0.929876,True,completed,19.91365659
BRG-000150,ckETH,ICP,49.10225931,2706.14,3.0998,3,0.697812,True,completed,11.59147105
BRG-000151,ICP,ckETH,26.39229004,2658.98,3.0458,3,0.504639,False,rejected,6.23037453
BRG-000152,ckETH,ckBTC,24.5378823,2588.8,2.9654,3,0.505607,False,rejected,5.79260825
BRG-000153,ckETH,ICP,58.93768127,2623.48,3.0051,3,0.519254,False,rejected,13.91329922
BRG-000154,ICP,ckBTC,46.19750033,2599.97,2.9782,3,0.584112,False,rejected,10.90575047
BRG-000155,ckETH,ICP,76.85812033,2622.39,3.0039,3,0.799494,True,completed,18.14374102
BRG-000156,ckBTC,ICP,94.63582029,2734.03,3.1318,3,0.940941,True,completed,22.34048669
BRG-000157,ckBTC,ICP,18.81979266,2725.99,3.1226,3,0.594489,False,rejected,4.44275039
BRG-000158,ICP,ckETH,22.91117911,2616.69,2.9973,3,0.896708,True,completed,5.40859571
BRG-000159,ckBTC,ckETH,15.46012928,2582.06,2.9577,3,0.534943,False,rejected,3.64964145
BRG-000160,ICP,ckBTC,41.85910554,2651.64,3.0374,3,0.837842,True,completed,9.88159438
BRG-000161,ckETH,ckBTC,90.79365159,2599.01,2.9771,3,0.754644,True,completed,21.4334737
BRG-000162,ckETH,ckBTC,76.30017865,2665.29,3.053,3,0.991571,True,completed,18.01202886
BRG-000163,ckETH,ICP,35.5504295,2553.26,2.9247,3,0.696379,True,completed,8.39231799
BRG-000164,ICP,ckBTC,34.93820387,2617.94,2.9988,3,0.755508,True,completed,8.24779113
BRG-000165,ckETH,ICP,27.58935908,2700.46,3.0933,3,0.549964,False,rejected,6.5129642
BRG-000166,ckETH,ckBTC,82.14987844,2618.64,2.9996,3,0.818476,True,completed,19.39295566
BRG-000167,ICP,ckETH,50.84639356,2609.81,2.9895,3,0.73362,True,completed,12.00320529
BRG-000168,ICP,ckBTC,0.51767551,2691.35,3.0829,3,0.548914,False,rejected,0.12220661
BRG-000169,ICP,ckETH,15.50182853,2504.49,2.8688,3,0.913884,True,completed,3.65948531
BRG-000170,ICP,ckBTC,31.6699445,2645.53,3.0304,3,0.608136,False,rejected,7.47625975
BRG-000171,ICP,ckETH,46.3439986,2607.65,2.987,3,0.883454,True,completed,10.94033402
BRG-000172,ckBTC,ckETH,5.36726835,2675.22,3.0644,3,0.801815,True,completed,1.26704018
BRG-000173,ckBTC,ICP,55.95020324,2627.11,3.0093,3,0.539228,False,rejected,13.20805132
BRG-000174,ICP,ckBTC,46.21104267,2653.88,3.04,3,0.561534,False,rejected,10.90894738
BRG-000175,ckBTC,ckETH,34.21396824,2564.15,2.9372,3,0.607873,False,rejected,8.07682228
BRG-000176,ICP,ckBTC,5.16614484,2589.94,2.9667,3,0.692356,True,completed,1.21956136
BRG-000177,ckBTC,ICP,47.05075633,2649.31,3.0347,3,0.72786,True,completed,11.10717689
BRG-000178,ICP,ckBTC,37.63557684,2531.73,2.9,3,0.795566,True,completed,8.88455451
BRG-000179,ckETH,ckBTC,56.07138488,2650.75,3.0364,3,0.799984,True,completed,13.23665842
BRG-000180,ckETH,ICP,25.11418273,2656.16,3.0426,3,0.849275,True,completed,5.92865432
BRG-000181,ckETH,ckBTC,94.18864691,2648.18,3.0334,3,0.66806,True,completed,22.23492338
BRG-000182,ICP,ckBTC,51.28692565,2599.48,2.9776,3,0.729107,True,completed,12.10720081
BRG-000183,ckETH,ICP,36.0490948,2599.76,2.978,3,0.710034,True,completed,8.5100369
BRG-000184,ckBTC,ICP,88.75340774,2613.65,2.9939,3,0.672284,True,completed,20.95183746
BRG-000185,ckETH,ckBTC,28.6941354,2700.95,3.0939,3,0.507649,False,rejected,6.77376651
BRG-000186,ICP,ckETH,70.15492254,2657.39,3.044,3,0.832284,True,completed,16.56133068
BRG-000187,ICP,ckBTC,42.45136687,2629.19,3.0117,3,0.964273,True,completed,10.02140832
BRG-000188,ICP,ckETH,33.77249662,2592.8,2.97,3,0.631498,True,completed,7.97260497
BRG-000189,ckBTC,ckETH,67.50854322,2725.13,3.1216,3,0.835406,True,completed,15.93660526
BRG-000190,ckETH,ICP,13.91041443,2603.6,2.9824,3,0.963922,True,completed,3.2838034
BRG-000191,ckBTC,ICP,11.8561063,2625.52,3.0075,3,0.86124,True,completed,2.79884704
BRG-000192,ckETH,ICP,26.02440317,2689.57,3.0808,3,0.647392,True,completed,6.14352822
BRG-000193,ckETH,ICP,38.73954381,2586.33,2.9626,3,0.526053,False,rejected,9.14516576
BRG-000194,ckBTC,ckETH,45.54789491,2556.98,2.929,3,0.847565,True,completed,10.75239943
BRG-000195,ICP,ckBTC,83.60558129,2680.68,3.0706,3,0.674732,True,completed,19.73660048
BRG-000196,ckETH,ckBTC,90.12685222,2553.67,2.9252,3,0.875153,True,completed,21.27606372
BRG-000197,ckBTC,ICP,24.93466662,2648.06,3.0333,3,0.995919,True,completed,5.88627632
BRG-000198,ckETH,ICP,23.71220868,2742.36,3.1413,3,0.67325,True,completed,5.59769315
BRG-000199,ICP,ckETH,92.33411002,2549.84,2.9208,3,0.881877,True,completed,21.79712661
BRG-000200,ckETH,ICP,26.88438219,2660.48,3.0475,3,0.824295,True,completed,6.34654173
BRG-000201,ckETH,ckBTC,91.26149482,2695.08,3.0871,3,0.976634,True,completed,21.54391651
BRG-000202,ckETH,ICP,82.87693204,2589.35,2.966,3,0.719384,True,completed,19.56458973
BRG-000203,ICP,ckETH,44.07701958,2559.04,2.9313,3,0.993981,True,completed,10.40517287
BRG-000204,ckETH,ckBTC,2.15689473,2558.78,2.931,3,0.922239,True,completed,0.50917378
BRG-000205,ICP,ckBTC,6.31696794,2534.72,2.9035,3,0.64688,True,completed,1.49123385
BRG-000206,ckBTC,ckETH,12.50015178,2634.62,3.0179,3,0.646686,True,completed,2.95088555
BRG-000207,ckBTC,ckETH,91.39379849,2547.1,2.9176,3,0.699656,True,completed,21.57514917
BRG-000208,ckETH,ICP,96.10755223,2648.62,3.0339,3,0.937387,True,completed,22.68791548
BRG-000209,ckETH,ICP,72.82017308,2624.71,3.0065,3,0.880633,True,completed,17.19051098
BRG-000210,ckETH,ckBTC,71.93100378,2675.37,3.0646,3,0.639118,True,completed,16.98060658
BRG-000211,ICP,ckBTC,62.50828868,2562.97,2.9358,3,0.604769,False,rejected,14.75620529
BRG-000212,ckBTC,ckETH,24.46871678,2596.28,2.974,3,0.519514,False,rejected,5.77628048
BRG-000213,ckETH,ICP,1.92988185,2597.18,2.975,3,0.875827,True,completed,0.45558331
BRG-000214,ckBTC,ckETH,15.52320071,2626.34,3.0084,3,0.775201,True,completed,3.6645306
BRG-000215,ICP,ckETH,76.74992637,2647.29,3.0324,3,0.878287,True,completed,18.11819989
BRG-000216,ICP,ckETH,25.86994748,2527.69,2.8954,3,0.767142,True,completed,6.10706618
BRG-000217,ckBTC,ckETH,48.17370881,2575.48,2.9501,3,0.863701,True,completed,11.37227001
BRG-000218,ckETH,ICP,71.24038747,2675.78,3.065,3,0.816475,True,completed,16.81757419
BRG-000219,ckBTC,ckETH,50.45772286,2681.35,3.0714,3,0.674073,True,completed,11.91145258
BRG-000220,ckETH,ICP,33.04245612,2644.79,3.0295,3,0.840949,True,completed,7.80026579
BRG-000221,ckBTC,ckETH,54.66697405,2667.79,3.0559,3,0.923706,True,completed,12.905122
BRG-000222,ckETH,ICP,71.38152953,2608.92,2.9885,3,0.697644,True,completed,16.85089331
BRG-000223,ckBTC,ckETH,51.03407357,2634.37,3.0176,3,0.721066,True,completed,12.04751053
BRG-000224,ckETH,ICP,53.82336921,2560.93,2.9335,3,0.781707,True,completed,12.70597391
BRG-000225,ckBTC,ckETH,56.37065329,2584.87,2.9609,3,0.642925,True,completed,13.30730611
BRG-000226,ckETH,ckBTC,7.47669794,2609.5,2.9891,3,0.643143,True,completed,1.76500896
BRG-000227,ckBTC,ICP,91.30118241,2648.66,3.034,3,0.79231,True,completed,21.55328547
BRG-000228,ICP,ckETH,85.50907193,2496.77,2.86,3,0.789942,True,completed,20.18595367
BRG-000229,ckETH,ICP,6.67413423,2687.88,3.0789,3,0.889554,True,completed,1.57554937
BRG-000230,ckBTC,ckETH,23.53357298,2689.34,3.0806,3,0.822493,True,completed,5.55552298
BRG-000231,ICP,ckBTC,26.04657934,2582.86,2.9586,3,0.566966,False,rejected,6.14876331
BRG-000232,ICP,ckETH,86.23641774,2600.72,2.9791,3,0.833026,True,completed,20.35765672
BRG-000233,ICP,ckBTC,86.94425809,2595.03,2.9725,3,0.781166,True,completed,20.52475516
BRG-000234,ICP,ckBTC,72.85580553,2621.06,3.0024,3,0.930903,True,completed,17.19892266
BRG-000235,ckETH,ckBTC,54.7803522,2593.82,2.9712,3,0.815814,True,completed,12.93188695
BRG-000236,ICP,ckBTC,2.36482037,2659.9,3.0469,3,0.815383,True,completed,0.55825836
BRG-000237,ICP,ckETH,39.12087128,2666.05,3.0539,3,0.72069,True,completed,9.23518496
BRG-000238,ckBTC,ICP,84.02383062,2607.99,2.9874,3,0.727708,True,completed,19.83533576
BRG-000239,ckBTC,ckETH,43.93953609,2662.64,3.05,3,0.819235,True,completed,10.37271742
BRG-000240,ckBTC,ICP,61.54297301,2661.98,3.0492,3,0.682417,True,completed,14.52832517
BRG-000241,ckBTC,ICP,56.39400018,2487.56,2.8494,3,0.576925,False,rejected,13.31281757
BRG-000242,ckETH,ckBTC,49.66138132,2732.02,3.1295,3,0.649445,True,completed,11.72346185
BRG-000243,ckETH,ICP,0.90424835,2654.61,3.0408,3,0.673902,True,completed,0.21346408
BRG-000244,ckETH,ICP,84.27508678,2681.99,3.0722,3,0.989003,True,completed,19.89464929
BRG-000245,ckBTC,ICP,15.48871026,2559.3,2.9316,3,0.856691,True,completed,3.65638851
BRG-000246,ckETH,ICP,17.68743896,2536.83,2.9059,3,0.682474,True,completed,4.17543794
BRG-000247,ICP,ckBTC,4.23655192,2555.02,2.9267,3,0.687153,True,completed,1.00011424
BRG-000248,ICP,ckBTC,8.39262152,2609.58,2.9892,3,0.607898,False,rejected,1.98122919
BRG-000249,ICP,ckETH,85.3582616,2529.78,2.8978,3,0.824336,True,completed,20.15035218
BRG-000250,ckBTC,ICP,89.07842182,2707.53,3.1014,3,0.818769,True,completed,21.02856288
BRG-000251,ckBTC,ICP,88.61234573,2583.8,2.9597,3,0.967383,True,completed,20.91853724
BRG-000252,ckBTC,ckETH,44.10672559,2661.11,3.0482,3,0.744269,True,completed,10.4121855
BRG-000253,ICP,ckBTC,53.18345296,2575.36,2.95,3,0.755498,True,completed,12.55491018
BRG-000254,ckBTC,ICP,90.65390267,2577.74,2.9527,3,0.980182,True,completed,21.40048346
BRG-000255,ICP,ckBTC,6.19681986,2596.45,2.9742,3,0.668012,True,completed,1.46287073
BRG-000256,ckETH,ICP,94.28702636,2609.57,2.9892,3,0.870489,True,completed,22.25814762
BRG-000257,ckETH,ICP,5.55000271,2629.51,3.012,3,0.918432,True,completed,1.31017791
BRG-000258,ICP,ckBTC,92.36636244,2607.47,2.9868,3,0.53212,False,rejected,21.80474037
BRG-000259,ICP,ckETH,43.82889651,2611.9,2.9919,3,0.604836,False,rejected,10.34659896
BRG-000260,ckBTC,ICP,18.52621893,2590.84,2.9677,3,0.543945,False,rejected,4.37344703
BRG-000261,ckETH,ICP,47.92080743,2578.16,2.9532,3,0.544825,False,rejected,11.31256809
BRG-000262,ckBTC,ICP,99.58239889,2560.67,2.9332,3,0.836118,True,completed,23.5082155
BRG-000263,ckETH,ICP,16.50561422,2592.84,2.97,3,0.877404,True,completed,3.89644697
BRG-000264,ckETH,ckBTC,15.02858022,2691.85,3.0834,3,0.675983,True,completed,3.54776654
BRG-000265,ckETH,ckBTC,98.16359649,2563.13,2.936,3,0.943328,True,completed,23.17328169
BRG-000266,ckBTC,ICP,32.27460537,2651.63,3.0374,3,0.817073,True,completed,7.61900081
BRG-000267,ckETH,ICP,58.26991709,2606.1,2.9852,3,0.976363,True,completed,13.75566148
BRG-000268,ICP,ckETH,37.80357001,2590.71,2.9676,3,0.511583,False,rejected,8.92421231
BRG-000269,ckETH,ckBTC,10.96128201,2650.57,3.0362,3,0.826581,True,completed,2.58760767
