beat,timestamp_ms,R_order_parameter,mean_phase_psi,phase_variance,gate_passed,oscillator_count,coupling_strength,drift_from_phi_inv
22,19206,1.0,3.01086687,0.0,True,24,0.6180339887498948,0.38196601
23,20079,1.0,1.97784838,0.0,True,24,0.6180339887498948,0.38196601
24,20952,1.0,0.94482988,0.0,True,24,0.6180339887498948,0.38196601
25,21825,1.0,-0.08818862,0.0,True,24,0.6180339887498948,0.38196601
26,22698,1.0,-1.12120711,0.0,True,24,0.6180339887498948,0.38196601
27,23571,1.0,-2.15422561,0.0,True,24,0.6180339887498948,0.38196601
28,24444,1.0,3.0959412,0.0,True,24,0.6180339887498948,0.38196601
29,25317,1.0,2.06292271,0.0,True,24,0.6180339887498948,0.38196601
30,26190,1.0,1.02990421,0.0,True,24,0.6180339887498948,0.38196601
31,27063,1.0,-0.00311429,0.0,True,24,0.6180339887498948,0.38196601
32,27936,1.0,-1.03613278,0.0,True,24,0.6180339887498948,0.38196601
33,28809,1.0,-2.06915128,0.0,True,24,0.6180339887498948,0.38196601
34,29682,1.0,-3.10216978,0.0,True,24,0.6180339887498948,0.38196601
35,30555,1.0,2.14799704,0.0,True,24,0.6180339887498948,0.38196601
36,31428,1.0,1.11497854,0.0,True,24,0.6180339887498948,0.38196601
37,32301,1.0,0.08196004,0.0,True,24,0.6180339887498948,0.38196601
38,33174,1.0,-0.95105845,0.0,True,24,0.6180339887498948,0.38196601
39,34047,1.0,-1.98407695,0.0,True,24,0.6180339887498948,0.38196601
40,34920,1.0,-3.01709545,0.0,True,24,0.6180339887498948,0.38196601
41,35793,1.0,2.23307136,0.0,True,24,0.6180339887498948,0.38196601
42,36666,1.0,1.20005287,0.0,True,24,0.6180339887498948,0.38196601
43,37539,1.0,0.16703437,0.0,True,24,0.6180339887498948,0.38196601
44,38412,1.0,-0.86598412,0.0,True,24,0.6180339887498948,0.38196601
45,39285,1.0,-1.89900262,-0.0,True,24,0.6180339887498948,0.38196601
46,40158,1.0,-2.93202112,0.0,True,24,0.6180339887498948,0.38196601
47,41031,1.0,2.31814569,0.0,True,24,0.6180339887498948,0.38196601
48,41904,1.0,1.2851272,0.0,True,24,0.6180339887498948,0.38196601
49,42777,1.0,0.2521087,0.0,True,24,0.6180339887498948,0.38196601
50,43650,1.0,-0.7809098,0.0,True,24,0.6180339887498948,0.38196601
51,44523,1.0,-1.81392829,-0.0,True,24,0.6180339887498948,0.38196601
52,45396,1.0,-2.84694679,0.0,True,24,0.6180339887498948,0.38196601
53,46269,1.0,2.40322002,0.0,True,24,0.6180339887498948,0.38196601
54,47142,1.0,1.37020153,-0.0,True,24,0.6180339887498948,0.38196601
55,48015,1.0,0.33718303,0.0,True,24,0.6180339887498948,0.38196601
56,48888,1.0,-0.69583547,0.0,True,24,0.6180339887498948,0.38196601
57,49761,1.0,-1.72885396,0.0,True,24,0.6180339887498948,0.38196601
58,50634,1.0,-2.76187246,0.0,True,24,0.6180339887498948,0.38196601
59,51507,1.0,2.48829435,0.0,True,24,0.6180339887498948,0.38196601
60,52380,1.0,1.45527586,0.0,True,24,0.6180339887498948,0.38196601
61,53253,1.0,0.42225736,0.0,True,24,0.6180339887498948,0.38196601
62,54126,1.0,-0.61076114,0.0,True,24,0.6180339887498948,0.38196601
63,54999,1.0,-1.64377963,0.0,True,24,0.6180339887498948,0.38196601
64,55872,1.0,-2.67679813,0.0,True,24,0.6180339887498948,0.38196601
65,56745,1.0,2.57336868,0.0,True,24,0.6180339887498948,0.38196601
66,57618,1.0,1.54035018,0.0,True,24,0.6180339887498948,0.38196601
67,58491,1.0,0.50733169,0.0,True,24,0.6180339887498948,0.38196601
68,59364,1.0,-0.52568681,0.0,True,24,0.6180339887498948,0.38196601
69,60237,1.0,-1.5587053,0.0,True,24,0.6180339887498948,0.38196601
70,61110,1.0,-2.5917238,0.0,True,24,0.6180339887498948,0.38196601
71,61983,1.0,2.65844301,0.0,True,24,0.6180339887498948,0.38196601
72,62856,1.0,1.62542451,-0.0,True,24,0.6180339887498948,0.38196601
73,63729,1.0,0.59240602,0.0,True,24,0.6180339887498948,0.38196601
74,64602,1.0,-0.44061248,0.0,True,24,0.6180339887498948,0.38196601
75,65475,1.0,-1.47363098,0.0,True,24,0.6180339887498948,0.38196601
76,66348,1.0,-2.50664947,0.0,True,24,0.6180339887498948,0.38196601
77,67221,1.0,2.74351734,0.0,True,24,0.6180339887498948,0.38196601
78,68094,1.0,1.71049884,0.0,True,24,0.6180339887498948,0.38196601
79,68967,1.0,0.67748035,0.0,True,24,0.6180339887498948,0.38196601
80,69840,1.0,-0.35553815,-0.0,True,24,0.6180339887498948,0.38196601
81,70713,1.0,-1.38855665,0.0,True,24,0.6180339887498948,0.38196601
82,71586,1.0,-2.42157514,0.0,True,24,0.6180339887498948,0.38196601
83,72459,1.0,2.82859167,0.0,True,24,0.6180339887498948,0.38196601
84,73332,1.0,1.79557317,0.0,True,24,0.6180339887498948,0.38196601
85,74205,1.0,0.76255468,0.0,True,24,0.6180339887498948,0.38196601
86,75078,1.0,-0.27046382,0.0,True,24,0.6180339887498948,0.38196601
87,75951,1.0,-1.30348232,0.0,True,24,0.6180339887498948,0.38196601
88,76824,1.0,-2.33650081,0.0,True,24,0.6180339887498948,0.38196601
89,77697,1.0,2.913666,-0.0,True,24,0.6180339887498948,0.38196601
90,78570,1.0,1.8806475,0.0,True,24,0.6180339887498948,0.38196601
91,79443,1.0,0.847629,0.0,True,24,0.6180339887498948,0.38196601
92,80316,1.0,-0.18538949,-0.0,True,24,0.6180339887498948,0.38196601
93,81189,1.0,-1.21840799,0.0,True,24,0.6180339887498948,0.38196601
94,82062,1.0,-2.25142648,0.0,True,24,0.6180339887498948,0.38196601
95,82935,1.0,2.99874033,0.0,True,24,0.6180339887498948,0.38196601
96,83808,1.0,1.96572183,0.0,True,24,0.6180339887498948,0.38196601
97,84681,1.0,0.93270333,0.0,True,24,0.6180339887498948,0.38196601
98,85554,1.0,-0.10031516,0.0,True,24,0.6180339887498948,0.38196601
99,86427,1.0,-1.13333366,0.0,True,24,0.6180339887498948,0.38196601
100,87300,1.0,-2.16635216,0.0,True,24,0.6180339887498948,0.38196601
101,88173,1.0,3.08381466,0.0,True,24,0.6180339887498948,0.38196601
102,89046,1.0,2.05079616,0.0,True,24,0.6180339887498948,0.38196601
103,89919,1.0,1.01777766,-0.0,True,24,0.6180339887498948,0.38196601
104,90792,1.0,-0.01524083,0.0,True,24,0.6180339887498948,0.38196601
105,91665,1.0,-1.04825933,0.0,True,24,0.6180339887498948,0.38196601
106,92538,1.0,-2.08127783,0.0,True,24,0.6180339887498948,0.38196601
107,93411,1.0,-3.11429632,0.0,True,24,0.6180339887498948,0.38196601
108,94284,1.0,2.13587049,0.0,True,24,0.6180339887498948,0.38196601
109,95157,1.0,1.10285199,-0.0,True,24,0.6180339887498948,0.38196601
110,96030,1.0,0.0698335,-0.0,True,24,0.6180339887498948,0.38196601
111,96903,1.0,-0.963185,0.0,True,24,0.6180339887498948,0.38196601
112,97776,1.0,-1.9962035,0.0,True,24,0.6180339887498948,0.38196601
113,98649,1.0,-3.02922199,0.0,True,24,0.6180339887498948,0.38196601
114,99522,1.0,2.22094482,0.0,True,24,0.6180339887498948,0.38196601
115,100395,1.0,1.18792632,-0.0,True,24,0.6180339887498948,0.38196601
116,101268,1.0,0.15490782,-0.0,True,24,0.6180339887498948,0.38196601
117,102141,1.0,-0.87811067,0.0,True,24,0.6180339887498948,0.38196601
118,103014,1.0,-1.91112917,0.0,True,24,0.6180339887498948,0.38196601
119,103887,1.0,-2.94414766,0.0,True,24,0.6180339887498948,0.38196601
120,104760,1.0,2.30601915,0.0,True,24,0.6180339887498948,0.38196601
121,105633,1.0,1.27300065,0.0,True,24,0.6180339887498948,0.38196601
122,106506,1.0,0.23998215,0.0,True,24,0.6180339887498948,0.38196601
123,107379,1.0,-0.79303634,0.0,True,24,0.6180339887498948,0.38196601
124,108252,1.0,-1.82605484,0.0,True,24,0.6180339887498948,0.38196601
125,109125,1.0,-2.85907334,0.0,True,24,0.6180339887498948,0.38196601
126,109998,1.0,2.39109348,0.0,True,24,0.6180339887498948,0.38196601
127,110871,1.0,1.35807498,0.0,True,24,0.6180339887498948,0.38196601
128,111744,1.0,0.32505648,0.0,True,24,0.6180339887498948,0.38196601
129,112617,1.0,-0.70796201,0.0,True,24,0.6180339887498948,0.38196601
130,113490,1.0,-1.74098051,0.0,True,24,0.6180339887498948,0.38196601
131,114363,1.0,-2.77399901,-0.0,True,24,0.6180339887498948,0.38196601
132,115236,1.0,2.4761678,0.0,True,24,0.6180339887498948,0.38196601
133,116109,1.0,1.44314931,-0.0,True,24,0.6180339887498948,0.38196601
134,116982,1.0,0.41013081,0.0,True,24,0.6180339887498948,0.38196601
135,117855,1.0,-0.62288768,0.0,True,24,0.6180339887498948,0.38196601
136,118728,1.0,-1.65590618,-0.0,True,24,0.6180339887498948,0.38196601
137,119601,1.0,-2.68892468,0.0,True,24,0.6180339887498948,0.38196601
138,120474,1.0,2.56124213,0.0,True,24,0.6180339887498948,0.38196601
139,121347,1.0,1.52822364,0.0,True,24,0.6180339887498948,0.38196601
140,122220,1.0,0.49520514,0.0,True,24,0.6180339887498948,0.38196601
141,123093,1.0,-0.53781336,0.0,True,24,0.6180339887498948,0.38196601
142,123966,1.0,-1.57083185,0.0,True,24,0.6180339887498948,0.38196601
143,124839,1.0,-2.60385035,0.0,True,24,0.6180339887498948,0.38196601
144,125712,1.0,2.64631646,0.0,True,24,0.6180339887498948,0.38196601
145,126585,1.0,1.61329797,0.0,True,24,0.6180339887498948,0.38196601
146,127458,1.0,0.58027947,0.0,True,24,0.6180339887498948,0.38196601
147,128331,1.0,-0.45273903,0.0,True,24,0.6180339887498948,0.38196601
148,129204,1.0,-1.48575752,0.0,True,24,0.6180339887498948,0.38196601
149,130077,1.0,-2.51877602,0.0,True,24,0.6180339887498948,0.38196601
150,130950,1.0,2.73139079,0.0,True,24,0.6180339887498948,0.38196601
151,131823,1.0,1.6983723,-0.0,True,24,0.6180339887498948,0.38196601
152,132696,1.0,0.6653538,0.0,True,24,0.6180339887498948,0.38196601
153,133569,1.0,-0.3676647,0.0,True,24,0.6180339887498948,0.38196601
154,134442,1.0,-1.40068319,0.0,True,24,0.6180339887498948,0.38196601
155,135315,1.0,-2.43370169,0.0,True,24,0.6180339887498948,0.38196601
156,136188,1.0,2.81646512,-0.0,True,24,0.6180339887498948,0.38196601
157,137061,1.0,1.78344662,0.0,True,24,0.6180339887498948,0.38196601
158,137934,1.0,0.75042813,0.0,True,24,0.6180339887498948,0.38196601
159,138807,1.0,-0.28259037,0.0,True,24,0.6180339887498948,0.38196601
160,139680,1.0,-1.31560886,0.0,True,24,0.6180339887498948,0.38196601
161,140553,1.0,-2.34862736,0.0,True,24,0.6180339887498948,0.38196601
162,141426,1.0,2.90153945,-0.0,True,24,0.6180339887498948,0.38196601
163,142299,1.0,1.86852095,-0.0,True,24,0.6180339887498948,0.38196601
164,143172,1.0,0.83550246,0.0,True,24,0.6180339887498948,0.38196601
165,144045,1.0,-0.19751604,0.0,True,24,0.6180339887498948,0.38196601
166,144918,1.0,-1.23053454,-0.0,True,24,0.6180339887498948,0.38196601
167,145791,1.0,-2.26355303,0.0,True,24,0.6180339887498948,0.38196601
168,146664,1.0,2.98661378,-0.0,True,24,0.6180339887498948,0.38196601
169,147537,1.0,1.95359528,0.0,True,24,0.6180339887498948,0.38196601
170,148410,1.0,0.92057679,0.0,True,24,0.6180339887498948,0.38196601
171,149283,1.0,-0.11244171,0.0,True,24,0.6180339887498948,0.38196601
172,150156,1.0,-1.14546021,0.0,True,24,0.6180339887498948,0.38196601
173,151029,1.0,-2.1784787,0.0,True,24,0.6180339887498948,0.38196601
174,151902,1.0,3.07168811,-0.0,True,24,0.6180339887498948,0.38196601
175,152775,1.0,2.03866961,0.0,True,24,0.6180339887498948,0.38196601
176,153648,1.0,1.00565112,0.0,True,24,0.6180339887498948,0.38196601
177,154521,1.0,-0.02736738,0.0,True,24,0.6180339887498948,0.38196601
178,155394,1.0,-1.06038588,0.0,True,24,0.6180339887498948,0.38196601
179,156267,1.0,-2.09340437,0.0,True,24,0.6180339887498948,0.38196601
180,157140,1.0,-3.12642287,0.0,True,24,0.6180339887498948,0.38196601
181,158013,1.0,2.12374394,0.0,True,24,0.6180339887498948,0.38196601
182,158886,1.0,1.09072544,0.0,True,24,0.6180339887498948,0.38196601
183,159759,1.0,0.05770695,0.0,True,24,0.6180339887498948,0.38196601
184,160632,1.0,-0.97531155,0.0,True,24,0.6180339887498948,0.38196601
185,161505,1.0,-2.00833004,0.0,True,24,0.6180339887498948,0.38196601
186,162378,1.0,-3.04134854,0.0,True,24,0.6180339887498948,0.38196601
187,163251,1.0,2.20881827,0.0,True,24,0.6180339887498948,0.38196601
188,164124,1.0,1.17579977,0.0,True,24,0.6180339887498948,0.38196601
189,164997,1.0,0.14278128,0.0,True,24,0.6180339887498948,0.38196601
190,165870,1.0,-0.89023722,0.0,True,24,0.6180339887498948,0.38196601
191,166743,1.0,-1.92325572,0.0,True,24,0.6180339887498948,0.38196601
192,167616,1.0,-2.95627421,0.0,True,24,0.6180339887498948,0.38196601
193,168489,1.0,2.2938926,0.0,True,24,0.6180339887498948,0.38196601
194,169362,1.0,1.2608741,-0.0,True,24,0.6180339887498948,0.38196601
195,170235,1.0,0.22785561,0.0,True,24,0.6180339887498948,0.38196601
196,171108,1.0,-0.80516289,0.0,True,24,0.6180339887498948,0.38196601
197,171981,1.0,-1.83818139,0.0,True,24,0.6180339887498948,0.38196601
198,172854,1.0,-2.87119988,0.0,True,24,0.6180339887498948,0.38196601
199,173727,1.0,2.37896693,0.0,True,24,0.6180339887498948,0.38196601
200,174600,1.0,1.34594843,0.0,True,24,0.6180339887498948,0.38196601
201,175473,1.0,0.31292994,-0.0,True,24,0.6180339887498948,0.38196601
202,176346,1.0,-0.72008856,0.0,True,24,0.6180339887498948,0.38196601
203,177219,1.0,-1.75310706,0.0,True,24,0.6180339887498948,0.38196601
204,178092,1.0,-2.78612555,0.0,True,24,0.6180339887498948,0.38196601
205,178965,1.0,2.46404126,0.0,True,24,0.6180339887498948,0.38196601
206,179838,1.0,1.43102276,0.0,True,24,0.6180339887498948,0.38196601
207,180711,1.0,0.39800426,0.0,True,24,0.6180339887498948,0.38196601
208,181584,1.0,-0.63501423,0.0,True,24,0.6180339887498948,0.38196601
209,182457,1.0,-1.66803273,0.0,True,24,0.6180339887498948,0.38196601
210,183330,1.0,-2.70105122,0.0,True,24,0.6180339887498948,0.38196601
211,184203,1.0,2.54911559,0.0,True,24,0.6180339887498948,0.38196601
212,185076,1.0,1.51609709,0.0,True,24,0.6180339887498948,0.38196601
213,185949,1.0,0.48307859,0.0,True,24,0.6180339887498948,0.38196601
214,186822,1.0,-0.5499399,0.0,True,24,0.6180339887498948,0.38196601
215,187695,1.0,-1.5829584,0.0,True,24,0.6180339887498948,0.38196601
216,188568,1.0,-2.6159769,0.0,True,24,0.6180339887498948,0.38196601
217,189441,1.0,2.63418991,-0.0,True,24,0.6180339887498948,0.38196601
218,190314,1.0,1.60117142,0.0,True,24,0.6180339887498948,0.38196601
219,191187,1.0,0.56815292,0.0,True,24,0.6180339887498948,0.38196601
220,192060,1.0,-0.46486557,0.0,True,24,0.6180339887498948,0.38196601
221,192933,1.0,-1.49788407,-0.0,True,24,0.6180339887498948,0.38196601
222,193806,1.0,-2.53090257,0.0,True,24,0.6180339887498948,0.38196601
223,194679,1.0,2.71926424,0.0,True,24,0.6180339887498948,0.38196601
224,195552,1.0,1.68624575,0.0,True,24,0.6180339887498948,0.38196601
225,196425,1.0,0.65322725,0.0,True,24,0.6180339887498948,0.38196601
226,197298,1.0,-0.37979125,-0.0,True,24,0.6180339887498948,0.38196601
227,198171,1.0,-1.41280974,0.0,True,24,0.6180339887498948,0.38196601
228,199044,1.0,-2.44582824,0.0,True,24,0.6180339887498948,0.38196601
229,199917,1.0,2.80433857,0.0,True,24,0.6180339887498948,0.38196601
230,200790,1.0,1.77132008,0.0,True,24,0.6180339887498948,0.38196601
231,201663,1.0,0.73830158,0.0,True,24,0.6180339887498948,0.38196601
232,202536,1.0,-0.29471692,0.0,True,24,0.6180339887498948,0.38196601
233,203409,1.0,-1.32773541,0.0,True,24,0.6180339887498948,0.38196601
234,204282,1.0,-2.36075391,0.0,True,24,0.6180339887498948,0.38196601
235,205155,1.0,2.8894129,0.0,True,24,0.6180339887498948,0.38196601
236,206028,1.0,1.85639441,0.0,True,24,0.6180339887498948,0.38196601
237,206901,1.0,0.82337591,-0.0,True,24,0.6180339887498948,0.38196601
238,207774,1.0,-0.20964259,0.0,True,24,0.6180339887498948,0.38196601
239,208647,1.0,-1.24266108,0.0,True,24,0.6180339887498948,0.38196601
240,209520,1.0,-2.27567958,0.0,True,24,0.6180339887498948,0.38196601
241,210393,1.0,2.97448723,0.0,True,24,0.6180339887498948,0.38196601
242,211266,1.0,1.94146873,-0.0,True,24,0.6180339887498948,0.38196601
243,212139,1.0,0.90845024,0.0,True,24,0.6180339887498948,0.38196601
244,213012,1.0,-0.12456826,0.0,True,24,0.6180339887498948,0.38196601
245,213885,1.0,-1.15758675,0.0,True,24,0.6180339887498948,0.38196601
246,214758,1.0,-2.19060525,0.0,True,24,0.6180339887498948,0.38196601
247,215631,1.0,3.05956156,0.0,True,24,0.6180339887498948,0.38196601
248,216504,1.0,2.02654306,0.0,True,24,0.6180339887498948,0.38196601
249,217377,1.0,0.99352457,0.0,True,24,0.6180339887498948,0.38196601
250,218250,1.0,-0.03949393,0.0,True,24,0.6180339887498948,0.38196601
251,219123,1.0,-1.07251243,0.0,True,24,0.6180339887498948,0.38196601
252,219996,1.0,-2.10553092,0.0,True,24,0.6180339887498948,0.38196601
253,220869,1.0,-3.13854942,0.0,True,24,0.6180339887498948,0.38196601
254,221742,1.0,2.11161739,0.0,True,24,0.6180339887498948,0.38196601
255,222615,1.0,1.0785989,0.0,True,24,0.6180339887498948,0.38196601
256,223488,1.0,0.0455804,0.0,True,24,0.6180339887498948,0.38196601
257,224361,1.0,-0.9874381,-0.0,True,24,0.6180339887498948,0.38196601
258,225234,1.0,-2.02045659,-0.0,True,24,0.6180339887498948,0.38196601
259,226107,1.0,-3.05347509,0.0,True,24,0.6180339887498948,0.38196601
260,226980,1.0,2.19669172,0.0,True,24,0.6180339887498948,0.38196601
261,227853,1.0,1.16367323,0.0,True,24,0.6180339887498948,0.38196601
262,228726,1.0,0.13065473,0.0,True,24,0.6180339887498948,0.38196601
263,229599,1.0,-0.90236377,0.0,True,24,0.6180339887498948,0.38196601
264,230472,1.0,-1.93538226,0.0,True,24,0.6180339887498948,0.38196601
265,231345,1.0,-2.96840076,0.0,True,24,0.6180339887498948,0.38196601
266,232218,1.0,2.28176605,0.0,True,24,0.6180339887498948,0.38196601
267,233091,1.0,1.24874755,0.0,True,24,0.6180339887498948,0.38196601
268,233964,1.0,0.21572906,0.0,True,24,0.6180339887498948,0.38196601
269,234837,1.0,-0.81728944,0.0,True,24,0.6180339887498948,0.38196601
270,235710,1.0,-1.85030793,0.0,True,24,0.6180339887498948,0.38196601
271,236583,1.0,-2.88332643,-0.0,True,24,0.6180339887498948,0.38196601
272,237456,1.0,2.36684038,0.0,True,24,0.6180339887498948,0.38196601
273,238329,1.0,1.33382188,-0.0,True,24,0.6180339887498948,0.38196601
274,239202,1.0,0.30080339,0.0,True,24,0.6180339887498948,0.38196601
275,240075,1.0,-0.73221511,0.0,True,24,0.6180339887498948,0.38196601
276,240948,1.0,-1.76523361,0.0,True,24,0.6180339887498948,0.38196601
277,241821,1.0,-2.7982521,0.0,True,24,0.6180339887498948,0.38196601
278,242694,1.0,2.45191471,0.0,True,24,0.6180339887498948,0.38196601
279,243567,1.0,1.41889621,0.0,True,24,0.6180339887498948,0.38196601
280,244440,1.0,0.38587772,0.0,True,24,0.6180339887498948,0.38196601
281,245313,1.0,-0.64714078,-0.0,True,24,0.6180339887498948,0.38196601
282,246186,1.0,-1.68015928,0.0,True,24,0.6180339887498948,0.38196601
283,247059,1.0,-2.71317777,0.0,True,24,0.6180339887498948,0.38196601
284,247932,1.0,2.53698904,0.0,True,24,0.6180339887498948,0.38196601
285,248805,1.0,1.50397054,0.0,True,24,0.6180339887498948,0.38196601
286,249678,1.0,0.47095205,0.0,True,24,0.6180339887498948,0.38196601
287,250551,1.0,-0.56206645,0.0,True,24,0.6180339887498948,0.38196601
288,251424,1.0,-1.59508495,0.0,True,24,0.6180339887498948,0.38196601
289,252297,1.0,-2.62810344,0.0,True,24,0.6180339887498948,0.38196601
290,253170,1.0,2.62206337,0.0,True,24,0.6180339887498948,0.38196601
291,254043,1.0,1.58904487,0.0,True,24,0.6180339887498948,0.38196601
292,254916,1.0,0.55602637,0.0,True,24,0.6180339887498948,0.38196601
293,255789,1.0,-0.47699212,0.0,True,24,0.6180339887498948,0.38196601
294,256662,1.0,-1.51001062,0.0,True,24,0.6180339887498948,0.38196601
295,257535,1.0,-2.54302911,0.0,True,24,0.6180339887498948,0.38196601
296,258408,1.0,2.7071377,0.0,True,24,0.6180339887498948,0.38196601
297,259281,1.0,1.6741192,0.0,True,24,0.6180339887498948,0.38196601
298,260154,1.0,0.6411007,0.0,True,24,0.6180339887498948,0.38196601
299,261027,1.0,-0.39191779,0.0,True,24,0.6180339887498948,0.38196601
300,261900,1.0,-1.42493629,0.0,True,24,0.6180339887498948,0.38196601
301,262773,1.0,-2.45795479,0.0,True,24,0.6180339887498948,0.38196601
302,263646,1.0,2.79221203,-0.0,True,24,0.6180339887498948,0.38196601
303,264519,1.0,1.75919353,0.0,True,24,0.6180339887498948,0.38196601
304,265392,1.0,0.72617503,0.0,True,24,0.6180339887498948,0.38196601
305,266265,1.0,-0.30684346,0.0,True,24,0.6180339887498948,0.38196601
306,267138,1.0,-1.33986196,0.0,True,24,0.6180339887498948,0.38196601
307,268011,1.0,-2.37288046,0.0,True,24,0.6180339887498948,0.38196601
308,268884,1.0,2.87728635,-0.0,True,24,0.6180339887498948,0.38196601
309,269757,1.0,1.84426786,0.0,True,24,0.6180339887498948,0.38196601
310,270630,1.0,0.81124936,-0.0,True,24,0.6180339887498948,0.38196601
311,271503,1.0,-0.22176913,0.0,True,24,0.6180339887498948,0.38196601
312,272376,1.0,-1.25478763,0.0,True,24,0.6180339887498948,0.38196601
313,273249,1.0,-2.28780613,0.0,True,24,0.6180339887498948,0.38196601
314,274122,1.0,2.96236068,0.0,True,24,0.6180339887498948,0.38196601
315,274995,1.0,1.92934219,0.0,True,24,0.6180339887498948,0.38196601
316,275868,1.0,0.89632369,0.0,True,24,0.6180339887498948,0.38196601
317,276741,1.0,-0.13669481,0.0,True,24,0.6180339887498948,0.38196601
318,277614,1.0,-1.1697133,0.0,True,24,0.6180339887498948,0.38196601
319,278487,1.0,-2.2027318,0.0,True,24,0.6180339887498948,0.38196601
320,279360,1.0,3.04743501,0.0,True,24,0.6180339887498948,0.38196601
321,280233,1.0,2.01441652,0.0,True,24,0.6180339887498948,0.38196601
322,281106,1.0,0.98139802,0.0,True,24,0.6180339887498948,0.38196601
323,281979,1.0,-0.05162048,0.0,True,24,0.6180339887498948,0.38196601
324,282852,1.0,-1.08463897,0.0,True,24,0.6180339887498948,0.38196601
325,283725,1.0,-2.11765747,-0.0,True,24,0.6180339887498948,0.38196601
326,284598,1.0,3.13250934,-0.0,True,24,0.6180339887498948,0.38196601
327,285471,1.0,2.09949085,0.0,True,24,0.6180339887498948,0.38196601
328,286344,1.0,1.06647235,0.0,True,24,0.6180339887498948,0.38196601
329,287217,1.0,0.03345385,-0.0,True,24,0.6180339887498948,0.38196601
330,288090,1.0,-0.99956464,0.0,True,24,0.6180339887498948,0.38196601
331,288963,1.0,-2.03258314,0.0,True,24,0.6180339887498948,0.38196601
332,289836,1.0,-3.06560164,-0.0,True,24,0.6180339887498948,0.38196601
333,290709,1.0,2.18456517,0.0,True,24,0.6180339887498948,0.38196601
334,291582,1.0,1.15154668,0.0,True,24,0.6180339887498948,0.38196601
335,292455,1.0,0.11852818,0.0,True,24,0.6180339887498948,0.38196601
336,293328,1.0,-0.91449031,0.0,True,24,0.6180339887498948,0.38196601
337,294201,1.0,-1.94750881,0.0,True,24,0.6180339887498948,0.38196601
338,295074,1.0,-2.98052731,0.0,True,24,0.6180339887498948,0.38196601
339,295947,1.0,2.2696395,0.0,True,24,0.6180339887498948,0.38196601
340,296820,1.0,1.23662101,0.0,True,24,0.6180339887498948,0.38196601
341,297693,1.0,0.20360251,0.0,True,24,0.6180339887498948,0.38196601
342,298566,1.0,-0.82941599,0.0,True,24,0.6180339887498948,0.38196601
343,299439,1.0,-1.86243448,0.0,True,24,0.6180339887498948,0.38196601
344,300312,1.0,-2.89545298,-0.0,True,24,0.6180339887498948,0.38196601
345,301185,1.0,2.35471383,0.0,True,24,0.6180339887498948,0.38196601
346,302058,1.0,1.32169534,0.0,True,24,0.6180339887498948,0.38196601
347,302931,1.0,0.28867684,0.0,True,24,0.6180339887498948,0.38196601
348,303804,1.0,-0.74434166,-0.0,True,24,0.6180339887498948,0.38196601
349,304677,1.0,-1.77736015,-0.0,True,24,0.6180339887498948,0.38196601
350,305550,1.0,-2.81037865,0.0,True,24,0.6180339887498948,0.38196601
351,306423,1.0,2.43978816,0.0,True,24,0.6180339887498948,0.38196601
352,307296,1.0,1.40676967,-0.0,True,24,0.6180339887498948,0.38196601
353,308169,1.0,0.37375117,0.0,True,24,0.6180339887498948,0.38196601
354,309042,1.0,-0.65926733,0.0,True,24,0.6180339887498948,0.38196601
355,309915,1.0,-1.69228582,0.0,True,24,0.6180339887498948,0.38196601
