beat_number,ideal_ms,actual_ms,drift_ms,cumulative_drift_ms,trades_settled,settlement_value_icp,is_sync_beat,is_netting_beat,phi_4_derivation,schumann_hz
40,873,873.0717,0.0717,50.8753,5,2864.5516,False,True,875.3642,7.83
41,873,874.7687,1.7687,52.644,46,3203.6786,False,False,875.3642,7.83
42,873,874.7188,1.7188,54.3628,7,4318.7686,True,False,875.3642,7.83
43,873,871.3394,-1.6606,56.0234,7,3135.4649,False,False,875.3642,7.83
44,873,875.1922,2.1922,58.2156,8,4075.0632,False,False,875.3642,7.83
45,873,875.5192,2.5192,60.7348,6,4434.4595,True,False,875.3642,7.83
46,873,873.0474,0.0474,60.7822,9,6048.0907,False,False,875.3642,7.83
47,873,873.6434,0.6434,61.4255,11,5616.7377,False,False,875.3642,7.83
48,873,870.5461,-2.4539,63.8794,1,4509.5067,True,True,875.3642,7.83
49,873,874.0266,1.0266,64.906,31,5719.5067,False,False,875.3642,7.83
50,873,872.4667,-0.5333,65.4393,17,5293.3456,False,False,875.3642,7.83
51,873,872.9408,-0.0592,65.4985,2,4422.7723,True,False,875.3642,7.83
52,873,874.7415,1.7415,67.24,9,4890.1156,False,False,875.3642,7.83
53,873,871.5726,-1.4274,68.6674,32,207.3525,False,False,875.3642,7.83
54,873,874.091,1.091,69.7583,7,1436.2842,True,False,875.3642,7.83
55,873,871.4597,-1.5403,71.2986,5,5099.3461,False,False,875.3642,7.83
56,873,873.3862,0.3862,71.6848,15,170.3378,False,True,875.3642,7.83
57,873,872.0745,-0.9255,72.6103,62,1454.1663,True,False,875.3642,7.83
58,873,874.9369,1.9369,74.5472,4,1310.5476,False,False,875.3642,7.83
59,873,873.1647,0.1647,74.7119,16,4537.7706,False,False,875.3642,7.83
60,873,872.628,-0.372,75.0839,8,4040.6447,True,False,875.3642,7.83
61,873,874.2118,1.2118,76.2957,0,638.6999,False,False,875.3642,7.83
62,873,872.6294,-0.3706,76.6663,12,3727.106,False,False,875.3642,7.83
63,873,872.5193,-0.4807,77.147,10,3363.9176,True,False,875.3642,7.83
64,873,873.5219,0.5219,77.6689,0,946.9991,False,True,875.3642,7.83
65,873,875.4816,2.4816,80.1504,5,4788.0768,False,False,875.3642,7.83
66,873,873.6356,0.6356,80.786,2,2557.1202,True,False,875.3642,7.83
67,873,873.5352,0.5352,81.3212,10,2029.6371,False,False,875.3642,7.83
68,873,871.4424,-1.5576,82.8788,31,3626.1603,False,False,875.3642,7.83
69,873,871.9015,-1.0985,83.9773,32,4370.2945,True,False,875.3642,7.83
70,873,872.5931,-0.4069,84.3842,15,4632.3166,False,False,875.3642,7.83
71,873,871.339,-1.661,86.0452,16,3696.1948,False,False,875.3642,7.83
72,873,872.2257,-0.7743,86.8195,17,163.7813,True,True,875.3642,7.83
73,873,875.5752,2.5752,89.3947,3,5472.084,False,False,875.3642,7.83
74,873,873.2255,0.2255,89.6202,3,3762.2273,False,False,875.3642,7.83
75,873,872.4521,-0.5479,90.1681,6,234.8733,True,False,875.3642,7.83
76,873,873.1984,0.1984,90.3665,11,2710.4998,False,False,875.3642,7.83
77,873,872.9999,-0.0001,90.3666,3,68.4544,False,False,875.3642,7.83
78,873,871.777,-1.223,91.5896,50,1345.3508,True,False,875.3642,7.83
79,873,876.2308,3.2308,94.8204,6,1712.3519,False,False,875.3642,7.83
80,873,872.6916,-0.3084,95.1288,1,4525.1744,False,True,875.3642,7.83
81,873,873.3926,0.3926,95.5215,21,1770.7897,True,False,875.3642,7.83
82,873,872.539,-0.461,95.9825,1,1014.2611,False,False,875.3642,7.83
83,873,872.5375,-0.4625,96.4449,7,2937.7228,False,False,875.3642,7.83
84,873,872.2962,-0.7038,97.1487,34,1213.8446,True,False,875.3642,7.83
85,873,873.5338,0.5338,97.6825,1,4773.8408,False,False,875.3642,7.83
86,873,873.7095,0.7095,98.392,30,3100.8993,False,False,875.3642,7.83
87,873,871.361,-1.639,100.0311,5,1804.5331,True,False,875.3642,7.83
88,873,871.1668,-1.8332,101.8642,4,3436.0634,False,True,875.3642,7.83
89,873,873.4444,0.4444,102.3086,12,1213.6772,False,False,875.3642,7.83
90,873,871.9199,-1.0801,103.3887,4,5138.8046,True,False,875.3642,7.83
91,873,872.3356,-0.6644,104.0531,5,655.2634,False,False,875.3642,7.83
92,873,873.694,0.694,104.7471,1,3208.2945,False,False,875.3642,7.83
93,873,875.4295,2.4295,107.1765,7,1565.0792,True,False,875.3642,7.83
94,873,873.961,0.961,108.1375,9,1526.2034,False,False,875.3642,7.83
95,873,874.5002,1.5002,109.6377,9,4678.3023,False,False,875.3642,7.83
96,873,872.2904,-0.7096,110.3473,29,2049.0394,True,True,875.3642,7.83
97,873,871.9324,-1.0676,111.4148,23,4189.887,False,False,875.3642,7.83
98,873,872.0615,-0.9385,112.3533,12,5685.2608,False,False,875.3642,7.83
99,873,875.7164,2.7164,115.0697,8,3799.843,True,False,875.3642,7.83
100,873,874.1612,1.1612,116.2309,6,3321.4985,False,False,875.3642,7.83
101,873,871.841,-1.159,117.3899,6,1029.295,False,False,875.3642,7.83
102,873,873.5011,0.5011,117.891,1,4670.0915,True,False,875.3642,7.83
103,873,873.9189,0.9189,118.8099,13,139.3921,False,False,875.3642,7.83
104,873,874.5905,1.5905,120.4004,5,1755.7451,False,True,875.3642,7.83
105,873,870.3463,-2.6537,123.0541,7,2841.8752,True,False,875.3642,7.83
106,873,873.5808,0.5808,123.6349,5,5857.5447,False,False,875.3642,7.83
107,873,874.2339,1.2339,124.8688,19,4829.3266,False,False,875.3642,7.83
108,873,876.3316,3.3316,128.2004,31,3512.6251,True,False,875.3642,7.83
109,873,871.2486,-1.7514,129.9519,6,4472.4216,False,False,875.3642,7.83
110,873,873.1942,0.1942,130.1461,17,2421.2227,False,False,875.3642,7.83
111,873,871.1796,-1.8204,131.9664,40,5965.3366,True,False,875.3642,7.83
112,873,871.47,-1.53,133.4964,33,1357.7716,False,True,875.3642,7.83
113,873,873.4587,0.4587,133.9551,1,2562.8947,False,False,875.3642,7.83
114,873,873.1403,0.1403,134.0954,43,986.1336,True,False,875.3642,7.83
115,873,874.8725,1.8725,135.9678,5,4146.1722,False,False,875.3642,7.83
116,873,873.3945,0.3945,136.3623,25,4048.069,False,False,875.3642,7.83
117,873,873.2173,0.2173,136.5796,5,2335.8979,True,False,875.3642,7.83
118,873,874.7555,1.7555,138.3351,13,5876.9219,False,False,875.3642,7.83
119,873,872.291,-0.709,139.0441,0,5762.3149,False,False,875.3642,7.83
120,873,872.6471,-0.3529,139.397,2,5757.1351,True,True,875.3642,7.83
121,873,869.4604,-3.5396,142.9366,2,5914.0421,False,False,875.3642,7.83
122,873,873.0914,0.0914,143.0279,2,352.1676,False,False,875.3642,7.83
123,873,872.9832,-0.0168,143.0448,20,1814.3543,True,False,875.3642,7.83
124,873,873.0648,0.0648,143.1095,3,1319.0622,False,False,875.3642,7.83
125,873,873.0054,0.0054,143.1149,5,3983.8699,False,False,875.3642,7.83
126,873,874.7189,1.7189,144.8339,1,1634.9178,True,False,875.3642,7.83
127,873,873.7694,0.7694,145.6033,11,1764.8225,False,False,875.3642,7.83
128,873,870.5221,-2.4779,148.0811,28,5520.6608,False,True,875.3642,7.83
129,873,872.8954,-0.1046,148.1857,55,3707.9511,True,False,875.3642,7.83
130,873,874.9515,1.9515,150.1372,7,1588.4092,False,False,875.3642,7.83
131,873,873.3925,0.3925,150.5296,13,103.5809,False,False,875.3642,7.83
132,873,871.1346,-1.8654,152.3951,89,3302.5388,True,False,875.3642,7.83
133,873,872.565,-0.435,152.83,4,36.2481,False,False,875.3642,7.83
134,873,872.9187,-0.0813,152.9114,13,1568.5594,False,False,875.3642,7.83
135,873,876.0703,3.0703,155.9817,9,900.1464,True,False,875.3642,7.83
136,873,872.9682,-0.0318,156.0135,27,1085.6615,False,True,875.3642,7.83
137,873,874.4063,1.4063,157.4197,79,694.8209,False,False,875.3642,7.83
138,873,872.2488,-0.7512,158.1709,45,452.5754,True,False,875.3642,7.83
139,873,872.4646,-0.5354,158.7063,6,3079.2359,False,False,875.3642,7.83
140,873,872.755,-0.245,158.9513,41,5178.0229,False,False,875.3642,7.83
141,873,871.7943,-1.2057,160.157,10,181.8395,True,False,875.3642,7.83
142,873,870.4948,-2.5052,162.6622,3,1156.2202,False,False,875.3642,7.83
143,873,872.6286,-0.3714,163.0336,79,4715.6936,False,False,875.3642,7.83
144,873,871.4564,-1.5436,164.5772,24,6164.2842,True,True,875.3642,7.83
145,873,874.2412,1.2412,165.8184,5,3827.1604,False,False,875.3642,7.83
146,873,871.6306,-1.3694,167.1879,5,3220.1669,False,False,875.3642,7.83
147,873,875.7655,2.7655,169.9534,48,4324.27,True,False,875.3642,7.83
148,873,872.1615,-0.8385,170.7919,16,2918.9524,False,False,875.3642,7.83
149,873,874.1583,1.1583,171.9502,17,1944.7008,False,False,875.3642,7.83
150,873,874.1794,1.1794,173.1296,29,5634.5294,True,False,875.3642,7.83
151,873,874.0149,1.0149,174.1445,17,1769.886,False,False,875.3642,7.83
152,873,875.2109,2.2109,176.3554,3,4763.5909,False,True,875.3642,7.83
153,873,872.7789,-0.2211,176.5765,14,5017.6569,True,False,875.3642,7.83
154,873,873.4104,0.4104,176.987,34,5695.2173,False,False,875.3642,7.83
155,873,871.4357,-1.5643,178.5512,32,6116.519,False,False,875.3642,7.83
156,873,873.2171,0.2171,178.7683,2,627.9772,True,False,875.3642,7.83
157,873,874.0908,1.0908,179.8591,17,5913.4865,False,False,875.3642,7.83
158,873,872.4657,-0.5343,180.3934,52,4009.1461,False,False,875.3642,7.83
159,873,873.9712,0.9712,181.3646,50,151.9415,True,False,875.3642,7.83
160,873,874.7033,1.7033,183.0679,3,4904.003,False,True,875.3642,7.83
161,873,874.6175,1.6175,184.6854,49,3276.4423,False,False,875.3642,7.83
162,873,873.4029,0.4029,185.0882,1,6069.4761,True,False,875.3642,7.83
163,873,873.0863,0.0863,185.1745,14,5829.5191,False,False,875.3642,7.83
164,873,873.7253,0.7253,185.8998,4,517.1368,False,False,875.3642,7.83
165,873,874.0093,1.0093,186.909,3,3089.9847,True,False,875.3642,7.83
166,873,875.0541,2.0541,188.9632,50,1288.8893,False,False,875.3642,7.83
167,873,870.3521,-2.6479,191.6111,4,3204.3178,False,False,875.3642,7.83
168,873,874.3606,1.3606,192.9717,5,4778.2075,True,True,875.3642,7.83
169,873,873.0326,0.0326,193.0043,3,2182.0483,False,False,875.3642,7.83
170,873,875.6608,2.6608,195.6651,5,2085.3287,False,False,875.3642,7.83
171,873,874.5784,1.5784,197.2435,28,5908.5173,True,False,875.3642,7.83
172,873,873.1067,0.1067,197.3502,3,1585.363,False,False,875.3642,7.83
173,873,871.495,-1.505,198.8553,5,782.2013,False,False,875.3642,7.83
174,873,871.7514,-1.2486,200.1039,13,5564.2494,True,False,875.3642,7.83
175,873,874.3642,1.3642,201.4681,3,4677.928,False,False,875.3642,7.83
176,873,872.7627,-0.2373,201.7055,6,3071.0746,False,True,875.3642,7.83
177,873,871.0312,-1.9688,203.6742,6,732.768,True,False,875.3642,7.83
178,873,872.7666,-0.2334,203.9076,32,1941.1758,False,False,875.3642,7.83
179,873,873.9975,0.9975,204.9051,8,3291.1068,False,False,875.3642,7.83
180,873,872.0665,-0.9335,205.8386,38,1444.2155,True,False,875.3642,7.83
181,873,872.4181,-0.5819,206.4206,5,3721.3424,False,False,875.3642,7.83
182,873,871.0829,-1.9171,208.3377,11,2216.9011,False,False,875.3642,7.83
183,873,871.7903,-1.2097,209.5474,1,4219.2924,True,False,875.3642,7.83
184,873,870.9989,-2.0011,211.5485,5,2260.6251,False,True,875.3642,7.83
185,873,870.8576,-2.1424,213.6909,0,4895.6161,False,False,875.3642,7.83
186,873,872.9535,-0.0465,213.7374,1,2183.044,True,False,875.3642,7.83
187,873,875.1553,2.1553,215.8927,0,5561.2806,False,False,875.3642,7.83
188,873,874.6009,1.6009,217.4937,0,2056.604,False,False,875.3642,7.83
189,873,871.861,-1.139,218.6327,4,3677.8527,True,False,875.3642,7.83
190,873,873.3462,0.3462,218.9789,4,4488.4984,False,False,875.3642,7.83
191,873,871.0298,-1.9702,220.9491,4,5014.168,False,False,875.3642,7.83
192,873,872.1375,-0.8625,221.8117,1,4581.0037,True,True,875.3642,7.83
193,873,873.7097,0.7097,222.5214,0,3154.7083,False,False,875.3642,7.83
194,873,873.7778,0.7778,223.2992,8,1387.9105,False,False,875.3642,7.83
195,873,871.4809,-1.5191,224.8183,27,5821.2905,True,False,875.3642,7.83
196,873,872.9238,-0.0762,224.8944,9,1636.4785,False,False,875.3642,7.83
197,873,873.3241,0.3241,225.2186,74,246.3714,False,False,875.3642,7.83
198,873,873.9838,0.9838,226.2024,32,4094.5056,True,False,875.3642,7.83
199,873,872.004,-0.996,227.1984,5,2472.7409,False,False,875.3642,7.83
200,873,871.6255,-1.3745,228.5729,86,1609.788,False,True,875.3642,7.83
201,873,870.9836,-2.0164,230.5893,4,48.2236,True,False,875.3642,7.83
202,873,872.9073,-0.0927,230.682,2,4530.415,False,False,875.3642,7.83
203,873,870.0797,-2.9203,233.6023,59,4671.7138,False,False,875.3642,7.83
204,873,872.1472,-0.8528,234.4551,18,2936.644,True,False,875.3642,7.83
205,873,871.9126,-1.0874,235.5425,6,4449.6403,False,False,875.3642,7.83
206,873,873.0016,0.0016,235.5441,4,4722.0737,False,False,875.3642,7.83
207,873,871.2064,-1.7936,237.3377,17,4514.8144,True,False,875.3642,7.83
208,873,871.5212,-1.4788,238.8165,43,4860.7822,False,True,875.3642,7.83
209,873,873.7005,0.7005,239.517,53,552.6266,False,False,875.3642,7.83
210,873,876.187,3.187,242.704,10,2234.3123,True,False,875.3642,7.83
211,873,873.8906,0.8906,243.5946,5,610.2826,False,False,875.3642,7.83
212,873,871.8516,-1.1484,244.743,12,4167.7617,False,False,875.3642,7.83
213,873,875.1384,2.1384,246.8814,1,2240.0731,True,False,875.3642,7.83
214,873,872.3366,-0.6634,247.5448,3,2992.7205,False,False,875.3642,7.83
215,873,871.8826,-1.1174,248.6622,0,5116.6263,False,False,875.3642,7.83
216,873,873.3669,0.3669,249.0291,66,597.1666,True,True,875.3642,7.83
217,873,875.7594,2.7594,251.7885,6,2350.7314,False,False,875.3642,7.83
218,873,870.5219,-2.4781,254.2666,33,3012.8865,False,False,875.3642,7.83
219,873,871.4057,-1.5943,255.8609,7,2417.2078,True,False,875.3642,7.83
220,873,871.0379,-1.9621,257.823,88,2208.3542,False,False,875.3642,7.83
221,873,872.8746,-0.1254,257.9483,35,3312.9089,False,False,875.3642,7.83
222,873,872.2461,-0.7539,258.7022,14,5427.6461,True,False,875.3642,7.83
223,873,873.6275,0.6275,259.3297,31,4648.5024,False,False,875.3642,7.83
224,873,873.6641,0.6641,259.9938,85,2764.2483,False,True,875.3642,7.83
225,873,874.2678,1.2678,261.2616,4,5287.3085,True,False,875.3642,7.83
226,873,873.0645,0.0645,261.3261,8,2682.2728,False,False,875.3642,7.83
227,873,870.2137,-2.7863,264.1125,32,1792.5502,False,False,875.3642,7.83
228,873,872.124,-0.876,264.9885,17,3587.4036,True,False,875.3642,7.83
229,873,872.5277,-0.4723,265.4608,0,3035.3478,False,False,875.3642,7.83
230,873,871.1198,-1.8802,267.341,12,41.3234,False,False,875.3642,7.83
231,873,871.4126,-1.5874,268.9285,57,317.846,True,False,875.3642,7.83
232,873,871.4564,-1.5436,270.4721,1,602.9243,False,True,875.3642,7.83
233,873,874.8225,1.8225,272.2945,5,496.9323,False,False,875.3642,7.83
234,873,874.175,1.175,273.4695,4,2583.4456,True,False,875.3642,7.83
235,873,873.3845,0.3845,273.854,3,2263.8382,False,False,875.3642,7.83
236,873,875.6531,2.6531,276.5071,1,1808.9194,False,False,875.3642,7.83
237,873,871.9518,-1.0482,277.5553,17,3306.3516,True,False,875.3642,7.83
238,873,872.3449,-0.6551,278.2103,17,552.0586,False,False,875.3642,7.83
239,873,873.4211,0.4211,278.6315,7,2669.107,False,False,875.3642,7.83
240,873,871.0589,-1.9411,280.5726,8,360.426,True,True,875.3642,7.83
241,873,873.1084,0.1084,280.681,39,190.8204,False,False,875.3642,7.83
242,873,873.2701,0.2701,280.9511,16,47.9483,False,False,875.3642,7.83
243,873,869.9789,-3.0211,283.9722,8,2094.9998,True,False,875.3642,7.83
244,873,873.9378,0.9378,284.91,0,3793.0146,False,False,875.3642,7.83
245,873,874.257,1.257,286.167,6,3529.3337,False,False,875.3642,7.83
246,873,871.1863,-1.8137,287.9807,50,3619.352,True,False,875.3642,7.83
247,873,871.3942,-1.6058,289.5865,18,563.3993,False,False,875.3642,7.83
248,873,871.9087,-1.0913,290.6778,2,1156.06,False,True,875.3642,7.83
249,873,870.9822,-2.0178,292.6956,0,2716.1538,True,False,875.3642,7.83
250,873,874.6376,1.6376,294.3331,12,2443.5557,False,False,875.3642,7.83
251,873,872.3923,-0.6077,294.9408,10,2590.6334,False,False,875.3642,7.83
252,873,872.934,-0.066,295.0068,10,2120.2619,True,False,875.3642,7.83
253,873,870.0587,-2.9413,297.9481,25,31.4991,False,False,875.3642,7.83
254,873,874.4812,1.4812,299.4293,11,5065.5029,False,False,875.3642,7.83
255,873,875.1778,2.1778,301.6071,6,3124.484,True,False,875.3642,7.83
256,873,870.5311,-2.4689,304.0759,4,487.0899,False,True,875.3642,7.83
257,873,872.2889,-0.7111,304.787,21,4062.1919,False,False,875.3642,7.83
258,873,872.9074,-0.0926,304.8797,1,2011.7399,True,False,875.3642,7.83
259,873,875.4996,2.4996,307.3792,11,3023.787,False,False,875.3642,7.83
260,873,872.7903,-0.2097,307.589,0,727.7435,False,False,875.3642,7.83
261,873,874.4727,1.4727,309.0616,7,2535.1838,True,False,875.3642,7.83
262,873,871.5661,-1.4339,310.4956,8,572.0356,False,False,875.3642,7.83
263,873,874.7229,1.7229,312.2185,7,4187.5204,False,False,875.3642,7.83
264,873,873.399,0.399,312.6175,18,5211.5425,True,True,875.3642,7.83
265,873,871.3451,-1.6549,314.2724,79,2564.9154,False,False,875.3642,7.83
266,873,870.4185,-2.5815,316.8539,21,3090.2238,False,False,875.3642,7.83
267,873,874.2962,1.2962,318.1501,15,5266.2455,True,False,875.3642,7.83
268,873,871.786,-1.214,319.3641,2,4278.6466,False,False,875.3642,7.83
269,873,874.4419,1.4419,320.8061,25,3755.154,False,False,875.3642,7.83
270,873,871.5193,-1.4807,322.2868,48,6026.9284,True,False,875.3642,7.83
271,873,871.6256,-1.3744,323.6612,8,6017.277,False,False,875.3642,7.83
272,873,873.5675,0.5675,324.2286,0,920.7798,False,True,875.3642,7.83
273,873,874.7758,1.7758,326.0044,2,2292.0289,True,False,875.3642,7.83
274,873,871.9866,-1.0134,327.0178,4,4197.4216,False,False,875.3642,7.83
275,873,870.3267,-2.6733,329.6911,80,257.352,False,False,875.3642,7.83
276,873,873.861,0.861,330.5521,5,5196.2201,True,False,875.3642,7.83
277,873,873.7368,0.7368,331.2889,77,4526.1045,False,False,875.3642,7.83
278,873,873.5794,0.5794,331.8684,2,30.5828,False,False,875.3642,7.83
279,873,873.4335,0.4335,332.3018,51,4791.1801,True,False,875.3642,7.83
280,873,874.0427,1.0427,333.3445,16,4278.5149,False,True,875.3642,7.83
281,873,872.4838,-0.5162,333.8607,73,1286.7347,False,False,875.3642,7.83
282,873,873.875,0.875,334.7357,6,12.8546,True,False,875.3642,7.83
283,873,873.1851,0.1851,334.9208,30,1785.3689,False,False,875.3642,7.83
284,873,875.5183,2.5183,337.4391,31,6087.4662,False,False,875.3642,7.83
285,873,872.201,-0.799,338.2381,3,3933.7792,True,False,875.3642,7.83
286,873,872.6768,-0.3232,338.5613,7,1692.8783,False,False,875.3642,7.83
287,873,872.4004,-0.5996,339.1609,24,2663.3052,False,False,875.3642,7.83
288,873,872.5933,-0.4067,339.5675,7,3061.751,True,True,875.3642,7.83
289,873,874.9939,1.9939,341.5614,8,902.1549,False,False,875.3642,7.83
290,873,872.8622,-0.1378,341.6992,14,4901.0392,False,False,875.3642,7.83
291,873,872.2817,-0.7183,342.4175,4,2157.0115,True,False,875.3642,7.83
292,873,872.5264,-0.4736,342.8911,6,168.2736,False,False,875.3642,7.83
293,873,871.8514,-1.1486,344.0397,4,4797.3521,False,False,875.3642,7.83
294,873,876.0277,3.0277,347.0674,2,4418.5013,True,False,875.3642,7.83
295,873,871.649,-1.351,348.4185,11,6020.9902,False,False,875.3642,7.83
296,873,873.1154,0.1154,348.5338,8,6072.6417,False,True,875.3642,7.83
297,873,873.4822,0.4822,349.0161,5,1690.9559,True,False,875.3642,7.83
298,873,873.2598,0.2598,349.2759,2,1014.7138,False,False,875.3642,7.83
299,873,873.2332,0.2332,349.5091,3,5993.1259,False,False,875.3642,7.83
300,873,872.0766,-0.9234,350.4325,56,972.9339,True,False,875.3642,7.83
301,873,872.6357,-0.3643,350.7968,34,3070.6039,False,False,875.3642,7.83
302,873,874.4589,1.4589,352.2557,7,1015.1574,False,False,875.3642,7.83
303,873,873.3905,0.3905,352.6462,7,2599.0006,True,False,875.3642,7.83
304,873,876.5719,3.5719,356.2181,17,3866.0436,False,True,875.3642,7.83
305,873,875.4524,2.4524,358.6705,19,5303.2179,False,False,875.3642,7.83
306,873,873.4081,0.4081,359.0786,3,6162.7975,True,False,875.3642,7.83
307,873,873.9869,0.9869,360.0655,4,75.95,False,False,875.3642,7.83
308,873,873.469,0.469,360.5345,76,5688.9775,False,False,875.3642,7.83
309,873,872.7899,-0.2101,360.7446,2,259.6514,True,False,875.3642,7.83
310,873,872.0796,-0.9204,361.665,4,3123.8873,False,False,875.3642,7.83
311,873,871.5929,-1.4071,363.0721,4,724.7915,False,False,875.3642,7.83
312,873,873.5822,0.5822,363.6543,12,4869.8247,True,True,875.3642,7.83
313,873,874.3186,1.3186,364.973,14,2624.9374,False,False,875.3642,7.83
314,873,874.1874,1.1874,366.1604,79,913.3974,False,False,875.3642,7.83
315,873,875.0055,2.0055,368.1659,0,4800.4439,True,False,875.3642,7.83
316,873,874.0926,1.0926,369.2586,13,2719.7387,False,False,875.3642,7.83
317,873,871.936,-1.064,370.3226,8,5394.5395,False,False,875.3642,7.83
318,873,874.4788,1.4788,371.8013,38,4673.685,True,False,875.3642,7.83
319,873,873.0823,0.0823,371.8836,19,5951.1993,False,False,875.3642,7.83
320,873,873.4096,0.4096,372.2932,34,4565.1136,False,True,875.3642,7.83
321,873,872.3069,-0.6931,372.9863,2,3269.296,True,False,875.3642,7.83
322,873,872.2441,-0.7559,373.7423,60,5308.4149,False,False,875.3642,7.83
323,873,872.3228,-0.6772,374.4195,24,2463.6589,False,False,875.3642,7.83
324,873,873.6913,0.6913,375.1108,26,705.9942,True,False,875.3642,7.83
325,873,871.535,-1.465,376.5758,16,5136.7982,False,False,875.3642,7.83
326,873,872.898,-0.102,376.6778,4,1132.9148,False,False,875.3642,7.83
327,873,870.0757,-2.9243,379.6022,7,5642.8942,True,False,875.3642,7.83
328,873,870.3375,-2.6625,382.2647,5,1114.1744,False,True,875.3642,7.83
329,873,874.7734,1.7734,384.0381,89,3983.651,False,False,875.3642,7.83
330,873,873.8303,0.8303,384.8684,43,3539.5833,True,False,875.3642,7.83
331,873,872.3658,-0.6342,385.5027,8,2125.9912,False,False,875.3642,7.83
332,873,873.8665,0.8665,386.3692,4,2279.0332,False,False,875.3642,7.83
333,873,871.584,-1.416,387.7851,1,855.3026,True,False,875.3642,7.83
334,873,873.2385,0.2385,388.0237,6,1933.3683,False,False,875.3642,7.83
335,873,874.1533,1.1533,389.177,75,5925.4946,False,False,875.3642,7.83
336,873,872.4043,-0.5957,389.7727,13,3158.4866,True,True,875.3642,7.83
337,873,870.7712,-2.2288,392.0015,3,366.4451,False,False,875.3642,7.83
338,873,874.9724,1.9724,393.9739,32,4726.2655,False,False,875.3642,7.83
339,873,872.8465,-0.1535,394.1274,41,1246.1115,True,False,875.3642,7.83
340,873,871.7422,-1.2578,395.3853,24,1578.888,False,False,875.3642,7.83
341,873,870.0636,-2.9364,398.3216,0,5652.4769,False,False,875.3642,7.83
342,873,873.7036,0.7036,399.0253,12,5576.0137,True,False,875.3642,7.83
343,873,872.9121,-0.0879,399.1132,8,3483.5512,False,False,875.3642,7.83
344,873,873.5199,0.5199,399.6331,19,3575.1752,False,True,875.3642,7.83
345,873,873.2215,0.2215,399.8547,11,2638.9877,True,False,875.3642,7.83
346,873,875.6224,2.6224,402.4771,0,6043.4306,False,False,875.3642,7.83
