sample_id,label,is_adversarial,volume_spike_ratio,price_impact_pct,order_cancel_rate,self_trade_ratio,timing_pattern_score,detection_confidence,detection_gate_passed,recommended_action
ADV-000047,normal,False,0.261817,0.199607,0.222857,0.045628,0.293856,0.188728,False,allow
ADV-000048,layering,True,2.526978,8.599157,0.696777,0.008473,0.264022,0.645793,True,block
ADV-000049,layering,True,0.1517,7.636015,0.697764,0.046767,0.026281,0.730522,True,block
ADV-000050,normal,False,0.08115,1.707034,0.248857,0.044889,0.271007,0.278786,False,allow
ADV-000051,normal,False,0.293737,0.497724,0.1954,0.044609,0.089333,0.288556,False,allow
ADV-000052,normal,False,0.061141,0.185905,0.350095,0.022298,0.187501,0.032036,False,allow
ADV-000053,normal,False,0.233217,1.476192,0.20681,0.007443,0.244623,0.048917,False,allow
ADV-000054,normal,False,0.129234,0.374056,0.382924,0.036385,0.071277,0.093116,False,allow
ADV-000055,normal,False,0.270061,0.281763,0.170971,0.043476,0.018989,0.096123,False,allow
ADV-000056,normal,False,0.234268,0.09365,0.268551,0.034083,0.12226,0.016832,False,allow
ADV-000057,normal,False,0.473514,0.946767,0.148418,0.030411,0.277673,0.194625,False,allow
ADV-000058,normal,False,0.439038,0.08786,0.348985,0.034579,0.127726,0.227168,False,allow
ADV-000059,layering,True,0.160275,1.441371,0.854073,0.030096,0.278252,0.934888,True,block
ADV-000060,front_running,True,1.249988,1.175644,0.251426,0.024585,0.800769,0.710349,True,block
ADV-000061,normal,False,0.005897,0.333887,0.211628,0.015684,0.078077,0.031275,False,allow
ADV-000062,normal,False,0.379259,1.717513,0.304265,0.00667,0.251824,0.137015,False,allow
ADV-000063,spoofing,True,2.000392,0.979772,0.651129,0.046824,0.132099,0.884276,True,block
ADV-000064,normal,False,0.493611,0.004278,0.29361,0.015593,0.234004,0.299694,False,allow
ADV-000065,normal,False,0.399498,1.45509,0.164141,0.021214,0.239412,0.28754,False,allow
ADV-000066,normal,False,0.234583,1.236447,0.152845,0.035949,0.058963,0.026535,False,allow
ADV-000067,normal,False,0.492894,0.47561,0.225183,6.5e-05,0.1759,0.24461,False,allow
ADV-000068,normal,False,0.171854,1.188361,0.362559,0.047675,0.29559,0.040037,False,allow
ADV-000069,normal,False,0.027467,0.725511,0.229635,0.046971,0.063905,0.136253,False,allow
ADV-000070,normal,False,0.067427,1.823155,0.131348,0.020965,0.183505,0.297443,False,allow
ADV-000071,front_running,True,1.065613,1.999944,0.156021,0.032461,0.818076,0.719427,True,block
ADV-000072,normal,False,0.069941,0.645162,0.290943,0.038427,0.098828,0.068749,False,allow
ADV-000073,spoofing,True,1.149736,7.994521,0.700747,0.046739,0.076367,0.912405,True,block
ADV-000074,pump_dump,True,1.807922,4.96254,0.232811,0.007577,0.197639,0.780999,True,block
ADV-000075,spoofing,True,0.161959,8.980259,0.546614,0.006831,0.068383,0.951113,True,block
ADV-000076,normal,False,0.471027,0.095582,0.354375,0.00071,0.199739,0.208012,False,allow
ADV-000077,pump_dump,True,0.834852,2.122803,0.128393,0.043885,0.045862,0.897551,True,block
ADV-000078,normal,False,0.108062,1.633385,0.172048,0.038908,0.040465,0.184969,False,allow
ADV-000079,wash_trading,True,1.066389,3.749855,0.27484,0.657558,0.142451,0.920608,True,block
ADV-000080,layering,True,2.135881,6.116232,0.762002,0.030372,0.26333,0.98042,True,block
ADV-000081,front_running,True,2.032805,2.270273,0.287002,0.032952,0.767488,0.940059,True,block
ADV-000082,normal,False,0.264376,0.957079,0.301308,0.018571,0.079464,0.161787,False,allow
ADV-000083,normal,False,0.313604,0.585137,0.367198,0.004078,0.092865,0.203993,False,allow
ADV-000084,pump_dump,True,2.541471,3.088921,0.221031,0.035303,0.054521,0.824823,True,block
ADV-000085,normal,False,0.236347,1.909137,0.258414,0.028149,0.230047,0.259652,False,allow
ADV-000086,normal,False,0.461787,0.944756,0.399103,0.044979,0.149949,0.162804,False,allow
ADV-000087,front_running,True,0.908595,6.690171,0.122476,0.004683,0.998092,0.879721,True,block
ADV-000088,normal,False,0.02644,1.243077,0.287075,0.02252,0.081128,0.028923,False,allow
ADV-000089,layering,True,0.689424,9.3448,0.929142,0.004656,0.192324,0.697246,True,block
ADV-000090,normal,False,0.003365,0.265003,0.298013,0.010431,0.21972,0.086362,False,allow
ADV-000091,layering,True,1.22495,2.012808,0.606544,0.039679,0.055269,0.984957,True,block
ADV-000092,layering,True,2.094355,2.014613,0.849898,0.028002,0.232093,0.695602,True,block
ADV-000093,normal,False,0.255468,0.966591,0.198043,0.023774,0.132616,0.146543,False,allow
ADV-000094,pump_dump,True,1.585515,0.509882,0.145836,0.027192,0.070021,0.641069,True,block
ADV-000095,front_running,True,2.84449,7.443063,0.199612,0.04224,0.701615,0.880313,True,block
ADV-000096,normal,False,0.103268,1.357053,0.142186,0.031753,0.002283,0.018218,False,allow
ADV-000097,pump_dump,True,0.822444,2.001112,0.336462,0.031071,0.101774,0.741917,True,block
ADV-000098,normal,False,0.251603,1.099506,0.139586,0.001757,0.17023,0.091046,False,allow
ADV-000099,normal,False,0.396418,1.490623,0.369777,0.03664,0.0519,0.254624,False,allow
ADV-000100,pump_dump,True,1.898491,7.780884,0.353382,0.040276,0.012837,0.636238,True,block
ADV-000101,normal,False,0.212879,1.07976,0.249263,0.04605,0.297845,0.250293,False,allow
ADV-000102,wash_trading,True,1.681771,7.416328,0.356768,0.817589,0.128978,0.776049,True,block
ADV-000103,normal,False,0.285991,1.033197,0.37989,0.006184,0.080551,0.111215,False,allow
ADV-000104,normal,False,0.226999,1.344921,0.188622,0.035228,0.183652,0.182825,False,allow
ADV-000105,normal,False,0.388547,1.901927,0.336112,0.038134,0.133678,0.221018,False,allow
ADV-000106,normal,False,0.380918,1.429559,0.325145,0.005997,0.126289,0.065189,False,allow
ADV-000107,wash_trading,True,2.989773,2.135375,0.114673,0.552778,0.074347,0.849145,True,block
ADV-000108,layering,True,1.600997,8.201658,0.963996,0.034512,0.206656,0.647831,True,block
ADV-000109,front_running,True,1.445405,5.942151,0.159283,0.017053,0.799357,0.613263,False,allow
ADV-000110,wash_trading,True,0.181183,5.639603,0.383825,0.763743,0.255338,0.850413,True,block
ADV-000111,normal,False,0.058823,1.233488,0.283654,0.012154,0.221099,0.078311,False,allow
ADV-000112,pump_dump,True,1.324522,3.895676,0.269344,0.021752,0.042869,0.762831,True,block
ADV-000113,normal,False,0.163085,1.656596,0.134393,0.001422,0.002832,0.03043,False,allow
ADV-000114,normal,False,0.185745,1.723503,0.231102,0.027643,0.039529,0.257948,False,allow
ADV-000115,wash_trading,True,2.535963,6.253148,0.131479,0.412238,0.27303,0.829628,True,block
ADV-000116,normal,False,0.397942,0.080669,0.373737,0.034955,0.194015,0.210415,False,allow
ADV-000117,normal,False,0.013234,1.181428,0.141344,0.03853,0.019988,0.11788,False,allow
ADV-000118,normal,False,0.258846,1.218599,0.154432,0.042334,0.063665,0.041634,False,allow
ADV-000119,normal,False,0.045176,0.505169,0.108616,0.035061,0.247794,0.062379,False,allow
ADV-000120,normal,False,0.033248,0.626859,0.25741,0.007641,0.291535,0.056531,False,allow
ADV-000121,wash_trading,True,1.863743,5.115257,0.353548,0.895541,0.174068,0.717993,True,block
ADV-000122,normal,False,0.456692,1.178315,0.349945,0.020856,0.185001,0.064489,False,allow
ADV-000123,pump_dump,True,2.993,1.473806,0.395677,0.026594,0.140527,0.85527,True,block
ADV-000124,wash_trading,True,0.198894,5.899513,0.163268,0.842405,0.292566,0.827492,True,block
ADV-000125,normal,False,0.24175,0.323281,0.316015,0.003581,0.119206,0.132665,False,allow
ADV-000126,wash_trading,True,0.116033,8.985761,0.118221,0.543158,0.053039,0.608652,False,allow
ADV-000127,normal,False,0.26457,0.956288,0.15987,0.023381,0.177666,0.152007,False,allow
ADV-000128,normal,False,0.125233,1.227687,0.255575,0.011761,0.081692,0.257911,False,allow
ADV-000129,normal,False,0.415591,1.012356,0.254757,0.042038,0.133314,0.201847,False,allow
ADV-000130,normal,False,0.021126,0.864876,0.263677,0.015197,0.08535,0.070658,False,allow
ADV-000131,normal,False,0.039648,0.795762,0.144343,0.04668,0.112384,0.185069,False,allow
ADV-000132,normal,False,0.283732,0.678609,0.321534,0.02352,0.150316,0.166204,False,allow
ADV-000133,normal,False,0.335254,1.258376,0.356972,0.043579,0.26736,0.216821,False,allow
ADV-000134,spoofing,True,2.149563,8.113456,0.563832,0.006906,0.074905,0.64127,True,block
ADV-000135,front_running,True,1.984095,3.119634,0.311066,0.025195,0.897736,0.606095,False,allow
ADV-000136,normal,False,0.024673,0.73323,0.150904,0.020768,0.139055,0.171669,False,allow
ADV-000137,normal,False,0.483024,1.21333,0.259049,0.028382,0.032904,0.062245,False,allow
ADV-000138,spoofing,True,1.831155,1.680684,0.76658,0.048808,0.229526,0.859827,True,block
ADV-000139,normal,False,0.080506,0.179315,0.267407,0.047218,0.095586,0.212093,False,allow
ADV-000140,layering,True,0.403493,3.478693,0.52701,0.001987,0.138664,0.96113,True,block
ADV-000141,normal,False,0.038743,1.239283,0.213338,0.004144,0.100189,0.120009,False,allow
ADV-000142,front_running,True,0.960819,0.168973,0.329239,0.012885,0.9327,0.752549,True,block
ADV-000143,normal,False,0.194526,0.777801,0.396977,0.036481,0.238735,0.051228,False,allow
ADV-000144,layering,True,2.53176,0.398245,0.946581,0.002625,0.260217,0.68847,True,block
ADV-000145,front_running,True,0.490278,9.047127,0.126463,0.042323,0.769191,0.876397,True,block
ADV-000146,normal,False,0.155365,0.983732,0.32331,0.042143,0.197533,0.286056,False,allow
ADV-000147,pump_dump,True,1.04518,7.330256,0.163046,0.048745,0.150308,0.94574,True,block
ADV-000148,normal,False,0.473688,0.861222,0.385353,0.001844,0.085009,0.186809,False,allow
ADV-000149,layering,True,0.383768,9.105881,0.938217,0.018605,0.220629,0.68983,True,block
ADV-000150,normal,False,0.301997,0.877659,0.23465,0.043897,0.136722,0.211408,False,allow
ADV-000151,layering,True,1.929059,8.555418,0.878898,0.047677,0.014325,0.899007,True,block
ADV-000152,layering,True,2.917602,0.783223,0.705892,0.021051,0.183369,0.747271,True,block
ADV-000153,normal,False,0.320186,0.787125,0.103691,0.033919,0.223436,0.2274,False,allow
ADV-000154,normal,False,0.377736,1.278939,0.340458,0.041761,0.130374,0.274721,False,allow
ADV-000155,normal,False,0.359679,0.226753,0.399912,0.007829,0.200656,0.151621,False,allow
ADV-000156,normal,False,0.260878,1.706319,0.244733,0.014942,0.269886,0.274517,False,allow
ADV-000157,pump_dump,True,0.2947,0.096755,0.109729,0.016998,0.135251,0.977981,True,block
ADV-000158,wash_trading,True,0.313843,6.503002,0.113823,0.387601,0.034298,0.748031,True,block
ADV-000159,normal,False,0.109844,0.680254,0.384283,0.028428,0.234318,0.270011,False,allow
ADV-000160,normal,False,0.201887,1.323543,0.101511,0.020818,0.194587,0.229219,False,allow
ADV-000161,normal,False,0.311958,0.706729,0.138815,0.024579,0.294781,0.255151,False,allow
ADV-000162,normal,False,0.011384,1.261002,0.355144,0.035706,0.030992,0.151515,False,allow
ADV-000163,spoofing,True,2.439286,9.289103,0.731371,0.04358,0.040795,0.767726,True,block
ADV-000164,layering,True,2.186259,9.364003,0.820161,0.046519,0.119551,0.979882,True,block
ADV-000165,normal,False,0.227285,1.072753,0.125429,0.049035,0.299692,0.17525,False,allow
ADV-000166,normal,False,0.480004,0.471481,0.324223,0.031811,0.134289,0.286779,False,allow
ADV-000167,pump_dump,True,1.765263,9.958894,0.352115,0.030794,0.200706,0.628371,True,block
ADV-000168,pump_dump,True,1.764404,6.155223,0.116578,0.034014,0.134885,0.729343,True,block
ADV-000169,normal,False,0.179745,0.641106,0.341715,0.030267,0.088879,0.103626,False,allow
ADV-000170,front_running,True,0.221988,4.228805,0.169356,0.029186,0.89369,0.845571,True,block
ADV-000171,normal,False,0.211442,1.520908,0.186413,0.042151,0.003948,0.264496,False,allow
ADV-000172,normal,False,0.361322,1.777506,0.194489,0.014021,0.062926,0.16848,False,allow
ADV-000173,normal,False,0.234267,0.68608,0.103332,0.045429,0.028353,0.168051,False,allow
ADV-000174,layering,True,2.742091,5.975059,0.92654,0.038665,0.146502,0.729624,True,block
ADV-000175,normal,False,0.263058,1.946354,0.21176,0.001232,0.110485,0.28033,False,allow
ADV-000176,normal,False,0.445558,0.612458,0.28457,0.031709,0.015423,0.251815,False,allow
ADV-000177,pump_dump,True,1.056579,8.049958,0.337845,0.04509,0.139696,0.985654,True,block
ADV-000178,normal,False,0.439969,1.878619,0.265998,0.009592,0.273447,0.298439,False,allow
ADV-000179,layering,True,0.127665,7.997544,0.7544,0.011333,0.211743,0.835711,True,block
ADV-000180,normal,False,0.329133,0.248017,0.307722,0.028865,0.177813,0.187013,False,allow
ADV-000181,layering,True,1.229811,3.992448,0.681119,0.001666,0.209628,0.911069,True,block
ADV-000182,normal,False,0.378642,0.528057,0.309814,0.01192,0.164896,0.220745,False,allow
ADV-000183,normal,False,0.476353,0.071899,0.315699,0.042078,0.274456,0.130277,False,allow
ADV-000184,normal,False,0.485389,1.821474,0.339503,0.011251,0.138174,0.110424,False,allow
ADV-000185,normal,False,0.457352,0.289056,0.241495,0.015338,0.176853,0.030439,False,allow
ADV-000186,normal,False,0.244707,1.469341,0.124907,0.000548,0.087912,0.018934,False,allow
ADV-000187,normal,False,0.137401,0.822527,0.162319,0.002687,0.24384,0.2164,False,allow
ADV-000188,normal,False,0.300665,1.879325,0.189762,0.001996,0.163299,0.269502,False,allow
ADV-000189,normal,False,0.068293,1.612736,0.276965,0.04605,0.067161,0.247419,False,allow
ADV-000190,wash_trading,True,1.007546,3.051249,0.228752,0.614985,0.093103,0.760555,True,block
ADV-000191,layering,True,2.670041,3.186317,0.663627,0.042835,0.151027,0.987128,True,block
ADV-000192,spoofing,True,2.944773,4.896849,0.507203,0.008604,0.103924,0.756732,True,block
ADV-000193,normal,False,0.392937,0.605574,0.387081,0.016817,0.165815,0.219909,False,allow
ADV-000194,pump_dump,True,1.136013,0.95682,0.235654,0.043293,0.040834,0.627018,True,block
ADV-000195,normal,False,0.362518,1.267896,0.156705,0.033444,0.143924,0.069643,False,allow
ADV-000196,wash_trading,True,0.350743,9.947464,0.184206,0.639617,0.003044,0.918166,True,block
ADV-000197,spoofing,True,2.400341,9.784243,0.88853,0.003174,0.295403,0.781797,True,block
ADV-000198,normal,False,0.449381,0.314388,0.224718,0.044607,0.06319,0.191861,False,allow
ADV-000199,normal,False,0.263125,0.380745,0.26947,0.020097,0.04164,0.255967,False,allow
ADV-000200,normal,False,0.22503,0.388595,0.343696,0.041399,0.142692,0.066681,False,allow
ADV-000201,normal,False,0.494765,1.736468,0.392513,0.047809,0.195389,0.258914,False,allow
ADV-000202,normal,False,0.03547,1.637103,0.269539,0.006234,0.050421,0.293224,False,allow
ADV-000203,normal,False,0.044513,1.984536,0.158223,0.044529,0.155936,0.162681,False,allow
ADV-000204,layering,True,0.293413,5.605574,0.86897,0.013694,0.24986,0.778245,True,block
ADV-000205,normal,False,0.190917,1.202604,0.255859,0.009024,0.15059,0.277149,False,allow
ADV-000206,normal,False,0.095969,0.751885,0.106054,0.02012,0.000484,0.146064,False,allow
ADV-000207,normal,False,0.329891,0.787878,0.144261,0.01253,0.20864,0.190113,False,allow
ADV-000208,normal,False,0.061782,0.667833,0.346709,0.018103,0.278205,0.055608,False,allow
ADV-000209,spoofing,True,0.071702,9.037721,0.986838,0.037922,0.199392,0.919534,True,block
ADV-000210,front_running,True,1.181536,1.361709,0.26593,0.024863,0.863682,0.605072,False,allow
ADV-000211,layering,True,0.388023,1.790852,0.737794,0.048975,0.04903,0.981893,True,block
ADV-000212,normal,False,0.074858,0.376725,0.294956,0.02023,0.089963,0.180626,False,allow
ADV-000213,normal,False,0.361147,0.448724,0.34827,0.024351,0.022279,0.265407,False,allow
ADV-000214,normal,False,0.241492,0.305559,0.246106,0.025512,0.247327,0.184464,False,allow
ADV-000215,spoofing,True,2.967201,7.150539,0.600863,0.040391,0.280429,0.900506,True,block
ADV-000216,normal,False,0.371254,1.139887,0.231453,0.042017,0.286962,0.270859,False,allow
ADV-000217,normal,False,0.313317,1.416806,0.211327,0.041334,0.015282,0.013845,False,allow
ADV-000218,spoofing,True,1.759534,2.94804,0.50243,0.048664,0.081418,0.971683,True,block
ADV-000219,normal,False,0.484332,1.598679,0.325081,0.003948,0.058284,0.147823,False,allow
ADV-000220,wash_trading,True,0.802473,2.475,0.320258,0.576486,0.038863,0.694773,True,block
ADV-000221,pump_dump,True,2.426847,2.049649,0.318766,0.044394,0.125281,0.94724,True,block
ADV-000222,pump_dump,True,0.250708,0.560657,0.339853,0.022062,0.131767,0.681617,True,block
ADV-000223,layering,True,1.511165,0.627571,0.780168,0.009384,0.091334,0.967503,True,block
ADV-000224,front_running,True,1.738374,1.358081,0.13106,0.030871,0.922568,0.795792,True,block
ADV-000225,pump_dump,True,1.508208,8.179497,0.249132,0.023719,0.003814,0.853039,True,block
ADV-000226,front_running,True,0.613194,3.722931,0.178411,0.00065,0.753555,0.759242,True,block
ADV-000227,normal,False,0.363367,1.470491,0.131916,0.014003,0.210704,0.10852,False,allow
ADV-000228,normal,False,0.009273,1.573774,0.398584,0.023649,0.238064,0.135289,False,allow
ADV-000229,normal,False,0.406279,1.435229,0.239395,0.009075,0.09363,0.257121,False,allow
ADV-000230,spoofing,True,1.331668,4.936959,0.664347,0.019164,0.230314,0.921883,True,block
ADV-000231,normal,False,0.481245,1.302065,0.315793,0.034617,0.202917,0.070928,False,allow
ADV-000232,normal,False,0.446167,1.481044,0.333409,0.006329,0.172359,0.281338,False,allow
ADV-000233,pump_dump,True,0.857053,5.842212,0.196083,0.022733,0.277023,0.672176,True,block
ADV-000234,normal,False,0.193873,0.686091,0.217946,0.027463,0.200447,0.184788,False,allow
ADV-000235,layering,True,2.387849,7.76085,0.955554,0.041854,0.259409,0.889545,True,block
ADV-000236,spoofing,True,2.03349,0.88232,0.780629,0.041953,0.195955,0.947533,True,block
ADV-000237,normal,False,0.481545,0.539956,0.25617,0.012564,0.157279,0.273982,False,allow
ADV-000238,layering,True,0.129308,1.793294,0.70836,0.011687,0.064456,0.716946,True,block
ADV-000239,spoofing,True,2.534152,8.295134,0.966265,0.01215,0.259961,0.851344,True,block
ADV-000240,front_running,True,2.735361,5.758233,0.284193,0.026056,0.949393,0.873883,True,block
ADV-000241,normal,False,0.266076,1.185241,0.121839,0.03645,0.081531,0.157358,False,allow
ADV-000242,layering,True,1.01234,8.391073,0.769548,0.003176,0.164189,0.918953,True,block
ADV-000243,layering,True,0.741561,3.293385,0.904228,0.045435,0.077133,0.854975,True,block
ADV-000244,normal,False,0.093021,1.346701,0.339957,0.044541,0.062293,0.132899,False,allow
ADV-000245,normal,False,0.333544,1.717205,0.251382,0.023428,0.030435,0.026365,False,allow
ADV-000246,normal,False,0.244358,0.71324,0.385393,0.047085,0.072649,0.143551,False,allow
ADV-000247,normal,False,0.012769,1.07781,0.122484,0.024275,0.229744,0.071377,False,allow
ADV-000248,normal,False,0.371463,1.913099,0.323904,0.048939,0.166074,0.217277,False,allow
ADV-000249,normal,False,0.365921,1.136622,0.321877,0.04203,0.059479,0.174138,False,allow
ADV-000250,normal,False,0.130114,0.865154,0.36886,0.024467,0.289426,0.064355,False,allow
ADV-000251,wash_trading,True,0.904157,4.861327,0.211617,0.705378,0.043178,0.66454,True,block
ADV-000252,spoofing,True,1.347429,8.20839,0.5237,0.027785,0.079246,0.654952,True,block
ADV-000253,normal,False,0.494485,1.207034,0.362889,0.021268,0.150015,0.22645,False,allow
ADV-000254,normal,False,0.312581,1.850336,0.142357,0.042245,0.221547,0.244664,False,allow
ADV-000255,pump_dump,True,0.147881,2.027141,0.322198,0.039721,0.139175,0.605928,False,allow
ADV-000256,layering,True,0.164805,7.343388,0.668182,0.013443,0.260647,0.86945,True,block
ADV-000257,pump_dump,True,0.944517,2.004025,0.133984,0.04834,0.227282,0.61117,False,allow
ADV-000258,normal,False,0.271869,0.860442,0.326443,0.044961,0.006988,0.032243,False,allow
ADV-000259,normal,False,0.207163,0.815156,0.310425,0.022675,0.291088,0.080828,False,allow
ADV-000260,front_running,True,1.877236,6.254011,0.114872,0.034414,0.722718,0.793075,True,block
ADV-000261,front_running,True,1.395119,1.459674,0.391439,0.042051,0.714311,0.950489,True,block
ADV-000262,normal,False,0.182499,0.159133,0.37742,0.004023,0.105484,0.189458,False,allow
ADV-000263,normal,False,0.149199,0.304694,0.136239,0.040951,0.200432,0.051993,False,allow
ADV-000264,normal,False,0.240781,0.314686,0.187241,0.010608,0.150802,0.230848,False,allow
ADV-000265,normal,False,0.091483,1.871223,0.375108,0.025935,0.130664,0.224441,False,allow
ADV-000266,wash_trading,True,0.777724,1.22073,0.325936,0.567693,0.173454,0.901026,True,block
ADV-000267,wash_trading,True,2.788779,5.298263,0.19672,0.36971,0.140029,0.846486,True,block
ADV-000268,normal,False,0.076744,1.352796,0.310547,0.008757,0.055031,0.065627,False,allow
ADV-000269,normal,False,0.441684,0.245154,0.15205,0.039663,0.05408,0.05136,False,allow
ADV-000270,normal,False,0.446371,0.078888,0.215922,0.009239,0.189861,0.160244,False,allow
ADV-000271,spoofing,True,2.260834,1.965969,0.950737,0.038767,0.128371,0.654854,True,block
ADV-000272,normal,False,0.494249,0.53309,0.208315,0.029046,0.081726,0.255481,False,allow
ADV-000273,normal,False,0.128189,0.869381,0.386749,0.03123,0.186429,0.230783,False,allow
ADV-000274,normal,False,0.2975,1.303094,0.132554,0.012084,0.140335,0.012294,False,allow
ADV-000275,normal,False,0.421783,1.889104,0.329582,0.019845,0.293336,0.043025,False,allow
ADV-000276,wash_trading,True,2.726149,8.312334,0.38646,0.752017,0.015158,0.971792,True,block
ADV-000277,normal,False,0.474947,1.706146,0.104705,0.043264,0.03549,0.114792,False,allow
ADV-000278,wash_trading,True,1.025381,3.112989,0.177221,0.74037,0.211885,0.879583,True,block
ADV-000279,normal,False,0.101904,1.128948,0.139533,0.014328,0.225035,0.122978,False,allow
ADV-000280,normal,False,0.154147,1.168963,0.355932,0.039398,0.073817,0.203048,False,allow
ADV-000281,spoofing,True,2.236923,7.111616,0.814565,0.048408,0.283384,0.914813,True,block
ADV-000282,normal,False,0.320665,1.990729,0.295969,0.01473,0.216018,0.227747,False,allow
ADV-000283,normal,False,0.248015,1.080643,0.374121,0.028163,0.032864,0.015581,False,allow
ADV-000284,normal,False,0.284283,0.180193,0.371911,0.03078,0.078596,0.108708,False,allow
ADV-000285,pump_dump,True,0.9054,7.183358,0.316677,0.044667,0.066944,0.699915,True,block
ADV-000286,normal,False,0.062768,0.678567,0.258568,0.00471,0.212789,0.222592,False,allow
ADV-000287,normal,False,0.216003,0.332609,0.109938,0.005527,0.232607,0.083469,False,allow
ADV-000288,normal,False,0.298339,1.36156,0.279749,0.000413,0.157573,0.221042,False,allow
ADV-000289,layering,True,1.40348,7.49485,0.668029,0.046275,0.205229,0.770507,True,block
ADV-000290,normal,False,0.339341,1.095864,0.376139,0.012403,0.187863,0.128444,False,allow
ADV-000291,normal,False,0.108287,1.620014,0.154278,0.0063,0.264545,0.035106,False,allow
