network_id,network_type,node_count,edge_count,average_degree,max_degree,density,clustering_coefficient,average_path_length,diameter,betweenness_centrality_max,eigenvector_centrality_max,pagerank_max,modularity_Q,community_count,percolation_threshold_pc,largest_component_fraction,contagion_probability,debtrank_systemic_risk,algebraic_connectivity,spectral_gap,is_scale_free,power_law_exponent_gamma,phi_modularity_ratio
NET-000010,liquidity_pool,20,46,4.6341,25,0.23170276,0.26103908,1.73281,5,0.21165136,0.27301436,0.15211926,0.798312,2,0.376589,0.779405,0.43788853,0.35451315,0.4146667,1.629386,False,2.2474,1.291696
NET-000011,oracle_network,100,407,8.1412,52,0.08141196,0.09290379,2.081159,7,0.24850689,0.68695797,0.05909894,0.619504,5,0.095273,0.888074,0.20575304,0.33777758,0.71233978,2.539803,True,1.8829,1.002379
NET-000012,interbank_lending,500,1423,5.6948,21,0.01138959,0.15967436,3.268558,7,0.33804895,0.33216434,0.01129912,0.288872,12,0.401868,0.69732,0.16387265,0.40398914,0.32962798,1.901817,True,2.3566,0.467404
NET-000013,liquidity_pool,1000,5048,10.0977,49,0.01009769,0.27754367,2.870175,6,0.07740508,0.59434651,0.00818576,0.842934,16,0.428167,0.775923,0.2871074,0.37573122,0.61831649,3.081607,True,2.2835,1.363897
NET-000014,interbank_lending,500,1498,5.996,33,0.01199195,0.16067939,3.194621,7,0.26913115,0.36370862,0.002723,0.710632,12,0.633687,0.747209,0.3251219,0.32039553,0.38974474,1.944084,True,2.3425,1.149827
NET-000015,bridge_relay,500,786,3.1478,13,0.00629564,0.43326238,4.36854,10,0.36626427,0.21139234,0.01722394,0.567607,9,0.191613,0.870015,0.36141793,0.2690187,0.4043038,1.664744,False,2.9984,0.918407
NET-000016,liquidity_pool,100,295,5.9171,30,0.05917084,0.33718665,2.38117,4,0.43854702,0.37634557,0.04110802,0.769999,6,0.327709,0.90562,0.26898656,0.17709733,0.4022519,1.896253,True,2.7441,1.245885
NET-000017,validator_consensus,100,349,6.9921,24,0.06992142,0.18833759,2.215666,4,0.2881701,0.37951211,0.05226991,0.57055,3,0.486829,0.868717,0.19811877,0.04556242,0.31988673,1.814256,True,2.5769,0.923169
NET-000018,market_maker_graph,20,65,6.5819,37,0.3290949,0.48315599,1.478816,3,0.20194086,0.4723871,0.20499176,0.350968,2,0.20682,0.801527,0.23010303,0.23121518,0.530634,2.082225,True,2.6099,0.567878
NET-000019,validator_consensus,500,1807,7.2318,38,0.01446351,0.57171802,2.948107,9,0.22470078,0.49933964,0.01293431,0.477095,10,0.341026,0.88651,0.18900085,0.32766016,0.54973288,1.264874,False,2.0025,0.771956
NET-000020,token_transfer,500,1124,4.4985,25,0.00899693,0.55501499,3.646067,9,0.27643626,0.54053211,0.00781815,0.543162,13,0.165003,0.746225,0.43962209,0.13301732,0.67484069,0.898209,False,1.9593,0.878855
NET-000021,liquidity_pool,20,53,5.3755,23,0.2687772,0.61902809,1.617156,3,0.169751,0.3981812,0.33025951,0.56652,2,0.408718,0.86777,0.19581135,0.44863288,0.37558704,1.344607,True,2.561,0.916649
NET-000022,market_maker_graph,200,759,7.5947,40,0.03797369,0.49551185,2.463016,8,0.30077373,0.37495623,0.01574011,0.67002,10,0.244596,0.710898,0.11663033,0.193736,0.47377143,3.128911,False,2.8021,1.084116
NET-000023,token_transfer,500,1945,7.7807,45,0.0155613,0.25943396,2.860513,7,0.09669443,0.30142861,0.00669623,0.50042,9,0.456117,0.664966,0.29142013,0.0610892,0.86222596,2.944286,True,2.8107,0.809697
NET-000024,interbank_lending,50,137,5.4967,37,0.10993454,0.57143325,2.090539,4,0.07497247,0.58856335,0.07673477,0.757626,3,0.3812,0.83603,0.17076373,0.22633572,0.47924341,2.095961,True,2.2903,1.225865
NET-000025,interbank_lending,1000,2077,4.155,20,0.00415496,0.46629621,4.21215,9,0.5768525,0.0589319,0.00319704,0.703512,18,0.363193,0.879531,0.174815,0.45791294,0.32882635,1.386303,True,3.0543,1.138306
NET-000026,validator_consensus,20,30,3.008,18,0.1503997,0.35393302,2.157856,3,0.20689702,0.22201442,0.03423158,0.646732,2,0.103557,0.671885,0.14420848,0.13083694,0.49807648,0.338737,True,2.0199,1.046435
NET-000027,interbank_lending,100,319,6.394,22,0.06394017,0.39148424,2.301813,3,0.26967919,0.19225632,0.06437819,0.544372,5,0.315912,0.642276,0.26724266,0.37389612,0.52496137,2.346387,True,2.1768,0.880812
NET-000028,validator_consensus,20,24,2.4082,14,0.12040964,0.34364141,2.443138,7,0.31589933,0.39481905,0.26309053,0.50599,2,0.10964,0.478905,0.3560191,0.19930759,0.37303485,0.058158,True,2.1722,0.818709
NET-000029,validator_consensus,1000,4111,8.2227,51,0.00822272,0.67665853,3.109263,8,0.20387249,0.24515893,0.00718004,0.669505,17,0.158455,0.900159,0.21706354,0.1127507,0.51749932,2.211926,False,2.1686,1.083282
NET-000030,interbank_lending,500,500,2,10,0.004,0.14866213,5.65678,14,0.20498627,0.3558513,0.01124732,0.373294,9,0.659621,0.724539,0.13799387,0.24815749,0.57230929,0.67342,False,2.7043,0.604003
NET-000031,market_maker_graph,100,433,8.6687,33,0.08668681,0.1671027,2.0297,4,0.07731072,0.66589159,0.08981258,0.576477,3,0.166025,0.90532,0.29718319,0.18341973,0.43667046,2.960033,False,3.0729,0.932759
NET-000032,governance_voting,100,291,5.8345,28,0.05834544,0.3705091,2.396043,5,0.3878544,0.4287113,0.04396769,0.640878,2,0.485351,0.577713,0.36848375,0.35716649,0.4353972,2.567014,False,2.2033,1.036963
NET-000033,bridge_relay,500,2276,9.1045,40,0.01820892,0.222711,2.686844,3,0.1971941,0.29352036,0.02163374,0.635007,13,0.215794,0.71705,0.19273845,0.52013054,0.68083315,3.224551,True,2.7587,1.027463
NET-000034,interbank_lending,50,202,8.1167,35,0.16233405,0.19424837,1.77006,5,0.42488925,0.48526776,0.15743111,0.856125,2,0.142623,0.838142,0.39904008,0.38412892,0.60883738,2.964486,True,2.2952,1.38524
NET-000035,market_maker_graph,500,1677,6.709,29,0.01341805,0.44833753,3.042809,9,0.19952214,0.73993035,0.00856113,0.668717,14,0.423487,0.93749,0.28007621,0.48224221,0.56256821,1.556662,True,2.6708,1.082007
NET-000036,market_maker_graph,200,728,7.285,32,0.03642483,0.38424436,2.505775,4,0.50892197,0.14875645,0.02981914,0.920971,6,0.144359,0.775525,0.49845701,0.19554354,0.41165401,2.287685,False,3.0082,1.490162
NET-000037,market_maker_graph,50,185,7.4175,41,0.14834974,0.63111999,1.836362,5,0.21416356,0.30741509,0.06670769,0.697206,3,0.331055,0.767111,0.08175931,0.40946713,0.50664287,2.187007,False,2.8593,1.128102
NET-000038,token_transfer,20,59,5.993,25,0.29964992,0.35703775,1.540294,4,0.2159524,0.60941444,0.15845808,0.870268,2,0.047381,0.77524,0.10332529,0.60587992,0.58805306,1.666856,True,2.6929,1.408123
NET-000039,token_transfer,20,43,4.3192,23,0.21595836,0.20443039,1.792438,5,0.72217043,0.40329138,0.30911298,0.569055,2,0.335018,0.715064,0.22926577,0.49978896,0.52577171,1.142754,True,2.5917,0.92075
NET-000040,market_maker_graph,1000,2981,5.9636,19,0.0059636,0.43334273,3.559419,7,0.11935834,0.22045321,0.00763625,0.720905,14,0.38071,0.719067,0.26120522,0.30973888,1.02906244,2.051067,True,2.3999,1.166448
NET-000041,validator_consensus,200,446,4.465,22,0.02232503,0.3823134,3.119657,9,0.37514093,0.62517492,0.0109007,0.70229,7,0.406103,0.949708,0.0586456,0.33261861,0.38028812,0.089431,True,2.7663,1.136329
NET-000042,validator_consensus,100,407,8.1554,32,0.08155423,0.42418778,2.079697,4,0.15314586,0.53177386,0.03718373,0.639834,6,0.17698,0.877632,0.0189865,0.12469252,0.4802158,2.133798,True,2.7446,1.035273
NET-000043,interbank_lending,50,247,9.8998,48,0.19799646,0.4232252,1.637689,5,0.18609841,0.72526348,0.15486006,0.771517,3,0.103488,0.835144,0.0595597,0.25156675,0.41460923,2.685123,False,2.5037,1.248341
NET-000044,market_maker_graph,500,1112,4.4485,22,0.00889707,0.29488866,3.665686,9,0.05688,0.52369408,0.01129713,0.348058,14,0.183476,0.530522,0.07596712,0.21624588,0.09373004,0.380096,False,2.7061,0.56317
NET-000045,validator_consensus,500,908,3.6335,22,0.00726709,0.15945188,4.053035,12,0.50099422,0.11343066,0.01179807,0.587708,12,0.140227,0.684218,0.24310973,0.28990109,0.25942564,1.965384,False,2.5713,0.950932
NET-000046,interbank_lending,1000,2666,5.3323,25,0.00533233,0.47221285,3.742684,7,0.55765658,0.1310499,0.00102294,0.74814,17,0.550601,0.828434,0.12342212,0.21593665,0.52029864,1.937141,True,3.0019,1.210515
NET-000047,interbank_lending,50,140,5.6153,34,0.11230695,0.35245765,2.070519,5,0.13608421,0.44095416,0.13187094,0.549405,4,0.404139,0.784778,0.44186955,0.17687521,0.13186266,1.735221,True,2.4273,0.888956
NET-000048,liquidity_pool,200,761,7.6118,35,0.03805895,0.61014002,2.460749,5,0.08348835,0.33362391,0.01734462,0.649896,6,0.178053,0.851166,0.11704863,0.13095602,0.33483676,2.804268,False,3.1776,1.051554
NET-000049,market_maker_graph,200,451,4.5191,20,0.02259573,0.36128397,3.101654,9,0.08173359,0.38447986,0.00079867,0.533018,7,0.468005,0.814876,0.37518977,0.17539878,0.27263938,0.911371,True,1.7548,0.862442
NET-000050,liquidity_pool,200,470,4.7026,28,0.02351294,0.63700997,3.0434,8,0.33082566,0.28640975,0.02400231,0.617976,9,0.295305,0.857475,0.08867175,0.50214117,0.43186261,2.566135,True,2.4828,0.999907
NET-000051,governance_voting,50,142,5.7088,34,0.11417661,0.208101,2.055255,4,0.06593439,0.27768552,0.07211433,0.725703,3,0.107462,0.779119,0.16252968,0.49488671,0.23472977,1.786698,True,2.9471,1.174212
NET-000052,validator_consensus,500,1541,6.1644,34,0.01232872,0.22358598,3.156035,7,0.31657247,0.51613691,0.01639005,0.506345,8,0.329825,0.885234,0.17152606,0.32892162,0.30319993,1.556211,False,2.0803,0.819283
NET-000053,token_transfer,200,854,8.5411,43,0.04270543,0.26890744,2.348954,6,0.37491213,0.18427664,0.023275,0.738593,6,0.218909,0.931345,0.07941737,0.2870048,0.34117504,2.258892,True,2.228,1.195069
NET-000054,validator_consensus,20,85,8.5237,29,0.42618698,0.50256331,1.329199,3,0.28006735,0.46429578,0.01656317,0.450604,2,0.317818,0.81053,0.17008219,0.48935191,0.65421999,2.247741,False,1.9424,0.729093
NET-000055,validator_consensus,100,260,5.2188,17,0.05218824,0.23804672,2.519818,6,0.28489152,0.15787237,0.00936954,0.529696,5,0.095238,0.794575,0.36206297,0.33387185,0.41562602,1.635239,True,2.6777,0.857066
NET-000056,governance_voting,1000,2354,4.708,27,0.00470802,0.55926383,3.965707,3,0.23158843,0.43864384,0.00532142,0.827337,17,0.2437,0.838765,0.10037171,0.3813907,0.59642562,1.863117,True,2.3476,1.33866
NET-000057,oracle_network,1000,1483,2.9666,16,0.00296662,0.3474573,5.013196,13,0.34712335,0.27967498,0.00547104,0.796289,14,0.188686,0.653146,0.12207121,0.48239781,0.48832199,0.697778,True,1.641,1.288422
NET-000058,governance_voting,20,48,4.899,19,0.24495158,0.2755777,1.687938,3,0.29745255,0.331993,0.22821471,0.749445,2,0.518096,0.802901,0.09737563,0.25167836,0.4874562,1.434307,True,2.3492,1.212628
NET-000059,token_transfer,20,53,5.3655,31,0.2682764,0.5543364,1.61853,4,0.09898358,0.41027343,0.40784318,0.712895,2,0.053719,0.842263,0.13890984,0.44864587,0.54582473,1.094761,False,2.3237,1.153488
NET-000060,governance_voting,100,319,6.3821,28,0.06382076,0.39035507,2.303674,6,0.25338203,0.55561988,0.00960061,0.528333,2,0.132165,0.780115,0.16092383,0.43391681,0.5334916,2.203343,True,2.0879,0.854861
NET-000061,bridge_relay,1000,3467,6.9349,42,0.00693494,0.25993808,3.335023,7,0.2210471,0.38828688,0.00273961,0.624463,14,0.45377,0.858694,0.13402575,0.40254985,0.7891608,2.655944,False,2.437,1.010402
NET-000062,governance_voting,500,1264,5.0568,24,0.01011355,0.16431341,3.450303,9,0.19543126,0.52010925,0.01237731,0.683126,10,0.218463,0.729078,0.05363617,0.28131711,0.57702502,2.136867,True,2.7248,1.10532
NET-000063,interbank_lending,500,2322,9.2904,43,0.01858075,0.21155719,2.66583,5,0.14239117,0.3981192,0.01289611,0.88795,8,0.338971,0.863168,0.03901469,0.23653231,0.35859946,2.527197,False,2.2331,1.436733
NET-000064,market_maker_graph,100,463,9.2601,36,0.0926011,0.7281148,1.977942,4,0.23929478,0.5575039,0.04575671,0.578997,2,0.342848,0.834816,0.26727068,0.05858856,0.20133899,2.281151,True,2.5778,0.936837
NET-000065,liquidity_pool,20,60,6.0112,29,0.30056079,0.08817234,1.538236,5,0.19851694,0.67480387,0.26319265,0.737433,2,0.309215,0.702956,0.09177295,0.14522442,0.47219576,1.832926,True,2.0977,1.193191
NET-000066,governance_voting,20,68,6.8612,26,0.34306033,0.78951191,1.452871,3,0.19606719,0.22359116,0.12923006,0.493207,2,0.46473,0.890162,0.41167191,0.21667139,0.47527483,2.740783,True,2.2717,0.798025
NET-000067,validator_consensus,50,237,9.4968,51,0.18993684,0.49118829,1.66393,4,0.19474735,0.49530425,0.03981391,0.396793,2,0.38277,0.975126,0.114145,0.12731794,0.31981406,2.451554,False,2.4777,0.642025
NET-000068,liquidity_pool,1000,2639,5.2789,21,0.00527894,0.81111553,3.759935,8,0.43265781,0.5475645,0.00254175,0.857555,20,0.458536,0.709793,0.08026168,0.45818065,0.15078966,1.81392,False,2.7754,1.387553
NET-000069,governance_voting,100,263,5.2652,22,0.05265248,0.24380661,2.509605,5,0.14963382,0.71486289,0.06471772,0.467032,5,0.275914,0.938092,0.03815907,0.52284094,0.6676056,1.322454,True,2.6854,0.755674
NET-000070,liquidity_pool,500,2902,11.6119,82,0.02322381,0.12705723,2.451869,5,0.19868866,0.20078778,0.01451054,0.575716,8,0.279388,0.773922,0.22166823,0.15315183,0.82029637,3.597591,True,2.3153,0.931528
NET-000071,liquidity_pool,50,199,7.9896,43,0.15979228,0.39325694,1.781375,4,0.13941591,0.44910747,0.14970024,0.51516,3,0.279503,0.57591,0.12731818,0.33237011,0.48988193,2.979829,True,2.8498,0.833547
NET-000072,oracle_network,100,407,8.1548,57,0.08154819,0.20357384,2.079759,5,0.03126097,0.09605776,0.0458213,0.715511,7,0.421374,0.960195,0.35062413,0.21705931,0.52789273,2.551491,True,1.3787,1.157721
NET-000073,oracle_network,20,58,5.8419,25,0.29209692,0.77039999,1.557786,4,0.53984093,0.66679162,0.31223242,0.502962,2,0.43826,0.805072,0.1230806,0.53350401,0.59031246,0.946345,True,2.6082,0.813809
NET-000074,liquidity_pool,100,282,5.6521,24,0.05652119,0.18436468,2.430252,6,0.10571613,0.48807133,0.02389739,0.629317,5,0.20818,0.702821,0.27670155,0.57928558,0.49257928,1.983426,True,1.9517,1.018256
NET-000075,market_maker_graph,1000,3910,7.8203,35,0.00782029,0.42233348,3.172982,8,0.27500586,0.4442248,0.00444579,0.663129,13,0.366645,0.579189,0.13150553,0.15190607,0.50676004,2.609178,True,2.493,1.072965
NET-000076,bridge_relay,1000,1604,3.2091,19,0.00320909,0.34173505,4.806246,12,0.32413022,0.43986744,0.00356318,0.870517,19,0.4166,0.591352,0.22920063,0.48749136,0.77055631,1.178018,True,2.3332,1.408526
NET-000077,liquidity_pool,100,300,6.0079,25,0.06007852,0.472694,2.365227,8,0.47473228,0.50844296,0.05802726,0.81234,4,0.332328,0.821024,0.29402256,0.2179406,0.13463199,1.719694,False,2.0277,1.314394
NET-000078,oracle_network,50,128,5.1452,22,0.10290377,0.23193109,2.15459,5,0.29012303,0.32216656,0.08357033,0.783233,3,0.570491,0.66378,0.02522788,0.15707864,0.55268924,1.921196,False,3.0839,1.267297
NET-000079,token_transfer,1000,1538,3.0779,10,0.00307793,0.30821438,4.914489,9,0.56284228,0.63480481,0.0047732,0.396172,12,0.422983,0.796484,0.11428136,0.2147463,0.71034866,1.179761,True,2.4689,0.641019
NET-000080,interbank_lending,100,194,3.8993,20,0.03899272,0.37999661,2.897998,5,0.35450591,0.4146212,0.03028168,0.60452,4,0.696688,0.949855,0.33504832,0.42863773,0.35011697,1.860624,True,2.3214,0.978134
NET-000081,market_maker_graph,500,1161,4.647,18,0.00929401,0.35941208,3.589925,11,0.20115176,0.69900384,0.00639623,0.809372,9,0.088681,0.755688,0.32796214,0.25151369,0.62598315,1.277236,True,2.2527,1.309592
NET-000082,liquidity_pool,20,40,4.0054,24,0.2002698,0.56092282,1.860106,4,0.24963277,0.58879423,0.23262625,0.577877,2,0.360116,0.923364,0.07549035,0.31742311,0.41950163,1.093452,True,2.757,0.935025
NET-000083,governance_voting,50,58,2.3282,5,0.04656496,0.29311709,3.253387,6,0.06471217,0.44471613,0.07079412,0.582552,3,0.339542,0.826567,0.19827259,0.26613632,0.60269454,0.658094,True,2.3417,0.942589
NET-000084,validator_consensus,1000,3090,6.1813,29,0.00618132,0.46381124,3.503836,6,0.33612678,0.37056598,0.00333386,0.699881,10,0.275199,0.741625,0.10968872,0.51056921,0.22387011,1.586774,False,2.1751,1.132432
NET-000085,validator_consensus,20,58,5.8502,28,0.29251071,0.50048092,1.556807,4,0.19359054,0.7668165,0.36554071,0.700855,2,0.495357,0.787036,0.27642923,0.19787108,0.68771934,1.164064,True,1.8127,1.134007
NET-000086,token_transfer,1000,2902,5.8043,27,0.00580429,0.61759246,3.602379,8,0.14583374,0.36640769,0.00675033,0.560497,9,0.195714,0.89883,0.09979409,0.38137964,0.67643916,1.440232,True,2.2535,0.906902
NET-000087,interbank_lending,200,513,5.1376,22,0.02568797,0.29165087,2.920095,6,0.17558408,0.81452179,0.03493446,0.596801,8,0.453667,0.697051,0.11023301,0.44723436,0.59332733,0.856182,True,2.3121,0.965645
NET-000088,liquidity_pool,500,805,3.2226,13,0.00644517,0.20252579,4.314358,13,0.22254312,0.34803711,0.01343835,0.685899,11,0.19326,0.794694,0.21421785,0.19949554,0.67937071,0.601659,True,3.0491,1.109807
NET-000089,liquidity_pool,20,48,4.8232,29,0.24115941,0.55343318,1.700335,2,0.18075117,0.06580955,0.37777757,0.647005,2,0.255056,0.971353,0.09148119,0.19222119,0.54858951,1.216872,True,2.2219,1.046876
NET-000090,oracle_network,500,1150,4.602,28,0.00920404,0.71259268,3.606586,11,0.23561907,0.5570901,0.01023135,0.878981,8,0.186569,0.759175,0.12918519,0.30327078,0.78768729,1.27425,True,2.7773,1.422221
NET-000091,bridge_relay,50,165,6.6182,34,0.13236336,0.52079017,1.926596,4,0.26623227,0.61191325,0.10059554,0.686478,4,0.297799,0.729011,0.24297476,0.289799,0.81582922,2.265486,True,2.5166,1.110744
NET-000092,governance_voting,50,114,4.5825,25,0.09165095,0.34443335,2.274901,4,0.3852,0.4700224,0.00191956,0.637123,3,0.190367,0.865425,0.3275161,0.35729131,0.66033512,1.468672,True,2.3048,1.030886
NET-000093,liquidity_pool,50,181,7.2788,34,0.14557552,0.54605807,1.850798,5,0.69304614,0.39520019,0.07841238,0.72279,2,0.249209,0.974219,0.58841102,0.27104725,0.39383222,2.864054,False,2.6776,1.169499
NET-000094,token_transfer,500,1984,7.9368,47,0.01587358,0.24907165,2.837492,6,0.1629396,0.45813247,0.01458247,0.550643,6,0.374062,0.788927,0.17261386,0.4121686,0.82139924,2.915844,True,2.5465,0.890959
NET-000095,liquidity_pool,200,434,4.3408,30,0.02170399,0.48941505,3.162467,5,0.35828899,0.77506541,0.0305665,0.477882,8,0.293271,0.793106,0.22484736,0.24630234,0.31609775,1.4838,True,2.8195,0.77323
NET-000096,bridge_relay,1000,3406,6.8129,32,0.00681289,0.2148289,3.360171,11,0.42032752,0.4457499,0.00481485,0.977359,16,0.551443,0.919179,0.28716983,0.26823684,0.23055773,2.372331,False,2.5289,1.5814
NET-000097,market_maker_graph,100,447,8.9597,36,0.08959691,0.13433316,2.003514,4,0.16060231,0.38066827,0.03408587,0.904086,5,0.259688,0.910014,0.03683749,0.18272806,0.47029758,2.503085,True,2.988,1.462842
NET-000098,oracle_network,200,359,3.5978,19,0.01798922,0.33498131,3.472969,7,0.3785256,0.2129027,0.04606916,0.67886,7,0.410004,0.78302,0.26325101,0.29338808,0.20543448,1.689946,True,2.4266,1.098418
NET-000099,interbank_lending,1000,3277,6.5548,19,0.0065548,0.33867265,3.415989,8,0.17730825,0.31697219,0.00397192,0.892684,16,0.340337,0.955694,0.23676936,0.20532451,0.4828099,1.703188,True,2.78,1.444394
NET-000100,token_transfer,500,1725,6.9003,42,0.01380056,0.53465147,3.006732,9,0.40649739,0.70502178,0.00594024,0.655011,8,0.527466,0.756396,0.10704163,0.39374365,0.59477805,2.620319,False,2.3248,1.05983
NET-000101,governance_voting,100,302,6.0442,34,0.06044159,0.28507278,2.358966,7,0.54170614,0.18293414,0.0599649,0.400961,3,0.241999,0.754115,0.20871369,0.22213513,0.48584664,1.312039,True,2.4936,0.648768
NET-000102,interbank_lending,50,153,6.1542,38,0.12308342,0.16336387,1.988124,3,0.01931966,0.30776011,0.07700731,0.185177,3,0.191384,0.860769,0.26485632,0.4591231,0.35633484,2.243702,False,1.7994,0.299623
NET-000103,validator_consensus,100,311,6.2232,26,0.06223181,0.35637927,2.329025,5,0.40487033,0.1913469,0.07040285,0.620855,3,0.388249,0.792476,0.30487723,0.27276021,1.09324218,1.956891,True,2.6284,1.004565
NET-000104,interbank_lending,50,131,5.2758,26,0.10551656,0.33118898,2.129913,5,0.04205521,0.59279945,0.09839435,0.811778,3,0.2561,0.898566,0.09529472,0.42752696,0.65102135,1.229329,False,2.2961,1.313485
NET-000105,oracle_network,500,1611,6.4461,28,0.0128923,0.31110901,3.095391,6,0.39801538,0.25921719,0.01248483,0.562517,7,0.108208,0.87143,0.41514733,0.1028671,0.58190054,1.299198,True,2.2817,0.910172
NET-000106,market_maker_graph,20,63,6.3868,34,0.31934112,0.10283783,1.498093,2,0.50476216,0.03987117,0.49663041,0.681117,2,0.483861,0.910406,0.19117368,0.32590031,0.76069956,1.588818,True,2.0788,1.102071
NET-000107,market_maker_graph,1000,1000,2,9,0.002,0.39899133,6.28771,19,0.14854141,0.16983575,0.00609766,0.620909,15,0.232487,0.877725,0.3930482,0.26565069,0.45491188,0.72116,True,2.3649,1.004652
NET-000108,validator_consensus,50,155,6.2203,34,0.12440645,0.49303324,1.978868,3,0.33653803,0.35984331,0.08278268,0.676338,3,0.54951,0.791048,0.28565588,0.46970517,0.49143776,2.104925,True,2.1684,1.094338
NET-000109,interbank_lending,20,69,6.9027,39,0.34513665,0.19866066,1.449168,3,0.26190427,0.51961093,0.19814634,0.421547,2,0.126423,0.88567,0.06684966,0.55716621,0.48892994,2.160331,False,2.4469,0.682077
NET-000110,oracle_network,100,327,6.5518,30,0.06551809,0.50815798,2.277772,3,0.09419573,0.12975735,0.03852526,0.792233,4,0.093494,0.963612,0.19682352,0.24762468,0.4286578,2.745978,True,2.2204,1.28186
NET-000111,token_transfer,50,209,8.3977,35,0.16795398,0.17209642,1.746076,4,0.1971186,0.1921477,0.08928481,0.733794,3,0.533723,0.734459,0.10336018,0.20091528,0.57970704,3.276918,True,2.8085,1.187303
NET-000112,validator_consensus,500,1043,4.1743,23,0.0083486,0.21259868,3.780856,6,0.09249562,0.40782191,0.00992545,0.432683,8,0.531289,0.847614,0.07899908,0.47603221,0.510887,0.554141,True,2.4029,0.700096
NET-000113,liquidity_pool,500,1963,7.8533,29,0.01570663,0.34001408,2.849702,7,0.3287903,0.2341153,0.00028228,0.520709,14,0.341919,0.842276,0.05476218,0.37328442,0.14658183,3.285801,True,2.335,0.842526
NET-000114,interbank_lending,200,871,8.712,36,0.04356015,0.36509147,2.330605,5,0.5530755,0.57152978,0.02253846,0.748753,8,0.217784,0.899842,0.0485133,0.33378104,0.46737933,2.689077,False,2.3912,1.211508
NET-000115,bridge_relay,50,164,6.5697,32,0.13139301,0.57931939,1.932677,6,0.67122586,0.45580792,0.04274562,0.434186,3,0.475891,0.883061,0.43413962,0.5673272,0.44574264,3.442446,False,2.8002,0.702527
NET-000116,token_transfer,200,357,3.5702,17,0.01785094,0.13506914,3.486758,8,0.34456864,0.4409707,0.02971355,0.852046,5,0.284035,0.778711,0.09751573,0.43874947,0.57865824,0.88976,True,2.5915,1.37864
NET-000117,liquidity_pool,200,679,6.797,23,0.03398505,0.05898126,2.579838,6,0.18592036,0.24299103,0.01075926,0.608357,11,0.121246,0.670928,0.1055618,0.37768367,0.17704805,1.250255,True,2.1916,0.984342
NET-000118,market_maker_graph,100,255,5.1164,25,0.05116419,0.42927407,2.542921,7,0.30324513,0.36606934,0.06622933,0.763733,6,0.251722,0.908735,0.11146766,0.35700977,0.5854075,0.500917,True,2.3322,1.235747
NET-000119,liquidity_pool,1000,2572,5.1442,17,0.00514423,0.25509158,3.804849,11,0.46799288,0.5488335,0.0030447,0.752732,14,0.170133,0.67751,0.10366148,0.10892179,0.41064356,1.955819,True,2.5967,1.217946
