measurement_id,operation_type,batch_size,energy_joules,energy_kwh,carbon_grams_co2,carbon_intensity_gco2_kwh,power_usage_effectiveness,traditional_system_multiplier,transactions_per_kwh,efficiency_score_phi_normalized,data_center_region,renewable_fraction,cooling_method,measurement_timestamp_utc
ENERGY-000050,consensus_round,1,0.01107504,3.076e-09,9.229e-07,300,1.2341,1079.91,325055200.19,0.05580421,us-east,0.8814,free_cooling,2026-06-19T05:00:00Z
ENERGY-000051,settlement_batch,500,1.3488053,3.74668e-07,0.0001686007,450,1.2807,993.86,2669028.66,0.00045821,eu-west,0.8455,free_cooling,2026-04-09T06:00:00Z
ENERGY-000052,provenance_verify,1,0.00018299,5.1e-11,3.05e-08,600,1.1189,897.32,19673625503.61,1.0,singapore,0.74,liquid,2026-04-28T02:00:00Z
ENERGY-000053,provenance_verify,5,0.00103922,2.89e-10,5.77e-08,200,1.2223,1193.19,3464132750.15,0.59470883,eu-west,0.5447,immersion,2026-05-26T18:00:00Z
ENERGY-000054,provenance_verify,50,0.00887627,2.466e-09,1.1095e-06,450,1.2208,956.89,405575761.57,0.06962767,eu-west,0.8684,air,2026-06-28T19:00:00Z
ENERGY-000055,canister_query,5,0.00025645,7.1e-11,7.1e-09,100,1.0337,1008.81,14037854480.2,1.0,japan,0.7029,air,2026-02-18T06:00:00Z
ENERGY-000056,model_inference,50,2.45197761,6.81105e-07,0.0002043315,300,1.0583,1119.12,1468202.64,0.00025206,nordic,0.8074,immersion,2026-02-03T08:00:00Z
ENERGY-000057,coherence_check,1,9.287e-05,2.6e-11,1.3e-09,50,1.0588,901.76,38765929558.23,1.0,nordic,0.9094,air,2026-02-10T06:00:00Z
ENERGY-000058,netting_cycle,100,0.21196516,5.8879e-08,1.17758e-05,200,1.2364,828.73,16983923.54,0.00291573,eu-west,0.551,liquid,2026-06-07T17:00:00Z
ENERGY-000059,provenance_verify,1,0.00020184,5.6e-11,1.12e-08,200,1.2375,827.6,17835660391.55,1.0,nordic,0.5715,air,2026-01-29T00:00:00Z
ENERGY-000060,netting_cycle,1,0.00213717,5.94e-10,2.671e-07,450,1.2647,651.77,1684472256.64,0.28918364,eu-west,0.731,immersion,2026-05-12T08:00:00Z
ENERGY-000061,token_mint,500,0.21168827,5.8802e-08,1.76407e-05,300,1.1392,907.19,17006138.35,0.00291955,us-east,0.6796,immersion,2026-03-06T11:00:00Z
ENERGY-000062,coherence_check,500,0.05150185,1.4306e-08,8.5836e-06,600,1.191,1221.28,69900407.27,0.01200023,us-east,0.8729,immersion,2026-05-12T09:00:00Z
ENERGY-000063,model_inference,50,1.63586454,4.54407e-07,0.0002726441,600,1.2111,830.33,2200671.21,0.0003778,japan,0.5558,immersion,2026-01-19T07:00:00Z
ENERGY-000064,model_inference,1,0.05327844,1.48e-08,4.4399e-06,300,1.1465,703.6,67569551.68,0.01160008,eu-west,0.5894,free_cooling,2026-03-11T18:00:00Z
ENERGY-000065,canister_query,50,0.00252129,7e-10,7e-08,100,1.39,694.54,1427842954.08,0.24512652,nordic,0.7086,immersion,2026-03-09T12:00:00Z
ENERGY-000066,netting_cycle,50,0.08719647,2.4221e-08,4.8442e-06,200,1.2943,1094.9,41286074.2,0.00708783,nordic,0.7664,liquid,2026-06-09T00:00:00Z
ENERGY-000067,netting_cycle,50,0.08887715,2.4688e-08,1.11096e-05,450,1.0338,933.75,40505348.04,0.0069538,singapore,0.6789,liquid,2026-06-24T03:00:00Z
ENERGY-000068,coherence_check,100,0.0109794,3.05e-09,1.525e-07,50,1.2623,654.64,327886667.36,0.05629031,singapore,0.6886,free_cooling,2026-02-26T13:00:00Z
ENERGY-000069,coherence_check,50,0.00406802,1.13e-09,3.39e-07,300,1.3761,984.26,884951216.01,0.15192498,singapore,0.8528,air,2026-01-18T18:00:00Z
ENERGY-000070,bridge_transfer,1,0.00085363,2.37e-10,2.37e-08,100,1.0354,1109.33,4217290696.7,0.72400805,singapore,0.7878,immersion,2026-03-04T08:00:00Z
ENERGY-000071,bridge_transfer,1,0.00088539,2.46e-10,1.476e-07,600,1.2645,942.53,4066024857.88,0.69803932,japan,0.7792,air,2026-02-18T00:00:00Z
ENERGY-000072,canister_update,10,0.00311953,8.67e-10,4.33e-08,50,1.155,1010.16,1154021402.96,0.1981179,eu-west,0.7299,liquid,2026-04-06T12:00:00Z
ENERGY-000073,model_inference,500,25.28746164,7.024295e-06,0.0007024295,100,1.2808,425.28,142363.04,2.444e-05,us-east,0.5476,free_cooling,2026-05-05T09:00:00Z
ENERGY-000074,settlement_batch,100,0.32204124,8.9456e-08,2.68368e-05,300,1.2165,922.98,11178692.57,0.00191911,eu-west,0.9254,air,2026-03-13T12:00:00Z
ENERGY-000075,consensus_round,5,0.05463148,1.5175e-08,7.588e-07,50,1.1789,973.85,65896078.92,0.01131278,eu-west,0.6204,immersion,2026-06-24T11:00:00Z
ENERGY-000076,bridge_transfer,10,0.00847365,2.354e-09,1.177e-07,50,1.2437,1234.75,424846329.13,0.07293596,eu-west,0.7552,air,2026-06-07T09:00:00Z
ENERGY-000077,bridge_transfer,100,0.08948172,2.4856e-08,2.4856e-06,100,1.3346,1411.05,40231679.28,0.00690682,nordic,0.9214,free_cooling,2026-01-10T11:00:00Z
ENERGY-000078,settlement_batch,5,0.01859509,5.165e-09,3.0992e-06,600,1.5251,1020.53,193599505.41,0.03323641,singapore,0.7312,liquid,2026-06-04T16:00:00Z
ENERGY-000079,model_inference,5,0.2137589,5.9377e-08,2.67199e-05,450,1.2168,718.58,16841403.81,0.00289127,eu-west,0.8615,air,2026-01-02T22:00:00Z
ENERGY-000080,canister_query,500,0.02651657,7.366e-09,7.366e-07,100,1.1658,887.69,135764177.89,0.02330747,japan,0.7524,liquid,2026-02-24T08:00:00Z
ENERGY-000081,bridge_transfer,1,0.00102062,2.84e-10,1.42e-08,50,1.2345,881.8,3527279374.62,0.60554959,singapore,0.7732,immersion,2026-04-03T03:00:00Z
ENERGY-000082,provenance_verify,50,0.01029549,2.86e-09,1.7159e-06,600,1.1837,970.6,349667664.42,0.06002958,nordic,0.5447,liquid,2026-04-27T12:00:00Z
ENERGY-000083,coherence_check,500,0.05194416,1.4429e-08,7.214e-07,50,1.038,1190.3,69305188.76,0.01189805,eu-west,0.2973,air,2026-01-11T13:00:00Z
ENERGY-000084,canister_update,10,0.00293381,8.15e-10,1.63e-07,200,1.1948,1070.54,1227072837.94,0.21065909,eu-west,0.222,immersion,2026-05-19T17:00:00Z
ENERGY-000085,canister_update,5,0.00116065,3.22e-10,9.67e-08,300,1.2968,710.44,3101702488.13,0.53248821,nordic,0.7344,free_cooling,2026-06-15T10:00:00Z
ENERGY-000086,provenance_verify,50,0.00831803,2.311e-09,4.621e-07,200,1.3642,1192.89,432794827.52,0.07430053,nordic,0.6181,free_cooling,2026-02-21T02:00:00Z
ENERGY-000087,consensus_round,50,0.44989289,1.2497e-07,2.4994e-05,200,1.2041,1159.62,8001904.65,0.00137374,us-east,0.5036,immersion,2026-05-17T18:00:00Z
ENERGY-000088,bridge_transfer,1,0.000845,2.35e-10,1.408e-07,600,1.1972,1267.16,4260333952.32,0.73139755,eu-west,0.8151,free_cooling,2026-04-26T04:00:00Z
ENERGY-000089,bridge_transfer,1,0.00088225,2.45e-10,1.47e-07,600,1.1866,766.52,4080458723.88,0.70051727,singapore,0.9165,air,2026-02-09T12:00:00Z
ENERGY-000090,bridge_transfer,100,0.08352776,2.3202e-08,6.9606e-06,300,1.4428,874.15,43099444.9,0.00739914,eu-west,0.8812,air,2026-06-20T09:00:00Z
ENERGY-000091,consensus_round,10,0.10883182,3.0231e-08,9.0693e-06,300,1.216,1118.01,33078561.85,0.0056788,singapore,0.7159,free_cooling,2026-04-22T07:00:00Z
ENERGY-000092,canister_update,10,0.00296761,8.24e-10,1.649e-07,200,1.2672,1164.01,1213095553.35,0.20825952,us-east,0.528,immersion,2026-02-19T11:00:00Z
ENERGY-000093,token_mint,50,0.02387539,6.632e-09,3.9792e-06,600,1.2146,1247.1,150782846.02,0.02588581,nordic,0.7373,air,2026-01-23T02:00:00Z
ENERGY-000094,consensus_round,1,0.01021112,2.836e-09,1.7019e-06,600,1.0522,1294.43,352556987.29,0.06052561,us-east,0.8365,free_cooling,2026-06-24T00:00:00Z
ENERGY-000095,bridge_transfer,100,0.10873429,3.0204e-08,9.0612e-06,300,1.2148,1107.07,33108230.92,0.00568389,eu-west,0.9141,free_cooling,2026-06-22T08:00:00Z
ENERGY-000096,canister_query,10,0.00056406,1.57e-10,7.8e-09,50,1.1076,1352.05,6382344720.58,1.0,japan,0.8012,air,2026-05-30T21:00:00Z
ENERGY-000097,canister_update,1,0.00030992,8.6e-11,2.58e-08,300,1.1532,579.54,11615794140.8,1.0,us-east,0.7186,free_cooling,2026-05-03T20:00:00Z
ENERGY-000098,provenance_verify,50,0.01131299,3.142e-09,1.4141e-06,450,1.1981,1382.06,318218153.69,0.05463045,singapore,0.5824,free_cooling,2026-02-05T18:00:00Z
ENERGY-000099,canister_update,10,0.00247258,6.87e-10,1.374e-07,200,1.2766,1160.17,1455967520.73,0.24995484,eu-west,0.9044,immersion,2026-01-13T21:00:00Z
ENERGY-000100,canister_update,50,0.01444066,4.011e-09,1.2034e-06,300,1.0527,1033.72,249296155.1,0.04279819,japan,0.7658,air,2026-01-02T20:00:00Z
ENERGY-000101,settlement_batch,50,0.1812767,5.0355e-08,2.26596e-05,450,1.3189,999.37,19859143.94,0.00340934,nordic,0.7605,immersion,2026-06-05T20:00:00Z
ENERGY-000102,token_mint,1,0.00044806,1.24e-10,3.73e-08,300,1.1696,961.08,8034590509.7,1.0,singapore,0.7694,free_cooling,2026-02-14T19:00:00Z
ENERGY-000103,canister_query,100,0.00501706,1.394e-09,8.362e-07,600,1.3579,1202.28,717551927.49,0.12318652,japan,0.4471,liquid,2026-04-13T04:00:00Z
ENERGY-000104,provenance_verify,1,0.00019984,5.6e-11,3.33e-08,600,1.152,1029.25,18014824485.61,1.0,nordic,0.8176,liquid,2026-06-04T10:00:00Z
ENERGY-000105,netting_cycle,500,0.96877041,2.69103e-07,5.38206e-05,200,1.1141,821.96,3716050.75,0.00063796,us-east,0.8125,free_cooling,2026-06-08T07:00:00Z
ENERGY-000106,bridge_transfer,500,0.55739122,1.54831e-07,6.96739e-05,450,1.322,1081.65,6458659.32,0.0011088,eu-west,0.9233,immersion,2026-04-02T08:00:00Z
ENERGY-000107,bridge_transfer,500,0.54566292,1.51573e-07,4.54719e-05,300,1.0759,761.08,6597479.67,0.00113263,japan,0.866,air,2026-01-31T22:00:00Z
ENERGY-000108,netting_cycle,500,1.01386906,2.8163e-07,8.44891e-05,300,1.2104,819.05,3550754.38,0.00060958,us-east,0.1759,free_cooling,2026-02-02T18:00:00Z
ENERGY-000109,canister_update,100,0.02898434,8.051e-09,3.623e-06,450,1.2224,1182.76,124205004.91,0.02132303,eu-west,0.9416,air,2026-05-18T16:00:00Z
ENERGY-000110,netting_cycle,500,1.13927145,3.16464e-07,0.0001898786,600,1.202,1085.24,3159914.16,0.00054248,nordic,0.8875,immersion,2026-05-01T01:00:00Z
ENERGY-000111,provenance_verify,1,0.00020716,5.8e-11,1.15e-08,200,1.2751,1153.51,17377860174.95,1.0,singapore,0.8152,air,2026-05-29T16:00:00Z
ENERGY-000112,token_mint,5,0.00275358,7.65e-10,1.53e-07,200,1.1029,977.69,1307387835.99,0.22444726,us-east,0.7231,free_cooling,2026-01-19T13:00:00Z
ENERGY-000113,netting_cycle,10,0.01947946,5.411e-09,5.411e-07,100,1.1883,1192.74,184810024.48,0.03172747,singapore,0.8704,liquid,2026-02-19T06:00:00Z
ENERGY-000114,canister_update,100,0.0315917,8.775e-09,1.7551e-06,200,1.0851,1142.58,113953983.97,0.01956318,eu-west,0.7834,free_cooling,2026-04-02T13:00:00Z
ENERGY-000115,canister_update,100,0.03418911,9.497e-09,2.8491e-06,300,1.1159,568.56,105296672.1,0.01807692,us-east,0.7094,free_cooling,2026-02-03T01:00:00Z
ENERGY-000116,coherence_check,5,0.00047297,1.31e-10,6.6e-09,50,1.2083,875.79,7611500209.3,1.0,eu-west,0.9581,free_cooling,2026-05-13T22:00:00Z
ENERGY-000117,consensus_round,100,0.71618981,1.98942e-07,3.97883e-05,200,1.1701,378.9,5026600.41,0.00086295,us-east,0.9029,liquid,2026-01-10T07:00:00Z
ENERGY-000118,canister_update,10,0.00280578,7.79e-10,1.559e-07,200,1.2819,1060.34,1283066974.49,0.22027194,eu-west,0.668,free_cooling,2026-01-14T00:00:00Z
ENERGY-000119,token_mint,10,0.00432244,1.201e-09,5.403e-07,450,1.0845,1196.52,832863241.23,0.14298272,singapore,0.7549,immersion,2026-01-02T19:00:00Z
ENERGY-000120,bridge_transfer,10,0.00865515,2.404e-09,1.202e-07,50,1.0401,1055.74,415937502.64,0.07140653,japan,0.3553,liquid,2026-01-20T16:00:00Z
ENERGY-000121,bridge_transfer,50,0.04088036,1.1356e-08,5.678e-07,50,1.3041,1204.34,88061852.96,0.01511812,japan,0.6238,air,2026-02-24T13:00:00Z
ENERGY-000122,settlement_batch,50,0.14940431,4.1501e-08,4.1501e-06,100,1.44,1097.89,24095690.63,0.00413665,eu-west,0.6086,immersion,2026-01-18T01:00:00Z
ENERGY-000123,canister_query,100,0.00503306,1.398e-09,6.291e-07,450,1.1608,1160.13,715270320.1,0.12279482,singapore,0.7854,immersion,2026-04-12T23:00:00Z
ENERGY-000124,settlement_batch,5,0.01646414,4.573e-09,2.287e-07,50,1.1392,863.54,218657038.42,0.03753819,nordic,0.6884,air,2026-05-11T15:00:00Z
ENERGY-000125,netting_cycle,100,0.19671854,5.4644e-08,5.4644e-06,100,1.1985,649.84,18300257.8,0.00314172,singapore,0.7275,liquid,2026-04-28T13:00:00Z
ENERGY-000126,consensus_round,5,0.05194401,1.4429e-08,1.4429e-06,100,1.2919,1175.99,69305397.85,0.01189808,nordic,0.819,immersion,2026-01-20T03:00:00Z
ENERGY-000127,canister_query,5,0.00024442,6.8e-11,1.36e-08,200,1.2937,1123.97,14729040180.24,1.0,eu-west,0.979,free_cooling,2026-06-24T03:00:00Z
ENERGY-000128,settlement_batch,500,1.51750911,4.2153e-07,2.10765e-05,50,1.1903,655.51,2372308.65,0.00040727,japan,0.6011,air,2026-07-01T02:00:00Z
ENERGY-000129,bridge_transfer,1,0.0009499,2.64e-10,1.187e-07,450,1.2255,1328.44,3789870837.33,0.65063028,nordic,0.7382,air,2026-02-13T09:00:00Z
ENERGY-000130,canister_update,500,0.15111325,4.1976e-08,8.3952e-06,200,1.1803,993.72,23823192.56,0.00408987,nordic,0.758,immersion,2026-01-24T02:00:00Z
ENERGY-000131,consensus_round,50,0.48923821,1.359e-07,6.11548e-05,450,1.0843,696.67,7358378.71,0.00126326,us-east,0.8198,liquid,2026-06-11T09:00:00Z
ENERGY-000132,token_mint,500,0.21901754,6.0838e-08,1.82515e-05,300,1.0042,752.24,16437039.93,0.00282185,japan,0.7387,immersion,2026-06-02T22:00:00Z
ENERGY-000133,model_inference,100,4.59979602,1.277721e-06,0.0003833163,300,1.1425,1070.31,782643.4,0.00013436,japan,0.7341,liquid,2026-05-07T04:00:00Z
ENERGY-000134,netting_cycle,5,0.00922489,2.562e-09,1.281e-07,50,1.1554,883.26,390248445.31,0.06699633,eu-west,0.8253,free_cooling,2026-01-28T15:00:00Z
ENERGY-000135,netting_cycle,10,0.02098759,5.83e-09,2.915e-07,50,1.2649,1038.97,171529916.45,0.02944759,nordic,0.3979,air,2026-02-16T17:00:00Z
ENERGY-000136,consensus_round,100,1.03786167,2.88295e-07,2.88295e-05,100,1.2779,994.5,3468670.36,0.00059549,nordic,0.7375,liquid,2026-05-28T00:00:00Z
ENERGY-000137,bridge_transfer,5,0.00469214,1.303e-09,3.91e-07,300,1.3244,819.34,767239850.09,0.13171675,eu-west,0.5185,immersion,2026-04-18T13:00:00Z
ENERGY-000138,provenance_verify,10,0.00185425,5.15e-10,2.58e-08,50,1.0867,1149.78,1941487579.51,0.33330703,japan,0.8467,immersion,2026-02-07T03:00:00Z
ENERGY-000139,bridge_transfer,50,0.05617145,1.5603e-08,9.3619e-06,600,1.3447,1031.55,64089495.43,0.01100264,eu-west,0.5712,free_cooling,2026-06-13T11:00:00Z
ENERGY-000140,token_mint,5,0.00252384,7.01e-10,3.51e-08,50,1.2087,1298.75,1426397794.24,0.24487842,us-east,0.564,liquid,2026-03-24T03:00:00Z
ENERGY-000141,model_inference,500,25.22685334,7.007459e-06,0.0031533567,450,1.1735,666.86,142705.08,2.45e-05,eu-west,0.741,free_cooling,2026-01-02T09:00:00Z
ENERGY-000142,netting_cycle,10,0.02317297,6.437e-09,3.8622e-06,600,1.2103,1054.54,155353404.17,0.02667047,eu-west,0.5555,air,2026-04-16T22:00:00Z
ENERGY-000143,model_inference,100,5.07417388,1.409493e-06,0.0004228478,300,1.1543,1190.86,709475.1,0.0001218,nordic,0.5072,free_cooling,2026-01-14T16:00:00Z
ENERGY-000144,settlement_batch,500,1.52544291,4.23734e-07,4.23734e-05,100,1.0891,1048.48,2359970.33,0.00040515,japan,0.3688,free_cooling,2026-05-26T14:00:00Z
ENERGY-000145,model_inference,50,2.56361294,7.12115e-07,0.0003204516,450,1.2123,1133.3,1404268.15,0.00024108,singapore,0.7743,liquid,2026-06-30T21:00:00Z
ENERGY-000146,canister_update,100,0.03126362,8.684e-09,8.684e-07,100,1.2625,459.98,115149796.33,0.01976847,eu-west,0.8846,free_cooling,2026-01-11T02:00:00Z
ENERGY-000147,canister_query,100,0.0059874,1.663e-09,7.484e-07,450,1.1782,838.69,601262761.17,0.10322245,singapore,0.9813,air,2026-06-09T07:00:00Z
ENERGY-000148,consensus_round,1,0.00776501,2.157e-09,2.157e-07,100,1.3021,933.12,463618356.24,0.07959219,singapore,0.5459,liquid,2026-05-18T19:00:00Z
ENERGY-000149,settlement_batch,100,0.32354163,8.9873e-08,5.39236e-05,600,1.3284,1133.21,11126852.41,0.00191021,eu-west,0.8439,free_cooling,2026-05-13T04:00:00Z
ENERGY-000150,canister_update,1,0.00025502,7.1e-11,2.13e-08,300,1.2717,1287.32,14116622976.86,1.0,japan,0.6002,air,2026-02-24T11:00:00Z
ENERGY-000151,settlement_batch,100,0.27171923,7.5478e-08,3.7739e-06,50,1.3855,848.81,13248970.04,0.00227453,nordic,0.4105,liquid,2026-04-01T21:00:00Z
ENERGY-000152,token_mint,10,0.0048916,1.359e-09,6.115e-07,450,1.2247,999.02,735955040.49,0.1263459,japan,0.7517,liquid,2026-02-23T12:00:00Z
