experiment_id,oscillator_count_N,coupling_topology,frequency_distribution,coupling_strength_K,critical_coupling_Kc,K_over_Kc_ratio,order_parameter_R,susceptibility_chi,relaxation_time_tau,phase_locked_fraction,mean_field_frequency,chimera_state_detected,lyapunov_exponent_max,simulation_timesteps,integration_method,thermalization_steps
OSC-000020,128,scale_free,uniform,4.039159,1.631112,2.476322,0.77459145,1.20492313,0.439039,0.725765,7.759505,False,-0.09859939,10000,verlet,1000
OSC-000021,8,ring,uniform,4.984404,0.785398,6.34634,0.92212007,0.09384117,0.145865,0.869609,7.911313,False,-0.13248128,10000,rk4,10000
OSC-000022,48,lattice_2d,lorentzian,1.802628,1.445458,1.247098,0.44595464,0.16488355,2.830722,0.433286,7.822049,False,-0.09890401,50000,symplectic_4th,10000
OSC-000023,16,random_erdos_renyi,uniform,0.673344,1.226589,0.548957,0.00453751,0.03690999,15.794003,0,7.788105,False,0.04998077,500000,symplectic_4th,1000
OSC-000024,64,scale_free,bimodal,4.492967,1.824437,2.462659,0.77252735,0.08041059,0.368515,0.821578,7.84697,False,-0.11369823,50000,verlet,5000
OSC-000025,64,random_erdos_renyi,uniform,1.507719,1.428667,1.055333,0.22711708,0.21641932,11.328014,0.192376,7.936516,False,-0.09245956,50000,verlet,1000
OSC-000026,32,scale_free,gaussian,1.250821,1.734545,0.721123,0.00692681,0.57101905,33.582544,0.101025,7.878433,False,0.0339299,10000,rk4,1000
OSC-000027,128,random_erdos_renyi,uniform,0.307089,1.533485,0.200256,0.10993671,0.49120902,131.957715,0,7.843983,False,0.08215648,500000,euler,10000
OSC-000028,48,scale_free,gaussian,3.77583,1.135467,3.325354,0.83867165,0.90294792,0.167415,0.893668,7.920444,False,-0.09624654,50000,symplectic_4th,1000
OSC-000029,128,small_world,uniform,2.94694,1.705832,1.727567,0.64905198,0.47521943,0.921856,0.645211,7.955886,False,-0.09817722,100000,verlet,1000
OSC-000030,128,scale_free,gaussian,2.153555,1.837621,1.171926,0.38304229,0.06007654,2.979302,0.415049,7.579125,False,-0.12415571,50000,rk4,10000
OSC-000031,48,ring,bimodal,4.295913,0.1309,32.818356,0.98636866,1.29224453,0.231379,0.929923,7.934432,False,-0.09871989,50000,verlet,5000
OSC-000032,48,small_world,uniform,0.394178,1.130998,0.348523,0.13173152,0.6931716,37.943545,0.094279,7.750372,False,0.04040053,100000,verlet,1000
OSC-000033,96,all_to_all,lorentzian,4.350106,0.63662,6.833131,0.92559893,1.58235781,0.253267,0.861307,7.76357,False,-0.08410226,100000,verlet,10000
OSC-000034,128,lattice_2d,bimodal,4.459199,1.964683,2.269679,0.74687098,1.99482559,0.361425,0.726276,7.919897,False,-0.06844411,100000,symplectic_4th,10000
OSC-000035,96,all_to_all,uniform,0.893797,0.63662,1.403974,0.53665343,1.79026251,3.722555,0.574779,7.781102,False,-0.11254978,500000,verlet,10000
OSC-000036,128,scale_free,gaussian,3.666085,1.526175,2.402139,0.76435511,0.31628146,0.262992,0.758128,7.791091,False,-0.09534955,10000,symplectic_4th,10000
OSC-000037,8,all_to_all,bimodal,2.667516,0.63662,4.190124,0.87540795,0.11746634,0.488808,0.85994,7.801636,False,-0.08192792,50000,euler,10000
OSC-000038,48,scale_free,gaussian,0.743258,1.37573,0.540264,0.01834779,0.38184499,38.153992,0,7.778246,False,0.07025115,100000,symplectic_4th,1000
OSC-000039,24,random_erdos_renyi,bimodal,2.863524,1.210147,2.366261,0.75560723,0.09912813,0.580206,0.7387,7.915938,False,-0.13503006,500000,verlet,5000
OSC-000040,96,small_world,gaussian,1.587507,1.366254,1.161941,0.37707672,0.9610239,4.377271,0.339595,7.817317,False,-0.09950286,500000,symplectic_4th,5000
OSC-000041,8,scale_free,lorentzian,2.78624,1.060883,2.626341,0.77969334,0.14228313,0.767843,0.744698,7.859194,False,-0.10629843,500000,euler,5000
OSC-000042,16,scale_free,gaussian,2.631389,1.078109,2.440745,0.77043066,0.04975586,0.612192,0.733048,7.75661,False,-0.11979617,100000,symplectic_4th,1000
OSC-000043,16,ring,gaussian,1.519017,0.392699,3.868145,0.85656785,0.00817557,0.860679,0.92571,7.837541,False,-0.09634019,10000,rk4,1000
OSC-000044,16,small_world,lorentzian,0.1402,1.727824,0.081143,0.18994725,0.18325084,16.295917,0.200635,7.932206,False,0.05522944,100000,symplectic_4th,10000
OSC-000045,8,small_world,uniform,4.233377,1.156435,3.660713,0.85483422,0.07187158,0.330122,0.83584,7.765811,False,-0.09756334,100000,symplectic_4th,1000
OSC-000046,16,lattice_2d,gaussian,1.311095,0.889541,1.473901,0.57602762,0.26657902,2.314918,0.573982,7.785765,False,-0.10688649,500000,verlet,5000
OSC-000047,24,lattice_2d,uniform,3.74915,1.322782,2.834292,0.80249034,0.20245199,0.326773,0.807448,7.809083,False,-0.09497069,50000,rk4,1000
OSC-000048,96,small_world,uniform,0.686283,1.619669,0.423718,0.07123071,0.99130668,93.50574,0.155669,7.875622,False,0.02338951,100000,rk4,1000
OSC-000049,24,scale_free,uniform,3.461129,1.562525,2.215088,0.73494916,0.77909411,0.526056,0.717384,7.794415,False,-0.09088624,10000,euler,5000
OSC-000050,32,small_world,lorentzian,1.04553,1.610217,0.64931,0.17854363,0.20774514,26.406687,0.249431,7.990268,False,0.02863702,100000,symplectic_4th,1000
OSC-000051,24,random_erdos_renyi,lorentzian,1.686036,1.529677,1.102217,0.29647933,0.33522272,5.849544,0.238809,7.895726,False,-0.07918746,500000,verlet,5000
OSC-000052,64,scale_free,uniform,3.694923,1.55776,2.371945,0.75759993,1.29988519,0.372422,0.711894,7.934909,False,-0.10310916,500000,euler,10000
OSC-000053,128,random_erdos_renyi,gaussian,3.103892,1.597998,1.942363,0.69542212,2.92462101,0.753229,0.734349,8.00347,False,-0.08454978,50000,euler,1000
OSC-000054,32,all_to_all,bimodal,1.038922,0.63662,1.631934,0.62724321,0.41105317,2.336659,0.664616,7.734928,False,-0.11877006,10000,verlet,1000
OSC-000055,16,all_to_all,gaussian,3.313172,0.63662,5.204318,0.90731135,0.02857267,0.232355,0.921538,7.724115,False,-0.0747025,500000,verlet,10000
OSC-000056,8,random_erdos_renyi,lorentzian,4.188837,1.019661,4.108067,0.86772644,0.12923904,0.347351,0.844799,7.824358,False,-0.09765224,50000,euler,10000
OSC-000057,24,random_erdos_renyi,bimodal,3.755931,1.793872,2.093757,0.72331185,0.07299313,0.435945,0.654049,7.787948,False,-0.09585186,50000,symplectic_4th,10000
OSC-000058,64,lattice_2d,gaussian,4.674248,1.103105,4.237355,0.87335772,1.30174038,0.206557,0.969863,7.82618,False,-0.12413847,100000,euler,10000
OSC-000059,32,scale_free,lorentzian,1.864042,1.722372,1.082253,0.2671172,0.55904716,6.61982,0.267134,7.826102,False,-0.09645856,50000,verlet,1000
OSC-000060,48,ring,gaussian,4.29303,0.1309,32.796334,0.98994948,0.60121352,0.209971,0.952616,7.709691,False,-0.10843519,50000,rk4,1000
OSC-000061,128,small_world,gaussian,2.952563,1.685105,1.752154,0.6564819,1.52921047,0.964323,0.698812,7.885159,False,-0.07167802,100000,symplectic_4th,1000
OSC-000062,128,lattice_2d,uniform,3.016633,1.25903,2.395997,0.76241506,3.25056741,0.529864,0.753093,7.991185,False,-0.08818239,100000,symplectic_4th,5000
OSC-000063,16,ring,uniform,3.206047,0.392699,8.164131,0.93563164,0.12058944,0.267506,0.928939,7.74833,False,-0.1070577,50000,euler,1000
OSC-000064,96,scale_free,uniform,2.03218,1.543306,1.316771,0.49213837,1.22876481,2.035161,0.477813,7.816199,False,-0.10679805,500000,euler,1000
OSC-000065,128,random_erdos_renyi,gaussian,2.490519,1.574881,1.581402,0.60566812,0.58883618,0.958649,0.551347,7.830909,False,-0.09229034,500000,verlet,10000
OSC-000066,16,all_to_all,bimodal,2.175349,0.63662,3.41703,0.83849318,0.27471617,0.627293,0.832336,7.729897,False,-0.04419157,500000,euler,5000
OSC-000067,8,ring,gaussian,3.45826,0.785398,4.403194,0.88550185,0.18729387,0.513504,0.927614,7.836083,False,-0.07216656,50000,verlet,1000
OSC-000068,64,lattice_2d,uniform,1.726196,1.385051,1.246305,0.44720866,0.61230482,2.778953,0.367429,7.782091,False,-0.12663436,50000,rk4,5000
OSC-000069,8,small_world,gaussian,0.394539,1.373512,0.287249,0.16645047,0.19766467,7.761436,0.221872,7.864946,False,0.04749251,100000,verlet,1000
OSC-000070,8,small_world,bimodal,4.885399,1.534668,3.183359,0.83504429,0.13645042,0.348553,0.876278,7.738533,False,-0.09083211,500000,rk4,1000
OSC-000071,32,random_erdos_renyi,lorentzian,1.734491,1.825714,0.950034,0.08099663,0.43610955,28.594606,0.119218,7.778166,False,0.03960312,100000,rk4,10000
OSC-000072,48,scale_free,uniform,1.205355,2.187533,0.551011,0.12112238,0.21853984,56.039047,0.173754,7.952874,False,0.02014577,50000,symplectic_4th,1000
OSC-000073,24,scale_free,lorentzian,4.557703,1.441375,3.162053,0.82445308,0.50356359,0.334523,0.850761,7.656582,False,-0.10922042,50000,verlet,10000
OSC-000074,24,scale_free,gaussian,0.874435,1.284957,0.680517,0.2189261,0.50967411,26.448074,0.212839,7.767375,False,0.05598172,10000,verlet,5000
OSC-000075,96,small_world,bimodal,3.753488,1.357673,2.764648,0.80019579,0.27007244,0.411457,0.771565,7.850191,False,-0.09017527,10000,verlet,10000
OSC-000076,32,random_erdos_renyi,gaussian,0.48943,1.508252,0.324501,0.04035188,0.35199153,28.625882,0.072294,7.737427,False,0.04247579,500000,symplectic_4th,5000
OSC-000077,24,ring,gaussian,1.208738,0.261799,4.617039,0.88300312,0.29063819,1.188078,0.992275,7.719398,False,-0.09488035,50000,euler,1000
OSC-000078,24,scale_free,bimodal,3.470527,1.940901,1.788101,0.66960376,0.13266313,0.494091,0.707639,7.684764,False,-0.12340029,100000,symplectic_4th,10000
OSC-000079,8,random_erdos_renyi,uniform,0.307838,0.963803,0.319399,0.19827891,0.17671531,7.949385,0.133685,7.929417,False,0.02746782,10000,euler,5000
OSC-000080,128,scale_free,lorentzian,3.891017,1.371799,2.836434,0.80440074,2.0328941,0.333609,0.912172,7.750302,False,-0.14022387,500000,symplectic_4th,1000
OSC-000081,16,ring,gaussian,2.026027,0.392699,5.159235,0.89737109,0.19217872,0.404439,0.927936,7.994166,False,-0.12520641,10000,verlet,5000
OSC-000082,24,lattice_2d,uniform,3.206955,1.894572,1.692707,0.64317529,0.56344271,0.836263,0.62349,7.560962,False,-0.10899809,500000,rk4,1000
OSC-000083,64,random_erdos_renyi,gaussian,0.894408,1.385349,0.645619,0.1316033,1.50425827,74.419092,0.145199,7.798336,False,-0.00054261,100000,euler,1000
OSC-000084,24,ring,uniform,3.150546,0.261799,12.034198,0.95746237,0.50583535,0.421988,0.908085,8.036894,False,-0.09850426,50000,euler,10000
OSC-000085,128,scale_free,bimodal,0.132208,1.120035,0.118039,0.04280456,2.0428637,114.058636,0,7.696067,False,0.05336337,10000,verlet,1000
OSC-000086,24,all_to_all,lorentzian,1.722444,0.63662,2.705609,0.79649388,0.33818351,0.937696,0.826131,7.827666,False,-0.10630485,50000,symplectic_4th,10000
OSC-000087,64,all_to_all,uniform,3.865709,0.63662,6.072241,0.91754771,0.03651002,0.500228,0.953559,7.677601,False,-0.09594551,500000,euler,1000
OSC-000088,48,small_world,bimodal,2.670766,1.408433,1.896268,0.68616815,0.14265645,0.911047,0.73745,7.626537,False,-0.14277962,500000,verlet,5000
OSC-000089,64,small_world,lorentzian,2.532345,1.871422,1.353166,0.5093483,0.54204789,1.374129,0.546301,7.636187,False,-0.09820471,50000,rk4,1000
OSC-000090,8,scale_free,uniform,3.713595,1.747077,2.125605,0.73028805,0.18662995,0.47971,0.738085,7.723866,False,-0.07064833,50000,rk4,10000
OSC-000091,32,lattice_2d,lorentzian,1.571392,1.496879,1.049778,0.21908148,0.19949982,11.77986,0.253069,7.889051,True,-0.12060541,10000,euler,1000
OSC-000092,64,small_world,bimodal,4.589199,1.736501,2.642786,0.78947694,0.24156343,0.20979,0.797625,7.926631,False,-0.11557138,100000,symplectic_4th,5000
OSC-000093,8,random_erdos_renyi,lorentzian,2.820368,1.08533,2.598626,0.7801096,0.18427436,0.588454,0.725422,8.02396,False,-0.09789967,50000,verlet,1000
OSC-000094,64,scale_free,gaussian,2.89781,1.393517,2.079494,0.7179108,1.19044816,0.770415,0.65518,7.805894,False,-0.11669855,10000,verlet,5000
OSC-000095,16,scale_free,gaussian,1.582881,1.10967,1.426442,0.55355878,0.06198339,2.059751,0.543846,7.849618,False,-0.09738616,10000,symplectic_4th,10000
OSC-000096,24,ring,lorentzian,4.62582,0.261799,17.669331,0.97300914,0.20781935,0.10758,0.977451,7.775097,False,-0.07425269,50000,euler,10000
OSC-000097,8,scale_free,bimodal,3.597019,1.097934,3.276171,0.83289059,0.07898399,0.537411,0.801456,7.794589,False,-0.10476691,500000,rk4,1000
OSC-000098,48,all_to_all,lorentzian,3.230369,0.63662,5.074252,0.89654388,0.79099392,0.355986,0.956563,7.85128,False,-0.12952197,100000,euler,1000
OSC-000099,48,all_to_all,uniform,4.79566,0.63662,7.533006,0.93001445,0.39836409,0.118083,0.913345,7.798404,False,-0.05250537,100000,euler,1000
OSC-000100,16,small_world,lorentzian,0.242064,1.406328,0.172125,0.02034438,0.20227006,15.412108,0.004551,7.858345,False,0.02569343,500000,verlet,5000
OSC-000101,64,ring,uniform,4.871041,0.098175,49.616019,0.9923238,0.66585088,0.097189,1.0,7.964862,False,-0.08032272,500000,verlet,10000
OSC-000102,128,scale_free,gaussian,4.742497,1.336983,3.547163,0.84972623,3.41702945,0.287975,0.897189,7.92078,False,-0.05920731,100000,verlet,5000
OSC-000103,128,all_to_all,uniform,2.429138,0.63662,3.815682,0.85785482,2.42410137,0.636368,0.932953,7.788637,False,-0.10637038,10000,symplectic_4th,10000
OSC-000104,16,small_world,uniform,2.064001,1.597499,1.29202,0.46946361,0.03068932,2.170696,0.340535,7.749876,False,-0.11360381,500000,symplectic_4th,10000
OSC-000105,64,random_erdos_renyi,gaussian,0.948119,1.682615,0.563479,0.099199,0.27846043,58.222904,0.006716,7.93138,False,0.06772299,100000,rk4,5000
OSC-000106,24,small_world,bimodal,4.088927,1.630403,2.507924,0.77624176,0.27131831,0.308377,0.702828,7.835265,False,-0.06894322,10000,euler,10000
OSC-000107,24,scale_free,lorentzian,2.010915,1.797832,1.118522,0.32314272,0.16551074,4.446231,0.283492,7.630109,False,-0.11889718,100000,symplectic_4th,10000
OSC-000108,64,all_to_all,uniform,3.096305,0.63662,4.863664,0.88644846,0.55874607,0.426466,0.872094,8.043206,False,-0.13054242,10000,verlet,1000
OSC-000109,48,all_to_all,gaussian,2.215406,0.63662,3.479952,0.84076737,0.11908268,0.60513,0.791197,7.766747,False,-0.09454353,50000,symplectic_4th,1000
OSC-000110,32,random_erdos_renyi,bimodal,2.144454,1.656918,1.294243,0.47402616,0.16446435,2.207051,0.479409,7.84084,False,-0.10664641,500000,symplectic_4th,1000
OSC-000111,16,ring,bimodal,4.314749,0.392699,10.987417,0.951169,0.3535797,0.158735,1.0,7.770755,False,-0.12015494,500000,symplectic_4th,5000
OSC-000112,32,ring,bimodal,3.062409,0.19635,15.596721,0.9684608,0.22699966,0.256587,0.973368,7.947626,False,-0.12129702,100000,rk4,1000
OSC-000113,128,lattice_2d,lorentzian,0.654505,1.700381,0.384917,0.13445894,1.50695419,154.033034,0.197589,8.115342,False,0.04409095,100000,symplectic_4th,10000
OSC-000114,16,random_erdos_renyi,uniform,3.352311,1.512685,2.216133,0.74783965,0.04127553,0.408215,0.684,7.797903,False,-0.13279849,10000,symplectic_4th,5000
OSC-000115,128,random_erdos_renyi,lorentzian,2.162979,1.076921,2.008484,0.71166499,0.71856648,0.90582,0.72467,7.977213,False,-0.11550278,100000,rk4,10000
OSC-000116,128,random_erdos_renyi,gaussian,1.529591,1.106687,1.382134,0.52467306,1.25614549,2.286531,0.498752,7.834979,False,-0.06900152,100000,euler,10000
OSC-000117,48,small_world,lorentzian,0.169595,1.743812,0.097255,0.06834141,0.67177281,43.392927,0.052737,7.65848,False,0.06194917,100000,euler,5000
OSC-000118,24,random_erdos_renyi,uniform,0.810844,1.430602,0.566785,0.07154325,0.36708294,22.880005,0,7.838089,False,0.05188174,500000,euler,1000
OSC-000119,64,all_to_all,lorentzian,3.801871,0.63662,5.971965,0.91061434,0.92917679,0.355275,0.876553,7.880319,False,-0.10080823,50000,symplectic_4th,10000
OSC-000120,96,scale_free,lorentzian,0.811234,0.998859,0.812161,0.01081386,0.85206195,114.803822,0,7.719031,False,0.00397185,10000,rk4,10000
OSC-000121,64,scale_free,lorentzian,0.581556,1.379654,0.421523,0.0848285,0.27946724,53.483449,0.096881,7.665463,False,0.04737653,50000,verlet,10000
OSC-000122,24,small_world,uniform,3.396729,1.10203,3.082247,0.82223636,0.20756512,0.472187,0.835728,7.763635,False,-0.09530998,100000,verlet,1000
OSC-000123,8,all_to_all,uniform,0.378721,0.63662,0.594894,0.62175299,0.01450147,8.44785,0.687919,8.011462,False,0.08485734,10000,euler,5000
OSC-000124,24,all_to_all,gaussian,1.341345,0.63662,2.10698,0.71546429,0.35605978,1.253575,0.628846,7.812586,False,-0.07918312,100000,verlet,1000
OSC-000125,16,small_world,uniform,0.394287,1.300095,0.303276,0.15101184,0.28061135,15.309127,0.096851,7.872436,False,0.07473933,50000,symplectic_4th,1000
OSC-000126,24,random_erdos_renyi,bimodal,1.170094,1.321335,0.885539,0.27992907,0.17528213,23.516569,0.257131,7.946737,False,0.06151422,100000,symplectic_4th,1000
OSC-000127,128,ring,uniform,4.671179,0.049087,95.160482,0.9940205,0.41397668,0.148965,0.89092,7.72263,False,-0.11088048,500000,symplectic_4th,5000
OSC-000128,96,lattice_2d,uniform,4.775361,1.476353,3.234567,0.83112616,1.41616619,0.197801,0.724488,7.734115,False,-0.11913458,500000,rk4,10000
OSC-000129,16,small_world,lorentzian,0.494238,1.851787,0.266898,0.41277275,0.22846696,14.805102,0.387811,7.925474,False,0.05481728,50000,verlet,10000
OSC-000130,96,all_to_all,lorentzian,2.483867,0.63662,3.90165,0.86402504,0.27950542,0.548441,0.876543,8.161079,False,-0.08935689,50000,symplectic_4th,5000
OSC-000131,16,random_erdos_renyi,lorentzian,4.077713,0.723345,5.637303,0.90700431,0.18847374,0.293439,0.882855,7.906867,False,-0.10369455,50000,symplectic_4th,10000
OSC-000132,24,lattice_2d,gaussian,4.631597,1.199106,3.862543,0.86306915,0.27045502,0.226351,0.81662,7.856648,False,-0.10301697,50000,rk4,1000
OSC-000133,8,small_world,uniform,2.996108,1.323366,2.264005,0.74837405,0.0956755,0.551089,0.658797,7.833216,False,-0.09335714,500000,verlet,10000
OSC-000134,96,small_world,uniform,4.881681,2.032751,2.401515,0.76294912,0.72028439,0.441509,0.686961,7.841972,False,-0.12671307,100000,rk4,1000
OSC-000135,48,ring,bimodal,0.923449,0.1309,7.054632,0.9252312,0.69022591,1.251302,0.991218,7.948376,False,-0.07369363,500000,euler,1000
OSC-000136,128,all_to_all,uniform,0.135398,0.63662,0.212682,0.12380179,0.38257599,110.609378,0.101112,7.768384,False,0.0167549,500000,euler,1000
OSC-000137,24,lattice_2d,lorentzian,4.696639,1.194063,3.933325,0.86296703,0.18893136,0.266967,0.888029,7.936518,False,-0.07326345,100000,verlet,5000
OSC-000138,8,random_erdos_renyi,gaussian,1.040324,1.370521,0.759072,0.96651903,0.06154801,5.660843,0.898802,7.948614,False,0.04802526,500000,euler,5000
OSC-000139,8,ring,uniform,4.003404,0.785398,5.097292,0.88919729,0.11326982,0.248306,0.894183,7.81572,False,-0.10520595,100000,verlet,1000
OSC-000140,96,small_world,lorentzian,2.320423,1.031905,2.248678,0.74230744,1.20971418,0.790134,0.713784,7.816357,False,-0.07634331,10000,euler,10000
OSC-000141,128,random_erdos_renyi,lorentzian,2.153425,1.565534,1.375521,0.52242753,1.45673318,1.678581,0.546392,7.840237,False,-0.08542846,500000,euler,5000
OSC-000142,32,all_to_all,bimodal,2.966952,0.63662,4.660477,0.88980942,0.43464679,0.456222,0.956828,7.872238,False,-0.08260157,500000,euler,10000
OSC-000143,64,small_world,gaussian,2.886463,1.460625,1.976184,0.70338075,0.58063738,0.744098,0.652554,7.852364,False,-0.09908507,100000,euler,10000
OSC-000144,24,random_erdos_renyi,gaussian,0.523724,1.289048,0.406288,0.14732641,0.02231523,30.421234,0.145504,7.872056,False,0.03617483,500000,euler,1000
OSC-000145,64,scale_free,gaussian,0.829952,1.812334,0.457946,0.10517377,0.58222433,63.423069,0.11936,7.826449,False,0.01636156,10000,symplectic_4th,10000
OSC-000146,96,scale_free,uniform,2.316963,1.59411,1.453452,0.55870963,2.18537926,1.52627,0.565035,7.880745,False,-0.10330227,100000,euler,10000
OSC-000147,16,all_to_all,bimodal,3.378274,0.63662,5.306581,0.90378108,0.3108749,0.24377,0.875455,7.940417,False,-0.10329586,50000,symplectic_4th,1000
OSC-000148,64,lattice_2d,bimodal,3.173795,1.495524,2.122196,0.72705431,0.09500668,0.693726,0.685902,7.813806,False,-0.09943838,50000,rk4,10000
OSC-000149,64,lattice_2d,uniform,2.622209,1.035801,2.531576,0.77981869,0.31376461,0.71956,0.79546,7.801791,False,-0.09875205,100000,euler,10000
OSC-000150,16,random_erdos_renyi,gaussian,2.744206,1.674794,1.638533,0.62770854,0.00493427,0.794718,0.629157,7.627587,False,-0.10976814,50000,verlet,5000
OSC-000151,48,random_erdos_renyi,bimodal,1.458012,1.020038,1.429371,0.55052864,0.65127238,2.110418,0.555814,7.942822,False,-0.07807592,100000,symplectic_4th,10000
OSC-000152,64,lattice_2d,uniform,0.527813,1.735197,0.30418,0.24022548,0.32936852,69.094818,0.25955,7.819624,False,0.05497512,50000,symplectic_4th,1000
OSC-000153,32,random_erdos_renyi,uniform,1.53653,1.625765,0.945112,0.21672359,0.24407526,35.987428,0.250755,7.695,False,0.05993964,100000,euler,1000
OSC-000154,8,ring,lorentzian,2.117289,0.785398,2.695817,0.78751897,0.1762522,0.683335,0.847032,7.767058,False,-0.1362932,500000,symplectic_4th,5000
OSC-000155,24,small_world,gaussian,1.922321,1.552549,1.238171,0.43574594,0.12988663,2.820903,0.460132,7.895677,False,-0.07327406,50000,verlet,1000
OSC-000156,24,lattice_2d,gaussian,0.890148,1.386839,0.641854,0.48278012,0.75271853,19.381139,0.458446,7.783713,False,0.05989889,10000,verlet,5000
OSC-000157,24,small_world,bimodal,1.577643,1.326857,1.189008,0.39809808,0.45448075,3.785749,0.370071,7.830205,False,-0.11696517,10000,verlet,10000
OSC-000158,48,scale_free,lorentzian,4.851067,1.568689,3.092435,0.82281702,1.05652604,0.2143,0.745118,7.799618,False,-0.14479863,100000,rk4,10000
OSC-000159,128,all_to_all,gaussian,3.422241,0.63662,5.375643,0.90250009,1.47221062,0.305521,0.878753,7.774469,False,-0.08611812,50000,euler,5000
OSC-000160,32,all_to_all,uniform,2.73822,0.63662,4.301186,0.87110511,0.48045954,0.575727,0.90235,7.859907,False,-0.08356466,10000,verlet,5000
OSC-000161,24,lattice_2d,bimodal,1.494787,1.302118,1.147966,0.36189872,0.15319816,5.155667,0.376971,7.79959,True,-0.10300671,500000,symplectic_4th,5000
OSC-000162,24,lattice_2d,bimodal,3.670167,1.177983,3.115637,0.81738152,0.47410261,0.354177,0.801308,7.732013,False,-0.04360735,100000,rk4,10000
OSC-000163,96,all_to_all,uniform,2.106357,0.63662,3.308658,0.83713586,0.45119448,0.527976,0.810099,7.831788,False,-0.1108479,50000,symplectic_4th,5000
OSC-000164,128,all_to_all,lorentzian,4.189467,0.63662,6.5808,0.92014039,2.82542833,0.25796,0.922795,7.908059,False,-0.09975998,500000,rk4,10000
OSC-000165,48,scale_free,gaussian,1.299276,1.042812,1.245935,0.44451044,0.76302008,3.807771,0.46308,7.828677,False,-0.10073498,500000,verlet,10000
OSC-000166,128,lattice_2d,uniform,1.928691,1.104417,1.746343,0.65370353,1.04054334,1.190741,0.719594,7.897518,False,-0.08233217,50000,verlet,1000
OSC-000167,8,small_world,lorentzian,1.844323,0.921228,2.002027,0.71501857,0.05565136,1.190688,0.770328,7.783214,False,-0.09868767,10000,euler,10000
